
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,64.425,64.425,64.425,0.000,64.425,64.425,64.425,64.425,1,µm^2,Surface,,,,,8,
Area,99.801,99.801,99.801,0.000,99.801,99.801,99.801,99.801,1,µm^2,Surface,,,,,9,
Area,96.334,96.334,96.334,0.000,96.334,96.334,96.334,96.334,1,µm^2,Surface,,,,,10,
Area,108.141,108.141,108.141,0.000,108.141,108.141,108.141,108.141,1,µm^2,Surface,,,,,11,
Area,115.477,115.477,115.477,0.000,115.477,115.477,115.477,115.477,1,µm^2,Surface,,,,,12,
Area,132.870,132.870,132.870,0.000,132.870,132.870,132.870,132.870,1,µm^2,Surface,,,,,13,
Area,121.524,121.524,121.524,0.000,121.524,121.524,121.524,121.524,1,µm^2,Surface,,,,,14,
Area,73.595,73.595,73.595,0.000,73.595,73.595,73.595,73.595,1,µm^2,Surface,,,,,15,
Area,74.449,74.449,74.449,0.000,74.449,74.449,74.449,74.449,1,µm^2,Surface,,,,,16,
Area,53.114,53.114,53.114,0.000,53.114,53.114,53.114,53.114,1,µm^2,Surface,,,,,17,
Area,48.235,48.235,48.235,0.000,48.235,48.235,48.235,48.235,1,µm^2,Surface,,,,,18,
Area,40.732,40.732,40.732,0.000,40.732,40.732,40.732,40.732,1,µm^2,Surface,,,,,19,
Area,34.957,34.957,34.957,0.000,34.957,34.957,34.957,34.957,1,µm^2,Surface,,,,,20,
Area,26.318,26.318,26.318,0.000,26.318,26.318,26.318,26.318,1,µm^2,Surface,,,,,21,
Area,23.367,23.367,23.367,0.000,23.367,23.367,23.367,23.367,1,µm^2,Surface,,,,,22,
Area,21.751,21.751,21.751,0.000,21.751,21.751,21.751,21.751,1,µm^2,Surface,,,,,23,
Area,17.182,17.182,17.182,0.000,17.182,17.182,17.182,17.182,1,µm^2,Surface,,,,,24,
Area,12.609,12.609,12.609,0.000,12.609,12.609,12.609,12.609,1,µm^2,Surface,,,,,25,
Area,10.246,10.246,10.246,0.000,10.246,10.246,10.246,10.246,1,µm^2,Surface,,,,,26,
Area,8.962,8.962,8.962,0.000,8.962,8.962,8.962,8.962,1,µm^2,Surface,,,,,27,
