nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,Unnamed: 17,Surfaces
P1,Intensity Max,278,278,278,0,278,278,278,278,1,,Surface,1,,,Image 1,8,,
P1,Intensity Max,257,257,257,0,257,257,257,257,1,,Surface,1,,,Image 1,9,,
P1,Intensity Max,243,243,243,0,243,243,243,243,1,,Surface,1,,,Image 1,10,,
P1,Intensity Max,230,230,230,0,230,230,230,230,1,,Surface,1,,,Image 1,11,,
P1,Intensity Max,242,242,242,0,242,242,242,242,1,,Surface,1,,,Image 1,12,,
P1,Intensity Max,283,283,283,0,283,283,283,283,1,,Surface,1,,,Image 1,13,,
P1,Intensity Max,319,319,319,0,319,319,319,319,1,,Surface,1,,,Image 1,14,,
P1,Intensity Max,684,684,684,0,684,684,684,684,1,,Surface,1,,,Image 1,15,,
P1,Intensity Max,1310,1310,1310,0,1310,1310,1310,1310,1,,Surface,1,,,Image 1,16,,
P1,Intensity Max,1181,1181,1181,0,1181,1181,1181,1181,1,,Surface,1,,,Image 1,17,,
P1,Intensity Max,1498,1498,1498,0,1498,1498,1498,1498,1,,Surface,1,,,Image 1,18,,
P1,Intensity Max,892,892,892,0,892,892,892,892,1,,Surface,1,,,Image 1,19,,
P1,Intensity Max,710,710,710,0,710,710,710,710,1,,Surface,1,,,Image 1,20,,
P1,Intensity Max,724,724,724,0,724,724,724,724,1,,Surface,1,,,Image 1,21,,
P1,Intensity Max,453,453,453,0,453,453,453,453,1,,Surface,1,,,Image 1,22,,
P1,Intensity Max,408,408,408,0,408,408,408,408,1,,Surface,1,,,Image 1,23,,
P1,Intensity Max,411,411,411,0,411,411,411,411,1,,Surface,1,,,Image 1,24,,
P1,Intensity Max,287,287,287,0,287,287,287,287,1,,Surface,1,,,Image 1,25,,
P1,Intensity Max,280,280,280,0,280,280,280,280,1,,Surface,1,,,Image 1,26,,
P1,Intensity Max,225,225,225,0,225,225,225,225,1,,Surface,1,,,Image 1,27,,
