
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,64.749,64.749,64.749,0.000,64.749,64.749,64.749,64.749,1,µm^2,Surface,,,,,,3,
Area,87.999,87.999,87.999,0.000,87.999,87.999,87.999,87.999,1,µm^2,Surface,,,,,,4,
Area,102.635,102.635,102.635,0.000,102.635,102.635,102.635,102.635,1,µm^2,Surface,,,,,,5,
Area,113.419,113.419,113.419,0.000,113.419,113.419,113.419,113.419,1,µm^2,Surface,,,,,,6,
Area,117.136,117.136,117.136,0.000,117.136,117.136,117.136,117.136,1,µm^2,Surface,,,,,,7,
Area,110.266,110.266,110.266,0.000,110.266,110.266,110.266,110.266,1,µm^2,Surface,,,,,,8,
Area,50.624,50.624,50.624,0.000,50.624,50.624,50.624,50.624,1,µm^2,Surface,,,,,,9,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,3,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,4,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,5,
Class Duration,179.983,179.983,179.983,0.000,179.983,179.983,179.983,179.983,1,s,Surface,,Set 1::Class B,,,,6,
Class Duration,179.983,179.983,179.983,0.000,179.983,179.983,179.983,179.983,1,s,Surface,,Set 1::Class B,,,,7,
Class Duration,179.983,179.983,179.983,0.000,179.983,179.983,179.983,179.983,1,s,Surface,,Set 1::Class B,,,,8,
Class Duration,179.983,179.983,179.983,0.000,179.983,179.983,179.983,179.983,1,s,Surface,,Set 1::Class B,,,,9,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,3,
Displacement Delta Length,0.943,0.943,0.943,0.000,0.943,0.943,0.943,0.943,1,µm,Surface,,,,,,4,
Displacement Delta Length,0.740,0.740,0.740,0.000,0.740,0.740,0.740,0.740,1,µm,Surface,,,,,,5,
Displacement Delta Length,1.205,1.205,1.205,0.000,1.205,1.205,1.205,1.205,1,µm,Surface,,,,,,6,
Displacement Delta Length,2.198,2.198,2.198,0.000,2.198,2.198,2.198,2.198,1,µm,Surface,,,,,,7,
Displacement Delta Length,2.985,2.985,2.985,0.000,2.985,2.985,2.985,2.985,1,µm,Surface,,,,,,8,
Displacement Delta Length,2.466,2.466,2.466,0.000,2.466,2.466,2.466,2.466,1,µm,Surface,,,,,,9,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,3,
