
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,66.159,66.159,66.159,0.000,66.159,66.159,66.159,66.159,1,µm^2,Surface,,,,,,18,
Area,85.583,85.583,85.583,0.000,85.583,85.583,85.583,85.583,1,µm^2,Surface,,,,,,19,
Area,90.736,90.736,90.736,0.000,90.736,90.736,90.736,90.736,1,µm^2,Surface,,,,,,20,
Area,92.497,92.497,92.497,0.000,92.497,92.497,92.497,92.497,1,µm^2,Surface,,,,,,21,
Area,95.943,95.943,95.943,0.000,95.943,95.943,95.943,95.943,1,µm^2,Surface,,,,,,22,
Area,99.533,99.533,99.533,0.000,99.533,99.533,99.533,99.533,1,µm^2,Surface,,,,,,23,
Area,89.343,89.343,89.343,0.000,89.343,89.343,89.343,89.343,1,µm^2,Surface,,,,,,24,
Area,96.344,96.344,96.344,0.000,96.344,96.344,96.344,96.344,1,µm^2,Surface,,,,,,25,
Area,92.662,92.662,92.662,0.000,92.662,92.662,92.662,92.662,1,µm^2,Surface,,,,,,26,
Area,96.303,96.303,96.303,0.000,96.303,96.303,96.303,96.303,1,µm^2,Surface,,,,,,27,
Area,97.322,97.322,97.322,0.000,97.322,97.322,97.322,97.322,1,µm^2,Surface,,,,,,28,
Area,74.991,74.991,74.991,0.000,74.991,74.991,74.991,74.991,1,µm^2,Surface,,,,,,29,
Area,51.461,51.461,51.461,0.000,51.461,51.461,51.461,51.461,1,µm^2,Surface,,,,,,30,
Area,53.980,53.980,53.980,0.000,53.980,53.980,53.980,53.980,1,µm^2,Surface,,,,,,31,
Area,49.802,49.802,49.802,0.000,49.802,49.802,49.802,49.802,1,µm^2,Surface,,,,,,32,
Class Duration,119.956,119.956,119.956,0.000,119.956,119.956,119.956,119.956,1,s,Surface,,Set 1::Class A,,,,18,
Class Duration,119.956,119.956,119.956,0.000,119.956,119.956,119.956,119.956,1,s,Surface,,Set 1::Class A,,,,19,
Class Duration,119.956,119.956,119.956,0.000,119.956,119.956,119.956,119.956,1,s,Surface,,Set 1::Class A,,,,20,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,21,
Class Duration,120.039,120.039,120.039,0.000,120.039,120.039,120.039,120.039,1,s,Surface,,Set 1::Class A,,,,22,
Class Duration,120.039,120.039,120.039,0.000,120.039,120.039,120.039,120.039,1,s,Surface,,Set 1::Class A,,,,23,
Class Duration,120.039,120.039,120.039,0.000,120.039,120.039,120.039,120.039,1,s,Surface,,Set 1::Class A,,,,24,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,25,
Class Duration,59.991,59.991,59.991,0.000,59.991,59.991,59.991,59.991,1,s,Surface,,Set 1::Class A,,,,26,
Class Duration,59.991,59.991,59.991,0.000,59.991,59.991,59.991,59.991,1,s,Surface,,Set 1::Class A,,,,27,
Class Duration,240.015,240.015,240.015,0.000,240.015,240.015,240.015,240.015,1,s,Surface,,Set 1::Class B,,,,28,
Class Duration,240.015,240.015,240.015,0.000,240.015,240.015,240.015,240.015,1,s,Surface,,Set 1::Class B,,,,29,
Class Duration,240.015,240.015,240.015,0.000,240.015,240.015,240.015,240.015,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,240.015,240.015,240.015,0.000,240.015,240.015,240.015,240.015,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,240.015,240.015,240.015,0.000,240.015,240.015,240.015,240.015,1,s,Surface,,Set 1::Class B,,,,32,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,18,
Displacement Delta Length,0.877,0.877,0.877,0.000,0.877,0.877,0.877,0.877,1,µm,Surface,,,,,,19,
Displacement Delta Length,0.896,0.896,0.896,0.000,0.896,0.896,0.896,0.896,1,µm,Surface,,,,,,20,
Displacement Delta Length,1.606,1.606,1.606,0.000,1.606,1.606,1.606,1.606,1,µm,Surface,,,,,,21,
Displacement Delta Length,0.903,0.903,0.903,0.000,0.903,0.903,0.903,0.903,1,µm,Surface,,,,,,22,
Displacement Delta Length,1.287,1.287,1.287,0.000,1.287,1.287,1.287,1.287,1,µm,Surface,,,,,,23,
Displacement Delta Length,1.106,1.106,1.106,0.000,1.106,1.106,1.106,1.106,1,µm,Surface,,,,,,24,
Displacement Delta Length,1.347,1.347,1.347,0.000,1.347,1.347,1.347,1.347,1,µm,Surface,,,,,,25,
Displacement Delta Length,1.239,1.239,1.239,0.000,1.239,1.239,1.239,1.239,1,µm,Surface,,,,,,26,
Displacement Delta Length,0.987,0.987,0.987,0.000,0.987,0.987,0.987,0.987,1,µm,Surface,,,,,,27,
Displacement Delta Length,2.027,2.027,2.027,0.000,2.027,2.027,2.027,2.027,1,µm,Surface,,,,,,28,
Displacement Delta Length,1.505,1.505,1.505,0.000,1.505,1.505,1.505,1.505,1,µm,Surface,,,,,,29,
Displacement Delta Length,1.525,1.525,1.525,0.000,1.525,1.525,1.525,1.525,1,µm,Surface,,,,,,30,
Displacement Delta Length,2.319,2.319,2.319,0.000,2.319,2.319,2.319,2.319,1,µm,Surface,,,,,,31,
Displacement Delta Length,2.450,2.450,2.450,0.000,2.450,2.450,2.450,2.450,1,µm,Surface,,,,,,32,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta X,-0.234,-0.234,-0.234,0.000,-0.234,-0.234,-0.234,-0.234,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta X,0.847,0.847,0.847,0.000,0.847,0.847,0.847,0.847,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta X,-0.040,-0.040,-0.040,0.000,-0.040,-0.040,-0.040,-0.040,1,µm,Surface,,,Displacement Delta,,,21,
