
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,57.397,57.397,57.397,0.000,57.397,57.397,57.397,57.397,1,µm^2,Surface,,,,,,3,
Area,94.818,94.818,94.818,0.000,94.818,94.818,94.818,94.818,1,µm^2,Surface,,,,,,4,
Area,136.258,136.258,136.258,0.000,136.258,136.258,136.258,136.258,1,µm^2,Surface,,,,,,5,
Area,125.453,125.453,125.453,0.000,125.453,125.453,125.453,125.453,1,µm^2,Surface,,,,,,6,
Area,148.481,148.481,148.481,0.000,148.481,148.481,148.481,148.481,1,µm^2,Surface,,,,,,7,
Area,132.384,132.384,132.384,0.000,132.384,132.384,132.384,132.384,1,µm^2,Surface,,,,,,8,
Area,137.204,137.204,137.204,0.000,137.204,137.204,137.204,137.204,1,µm^2,Surface,,,,,,9,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,3,
Class Duration,299.932,299.932,299.932,0.000,299.932,299.932,299.932,299.932,1,s,Surface,,Set 1::Class B,,,,4,
Class Duration,299.932,299.932,299.932,0.000,299.932,299.932,299.932,299.932,1,s,Surface,,Set 1::Class B,,,,5,
Class Duration,299.932,299.932,299.932,0.000,299.932,299.932,299.932,299.932,1,s,Surface,,Set 1::Class B,,,,6,
Class Duration,299.932,299.932,299.932,0.000,299.932,299.932,299.932,299.932,1,s,Surface,,Set 1::Class B,,,,7,
Class Duration,299.932,299.932,299.932,0.000,299.932,299.932,299.932,299.932,1,s,Surface,,Set 1::Class B,,,,8,
Class Duration,299.932,299.932,299.932,0.000,299.932,299.932,299.932,299.932,1,s,Surface,,Set 1::Class B,,,,9,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,3,
Displacement Delta Length,0.917,0.917,0.917,0.000,0.917,0.917,0.917,0.917,1,µm,Surface,,,,,,4,
Displacement Delta Length,1.011,1.011,1.011,0.000,1.011,1.011,1.011,1.011,1,µm,Surface,,,,,,5,
Displacement Delta Length,1.194,1.194,1.194,0.000,1.194,1.194,1.194,1.194,1,µm,Surface,,,,,,6,
Displacement Delta Length,0.965,0.965,0.965,0.000,0.965,0.965,0.965,0.965,1,µm,Surface,,,,,,7,
Displacement Delta Length,1.975,1.975,1.975,0.000,1.975,1.975,1.975,1.975,1,µm,Surface,,,,,,8,
Displacement Delta Length,0.917,0.917,0.917,0.000,0.917,0.917,0.917,0.917,1,µm,Surface,,,,,,9,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,3,
Displacement Delta X,-0.270,-0.270,-0.270,0.000,-0.270,-0.270,-0.270,-0.270,1,µm,Surface,,,Displacement Delta,,,4,
Displacement Delta X,-0.447,-0.447,-0.447,0.000,-0.447,-0.447,-0.447,-0.447,1,µm,Surface,,,Displacement Delta,,,5,
Displacement Delta X,-0.438,-0.438,-0.438,0.000,-0.438,-0.438,-0.438,-0.438,1,µm,Surface,,,Displacement Delta,,,6,
Displacement Delta X,0.698,0.698,0.698,0.000,0.698,0.698,0.698,0.698,1,µm,Surface,,,Displacement Delta,,,7,
Displacement Delta X,-0.495,-0.495,-0.495,0.000,-0.495,-0.495,-0.495,-0.495,1,µm,Surface,,,Displacement Delta,,,8,
Displacement Delta X,-0.679,-0.679,-0.679,0.000,-0.679,-0.679,-0.679,-0.679,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,3,
Displacement Delta Y,-0.230,-0.230,-0.230,0.000,-0.230,-0.230,-0.230,-0.230,1,µm,Surface,,,Displacement Delta,,,4,
Displacement Delta Y,-0.433,-0.433,-0.433,0.000,-0.433,-0.433,-0.433,-0.433,1,µm,Surface,,,Displacement Delta,,,5,
Displacement Delta Y,-1.026,-1.026,-1.026,0.000,-1.026,-1.026,-1.026,-1.026,1,µm,Surface,,,Displacement Delta,,,6,
Displacement Delta Y,-0.327,-0.327,-0.327,0.000,-0.327,-0.327,-0.327,-0.327,1,µm,Surface,,,Displacement Delta,,,7,
Displacement Delta Y,-1.780,-1.780,-1.780,0.000,-1.780,-1.780,-1.780,-1.780,1,µm,Surface,,,Displacement Delta,,,8,
Displacement Delta Y,0.558,0.558,0.558,0.000,0.558,0.558,0.558,0.558,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,3,
Displacement Delta Z,-0.846,-0.846,-0.846,0.000,-0.846,-0.846,-0.846,-0.846,1,µm,Surface,,,Displacement Delta,,,4,
Displacement Delta Z,-0.797,-0.797,-0.797,0.000,-0.797,-0.797,-0.797,-0.797,1,µm,Surface,,,Displacement Delta,,,5,
Displacement Delta Z,-0.426,-0.426,-0.426,0.000,-0.426,-0.426,-0.426,-0.426,1,µm,Surface,,,Displacement Delta,,,6,
Displacement Delta Z,-0.580,-0.580,-0.580,0.000,-0.580,-0.580,-0.580,-0.580,1,µm,Surface,,,Displacement Delta,,,7,
Displacement Delta Z,-0.698,-0.698,-0.698,0.000,-0.698,-0.698,-0.698,-0.698,1,µm,Surface,,,Displacement Delta,,,8,
Displacement Delta Z,0.263,0.263,0.263,0.000,0.263,0.263,0.263,0.263,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,3,
Displacement Length,0.917,0.917,0.917,0.000,0.917,0.917,0.917,0.917,1,µm,Surface,,,,,,4,
Displacement Length,1.911,1.911,1.911,0.000,1.911,1.911,1.911,1.911,1,µm,Surface,,,,,,5,
Displacement Length,2.909,2.909,2.909,0.000,2.909,2.909,2.909,2.909,1,µm,Surface,,,,,,6,
Displacement Length,3.360,3.360,3.360,0.000,3.360,3.360,3.360,3.360,1,µm,Surface,,,,,,7,
Displacement Length,5.149,5.149,5.149,0.000,5.149,5.149,5.149,5.149,1,µm,Surface,,,,,,8,
Displacement Length,4.760,4.760,4.760,0.000,4.760,4.760,4.760,4.760,1,µm,Surface,,,,,,9,
Distance from Origin,11300.658,11300.658,11300.658,0.000,11300.658,11300.658,11300.658,11300.658,1,µm,Surface,,,Distance from Origin,,,3,
Distance from Origin,11300.106,11300.106,11300.106,0.000,11300.106,11300.106,11300.106,11300.106,1,µm,Surface,,,Distance from Origin,,,4,
Distance from Origin,11299.651,11299.651,11299.651,0.000,11299.651,11299.651,11299.651,11299.651,1,µm,Surface,,,Distance from Origin,,,5,
Distance from Origin,11299.352,11299.352,11299.352,0.000,11299.352,11299.352,11299.352,11299.352,1,µm,Surface,,,Distance from Origin,,,6,
Distance from Origin,11298.419,11298.419,11298.419,0.000,11298.419,11298.419,11298.419,11298.419,1,µm,Surface,,,Distance from Origin,,,7,
Distance from Origin,11297.775,11297.775,11297.775,0.000,11297.775,11297.775,11297.775,11297.775,1,µm,Surface,,,Distance from Origin,,,8,
Distance from Origin,11298.500,11298.500,11298.500,0.000,11298.500,11298.500,11298.500,11298.500,1,µm,Surface,,,Distance from Origin,,,9,
Distance to Image Border XY,16.406,16.406,16.406,0.000,16.406,16.406,16.406,16.406,1,µm,Surface,,,,Image 1,,3,
Distance to Image Border XY,15.593,15.593,15.593,0.000,15.593,15.593,15.593,15.593,1,µm,Surface,,,,Image 1,,4,
Distance to Image Border XY,15.609,15.609,15.609,0.000,15.609,15.609,15.609,15.609,1,µm,Surface,,,,Image 1,,5,
Distance to Image Border XY,16.019,16.019,16.019,0.000,16.019,16.019,16.019,16.019,1,µm,Surface,,,,Image 1,,6,
Distance to Image Border XY,15.169,15.169,15.169,0.000,15.169,15.169,15.169,15.169,1,µm,Surface,,,,Image 1,,7,
Distance to Image Border XY,12.659,12.659,12.659,0.000,12.659,12.659,12.659,12.659,1,µm,Surface,,,,Image 1,,8,
Distance to Image Border XY,12.904,12.904,12.904,0.000,12.904,12.904,12.904,12.904,1,µm,Surface,,,,Image 1,,9,
Ellipticity (oblate),0.314,0.314,0.314,0.000,0.314,0.314,0.314,0.314,1,,Surface,,,,,,3,
Ellipticity (oblate),0.382,0.382,0.382,0.000,0.382,0.382,0.382,0.382,1,,Surface,,,,,,4,
Ellipticity (oblate),0.219,0.219,0.219,0.000,0.219,0.219,0.219,0.219,1,,Surface,,,,,,5,
Ellipticity (oblate),0.323,0.323,0.323,0.000,0.323,0.323,0.323,0.323,1,,Surface,,,,,,6,
Ellipticity (oblate),0.367,0.367,0.367,0.000,0.367,0.367,0.367,0.367,1,,Surface,,,,,,7,
Ellipticity (oblate),0.375,0.375,0.375,0.000,0.375,0.375,0.375,0.375,1,,Surface,,,,,,8,
