
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,50.145,50.145,50.145,0.000,50.145,50.145,50.145,50.145,1,µm^2,Surface,,,,,,19,
Area,80.937,80.937,80.937,0.000,80.937,80.937,80.937,80.937,1,µm^2,Surface,,,,,,22,
Area,111.755,111.755,111.755,0.000,111.755,111.755,111.755,111.755,1,µm^2,Surface,,,,,,23,
Area,119.431,119.431,119.431,0.000,119.431,119.431,119.431,119.431,1,µm^2,Surface,,,,,,24,
Area,64.044,64.044,64.044,0.000,64.044,64.044,64.044,64.044,1,µm^2,Surface,,,,,,26,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,19,
Class Duration,240.074,240.074,240.074,0.000,240.074,240.074,240.074,240.074,1,s,Surface,,Set 1::Class B,,,,22,
Class Duration,240.074,240.074,240.074,0.000,240.074,240.074,240.074,240.074,1,s,Surface,,Set 1::Class B,,,,23,
Class Duration,240.074,240.074,240.074,0.000,240.074,240.074,240.074,240.074,1,s,Surface,,Set 1::Class B,,,,24,
Class Duration,240.074,240.074,240.074,0.000,240.074,240.074,240.074,240.074,1,s,Surface,,Set 1::Class B,,,,26,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,19,
Displacement Delta Length,2.675,2.675,2.675,0.000,2.675,2.675,2.675,2.675,1,µm,Surface,,,,,,22,
Displacement Delta Length,1.354,1.354,1.354,0.000,1.354,1.354,1.354,1.354,1,µm,Surface,,,,,,23,
Displacement Delta Length,2.113,2.113,2.113,0.000,2.113,2.113,2.113,2.113,1,µm,Surface,,,,,,24,
Displacement Delta Length,4.330,4.330,4.330,0.000,4.330,4.330,4.330,4.330,1,µm,Surface,,,,,,26,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta X,1.084,1.084,1.084,0.000,1.084,1.084,1.084,1.084,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta X,-0.705,-0.705,-0.705,0.000,-0.705,-0.705,-0.705,-0.705,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta X,-1.448,-1.448,-1.448,0.000,-1.448,-1.448,-1.448,-1.448,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta X,2.326,2.326,2.326,0.000,2.326,2.326,2.326,2.326,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Y,-2.007,-2.007,-2.007,0.000,-2.007,-2.007,-2.007,-2.007,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Y,-1.122,-1.122,-1.122,0.000,-1.122,-1.122,-1.122,-1.122,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Y,-1.532,-1.532,-1.532,0.000,-1.532,-1.532,-1.532,-1.532,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Y,3.638,3.638,3.638,0.000,3.638,3.638,3.638,3.638,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Z,1.398,1.398,1.398,0.000,1.398,1.398,1.398,1.398,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Z,0.282,0.282,0.282,0.000,0.282,0.282,0.282,0.282,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Z,-0.145,-0.145,-0.145,0.000,-0.145,-0.145,-0.145,-0.145,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Z,-0.324,-0.324,-0.324,0.000,-0.324,-0.324,-0.324,-0.324,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,19,
Displacement Length,2.675,2.675,2.675,0.000,2.675,2.675,2.675,2.675,1,µm,Surface,,,,,,22,
Displacement Length,3.571,3.571,3.571,0.000,3.571,3.571,3.571,3.571,1,µm,Surface,,,,,,23,
Displacement Length,5.022,5.022,5.022,0.000,5.022,5.022,5.022,5.022,1,µm,Surface,,,,,,24,
Displacement Length,2.024,2.024,2.024,0.000,2.024,2.024,2.024,2.024,1,µm,Surface,,,,,,26,
Distance from Origin,11309.372,11309.372,11309.372,0.000,11309.372,11309.372,11309.372,11309.372,1,µm,Surface,,,Distance from Origin,,,19,
Distance from Origin,11309.392,11309.392,11309.392,0.000,11309.392,11309.392,11309.392,11309.392,1,µm,Surface,,,Distance from Origin,,,22,
Distance from Origin,11309.780,11309.780,11309.780,0.000,11309.780,11309.780,11309.780,11309.780,1,µm,Surface,,,Distance from Origin,,,23,
Distance from Origin,11310.183,11310.183,11310.183,0.000,11310.183,11310.183,11310.183,11310.183,1,µm,Surface,,,Distance from Origin,,,24,
Distance from Origin,11309.359,11309.359,11309.359,0.000,11309.359,11309.359,11309.359,11309.359,1,µm,Surface,,,Distance from Origin,,,26,
Distance to Image Border XY,15.812,15.812,15.812,0.000,15.812,15.812,15.812,15.812,1,µm,Surface,,,,Image 1,,19,
Distance to Image Border XY,13.493,13.493,13.493,0.000,13.493,13.493,13.493,13.493,1,µm,Surface,,,,Image 1,,22,
Distance to Image Border XY,11.850,11.850,11.850,0.000,11.850,11.850,11.850,11.850,1,µm,Surface,,,,Image 1,,23,
Distance to Image Border XY,10.213,10.213,10.213,0.000,10.213,10.213,10.213,10.213,1,µm,Surface,,,,Image 1,,24,
Distance to Image Border XY,14.685,14.685,14.685,0.000,14.685,14.685,14.685,14.685,1,µm,Surface,,,,Image 1,,26,
Ellipticity (oblate),0.387,0.387,0.387,0.000,0.387,0.387,0.387,0.387,1,,Surface,,,,,,19,
Ellipticity (oblate),0.325,0.325,0.325,0.000,0.325,0.325,0.325,0.325,1,,Surface,,,,,,22,
Ellipticity (oblate),0.366,0.366,0.366,0.000,0.366,0.366,0.366,0.366,1,,Surface,,,,,,23,
Ellipticity (oblate),0.349,0.349,0.349,0.000,0.349,0.349,0.349,0.349,1,,Surface,,,,,,24,
Ellipticity (oblate),0.242,0.242,0.242,0.000,0.242,0.242,0.242,0.242,1,,Surface,,,,,,26,
Ellipticity (prolate),0.286,0.286,0.286,0.000,0.286,0.286,0.286,0.286,1,,Surface,,,,,,19,
Ellipticity (prolate),0.147,0.147,0.147,0.000,0.147,0.147,0.147,0.147,1,,Surface,,,,,,22,
Ellipticity (prolate),0.228,0.228,0.228,0.000,0.228,0.228,0.228,0.228,1,,Surface,,,,,,23,
Ellipticity (prolate),0.268,0.268,0.268,0.000,0.268,0.268,0.268,0.268,1,,Surface,,,,,,24,
Ellipticity (prolate),0.360,0.360,0.360,0.000,0.360,0.360,0.360,0.360,1,,Surface,,,,,,26,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,19,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,22,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,23,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,24,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,26,
Intensity Max,167.000,167.000,167.000,0.000,167.000,167.000,167.000,167.000,1,,Surface,1,,,Image 1,,19,
Intensity Max,198.000,198.000,198.000,0.000,198.000,198.000,198.000,198.000,1,,Surface,1,,,Image 1,,22,
Intensity Max,271.000,271.000,271.000,0.000,271.000,271.000,271.000,271.000,1,,Surface,1,,,Image 1,,23,
Intensity Max,326.000,326.000,326.000,0.000,326.000,326.000,326.000,326.000,1,,Surface,1,,,Image 1,,24,
Intensity Max,470.000,470.000,470.000,0.000,470.000,470.000,470.000,470.000,1,,Surface,1,,,Image 1,,26,
Intensity Mean,111.487,111.487,111.487,0.000,111.487,111.487,111.487,111.487,1,,Surface,1,,,Image 1,,19,
Intensity Mean,110.525,110.525,110.525,0.000,110.525,110.525,110.525,110.525,1,,Surface,1,,,Image 1,,22,
Intensity Mean,111.866,111.866,111.866,0.000,111.866,111.866,111.866,111.866,1,,Surface,1,,,Image 1,,23,
Intensity Mean,113.467,113.467,113.467,0.000,113.467,113.467,113.467,113.467,1,,Surface,1,,,Image 1,,24,
Intensity Mean,111.666,111.666,111.666,0.000,111.666,111.666,111.666,111.666,1,,Surface,1,,,Image 1,,26,
Intensity Median,110.031,110.031,110.031,0.000,110.031,110.031,110.031,110.031,1,,Surface,1,,,Image 1,,19,
Intensity Median,109.031,109.031,109.031,0.000,109.031,109.031,109.031,109.031,1,,Surface,1,,,Image 1,,22,
Intensity Median,109.062,109.062,109.062,0.000,109.062,109.062,109.062,109.062,1,,Surface,1,,,Image 1,,23,
Intensity Median,110.125,110.125,110.125,0.000,110.125,110.125,110.125,110.125,1,,Surface,1,,,Image 1,,24,
Intensity Median,104.125,104.125,104.125,0.000,104.125,104.125,104.125,104.125,1,,Surface,1,,,Image 1,,26,
Intensity Min,75.000,75.000,75.000,0.000,75.000,75.000,75.000,75.000,1,,Surface,1,,,Image 1,,19,
Intensity Min,78.000,78.000,78.000,0.000,78.000,78.000,78.000,78.000,1,,Surface,1,,,Image 1,,22,
Intensity Min,73.000,73.000,73.000,0.000,73.000,73.000,73.000,73.000,1,,Surface,1,,,Image 1,,23,
Intensity Min,75.000,75.000,75.000,0.000,75.000,75.000,75.000,75.000,1,,Surface,1,,,Image 1,,24,
Intensity Min,59.000,59.000,59.000,0.000,59.000,59.000,59.000,59.000,1,,Surface,1,,,Image 1,,26,
Intensity StdDev,12.641,12.641,12.641,0.000,12.641,12.641,12.641,12.641,1,,Surface,1,,,Image 1,,19,
