
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,63.601,63.601,63.601,0.000,63.601,63.601,63.601,63.601,1,µm^2,Surface,,,,,,19,
Area,101.577,101.577,101.577,0.000,101.577,101.577,101.577,101.577,1,µm^2,Surface,,,,,,20,
Area,122.793,122.793,122.793,0.000,122.793,122.793,122.793,122.793,1,µm^2,Surface,,,,,,21,
Area,127.331,127.331,127.331,0.000,127.331,127.331,127.331,127.331,1,µm^2,Surface,,,,,,22,
Area,114.628,114.628,114.628,0.000,114.628,114.628,114.628,114.628,1,µm^2,Surface,,,,,,23,
Area,101.788,101.788,101.788,0.000,101.788,101.788,101.788,101.788,1,µm^2,Surface,,,,,,24,
Area,87.907,87.907,87.907,0.000,87.907,87.907,87.907,87.907,1,µm^2,Surface,,,,,,25,
Area,73.632,73.632,73.632,0.000,73.632,73.632,73.632,73.632,1,µm^2,Surface,,,,,,26,
Area,79.697,79.697,79.697,0.000,79.697,79.697,79.697,79.697,1,µm^2,Surface,,,,,,27,
Area,75.879,75.879,75.879,0.000,75.879,75.879,75.879,75.879,1,µm^2,Surface,,,,,,28,
Area,69.733,69.733,69.733,0.000,69.733,69.733,69.733,69.733,1,µm^2,Surface,,,,,,29,
Area,44.120,44.120,44.120,0.000,44.120,44.120,44.120,44.120,1,µm^2,Surface,,,,,,30,
Class Duration,120.017,120.017,120.017,0.000,120.017,120.017,120.017,120.017,1,s,Surface,,Set 1::Class A,,,,19,
Class Duration,120.017,120.017,120.017,0.000,120.017,120.017,120.017,120.017,1,s,Surface,,Set 1::Class A,,,,20,
Class Duration,120.017,120.017,120.017,0.000,120.017,120.017,120.017,120.017,1,s,Surface,,Set 1::Class A,,,,21,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,22,
Class Duration,239.983,239.983,239.983,0.000,239.983,239.983,239.983,239.983,1,s,Surface,,Set 1::Class A,,,,23,
Class Duration,239.983,239.983,239.983,0.000,239.983,239.983,239.983,239.983,1,s,Surface,,Set 1::Class A,,,,24,
Class Duration,239.983,239.983,239.983,0.000,239.983,239.983,239.983,239.983,1,s,Surface,,Set 1::Class A,,,,25,
Class Duration,239.983,239.983,239.983,0.000,239.983,239.983,239.983,239.983,1,s,Surface,,Set 1::Class A,,,,26,
Class Duration,239.983,239.983,239.983,0.000,239.983,239.983,239.983,239.983,1,s,Surface,,Set 1::Class A,,,,27,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,28,
Class Duration,59.992,59.992,59.992,0.000,59.992,59.992,59.992,59.992,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,59.992,59.992,59.992,0.000,59.992,59.992,59.992,59.992,1,s,Surface,,Set 1::Class A,,,,30,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,19,
Displacement Delta Length,1.268,1.268,1.268,0.000,1.268,1.268,1.268,1.268,1,µm,Surface,,,,,,20,
Displacement Delta Length,1.162,1.162,1.162,0.000,1.162,1.162,1.162,1.162,1,µm,Surface,,,,,,21,
Displacement Delta Length,1.627,1.627,1.627,0.000,1.627,1.627,1.627,1.627,1,µm,Surface,,,,,,22,
Displacement Delta Length,0.959,0.959,0.959,0.000,0.959,0.959,0.959,0.959,1,µm,Surface,,,,,,23,
Displacement Delta Length,0.527,0.527,0.527,0.000,0.527,0.527,0.527,0.527,1,µm,Surface,,,,,,24,
Displacement Delta Length,1.200,1.200,1.200,0.000,1.200,1.200,1.200,1.200,1,µm,Surface,,,,,,25,
Displacement Delta Length,0.887,0.887,0.887,0.000,0.887,0.887,0.887,0.887,1,µm,Surface,,,,,,26,
Displacement Delta Length,0.799,0.799,0.799,0.000,0.799,0.799,0.799,0.799,1,µm,Surface,,,,,,27,
Displacement Delta Length,1.991,1.991,1.991,0.000,1.991,1.991,1.991,1.991,1,µm,Surface,,,,,,28,
Displacement Delta Length,0.665,0.665,0.665,0.000,0.665,0.665,0.665,0.665,1,µm,Surface,,,,,,29,
Displacement Delta Length,0.644,0.644,0.644,0.000,0.644,0.644,0.644,0.644,1,µm,Surface,,,,,,30,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta X,-0.967,-0.967,-0.967,0.000,-0.967,-0.967,-0.967,-0.967,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta X,-0.781,-0.781,-0.781,0.000,-0.781,-0.781,-0.781,-0.781,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta X,-0.278,-0.278,-0.278,0.000,-0.278,-0.278,-0.278,-0.278,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta X,-0.391,-0.391,-0.391,0.000,-0.391,-0.391,-0.391,-0.391,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta X,-0.289,-0.289,-0.289,0.000,-0.289,-0.289,-0.289,-0.289,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta X,0.141,0.141,0.141,0.000,0.141,0.141,0.141,0.141,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta X,-0.763,-0.763,-0.763,0.000,-0.763,-0.763,-0.763,-0.763,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta X,0.554,0.554,0.554,0.000,0.554,0.554,0.554,0.554,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta X,0.812,0.812,0.812,0.000,0.812,0.812,0.812,0.812,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta X,-0.503,-0.503,-0.503,0.000,-0.503,-0.503,-0.503,-0.503,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta X,-0.329,-0.329,-0.329,0.000,-0.329,-0.329,-0.329,-0.329,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Y,0.411,0.411,0.411,0.000,0.411,0.411,0.411,0.411,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta Y,-0.497,-0.497,-0.497,0.000,-0.497,-0.497,-0.497,-0.497,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta Y,-1.035,-1.035,-1.035,0.000,-1.035,-1.035,-1.035,-1.035,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Y,0.301,0.301,0.301,0.000,0.301,0.301,0.301,0.301,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Y,-0.328,-0.328,-0.328,0.000,-0.328,-0.328,-0.328,-0.328,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Y,0.632,0.632,0.632,0.000,0.632,0.632,0.632,0.632,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta Y,-0.420,-0.420,-0.420,0.000,-0.420,-0.420,-0.420,-0.420,1,µm,Surface,,,Displacement Delta,,,26,
