
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,45.292,45.292,45.292,0.000,45.292,45.292,45.292,45.292,1,µm^2,Surface,,,,,,9,
Area,87.185,87.185,87.185,0.000,87.185,87.185,87.185,87.185,1,µm^2,Surface,,,,,,10,
Area,121.304,121.304,121.304,0.000,121.304,121.304,121.304,121.304,1,µm^2,Surface,,,,,,11,
Area,109.029,109.029,109.029,0.000,109.029,109.029,109.029,109.029,1,µm^2,Surface,,,,,,12,
Area,113.516,113.516,113.516,0.000,113.516,113.516,113.516,113.516,1,µm^2,Surface,,,,,,13,
Area,114.558,114.558,114.558,0.000,114.558,114.558,114.558,114.558,1,µm^2,Surface,,,,,,14,
Area,126.382,126.382,126.382,0.000,126.382,126.382,126.382,126.382,1,µm^2,Surface,,,,,,15,
Area,140.898,140.898,140.898,0.000,140.898,140.898,140.898,140.898,1,µm^2,Surface,,,,,,16,
Area,71.507,71.507,71.507,0.000,71.507,71.507,71.507,71.507,1,µm^2,Surface,,,,,,17,
Area,65.830,65.830,65.830,0.000,65.830,65.830,65.830,65.830,1,µm^2,Surface,,,,,,18,
Area,59.631,59.631,59.631,0.000,59.631,59.631,59.631,59.631,1,µm^2,Surface,,,,,,19,
Area,22.086,22.086,22.086,0.000,22.086,22.086,22.086,22.086,1,µm^2,Surface,,,,,,20,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,9,
Class Duration,59.929,59.929,59.929,0.000,59.929,59.929,59.929,59.929,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,59.929,59.929,59.929,0.000,59.929,59.929,59.929,59.929,1,s,Surface,,Set 1::Class B,,,,11,
Class Duration,120.032,120.032,120.032,0.000,120.032,120.032,120.032,120.032,1,s,Surface,,Set 1::Class A,,,,12,
Class Duration,120.032,120.032,120.032,0.000,120.032,120.032,120.032,120.032,1,s,Surface,,Set 1::Class A,,,,13,
Class Duration,120.032,120.032,120.032,0.000,120.032,120.032,120.032,120.032,1,s,Surface,,Set 1::Class A,,,,14,
Class Duration,59.989,59.989,59.989,0.000,59.989,59.989,59.989,59.989,1,s,Surface,,Set 1::Class B,,,,15,
Class Duration,59.989,59.989,59.989,0.000,59.989,59.989,59.989,59.989,1,s,Surface,,Set 1::Class B,,,,16,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,17,
Class Duration,119.956,119.956,119.956,0.000,119.956,119.956,119.956,119.956,1,s,Surface,,Set 1::Class B,,,,18,
Class Duration,119.956,119.956,119.956,0.000,119.956,119.956,119.956,119.956,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,119.956,119.956,119.956,0.000,119.956,119.956,119.956,119.956,1,s,Surface,,Set 1::Class B,,,,20,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,9,
Displacement Delta Length,0.825,0.825,0.825,0.000,0.825,0.825,0.825,0.825,1,µm,Surface,,,,,,10,
Displacement Delta Length,0.940,0.940,0.940,0.000,0.940,0.940,0.940,0.940,1,µm,Surface,,,,,,11,
Displacement Delta Length,0.750,0.750,0.750,0.000,0.750,0.750,0.750,0.750,1,µm,Surface,,,,,,12,
Displacement Delta Length,0.670,0.670,0.670,0.000,0.670,0.670,0.670,0.670,1,µm,Surface,,,,,,13,
Displacement Delta Length,0.571,0.571,0.571,0.000,0.571,0.571,0.571,0.571,1,µm,Surface,,,,,,14,
Displacement Delta Length,0.891,0.891,0.891,0.000,0.891,0.891,0.891,0.891,1,µm,Surface,,,,,,15,
Displacement Delta Length,1.005,1.005,1.005,0.000,1.005,1.005,1.005,1.005,1,µm,Surface,,,,,,16,
Displacement Delta Length,0.559,0.559,0.559,0.000,0.559,0.559,0.559,0.559,1,µm,Surface,,,,,,17,
Displacement Delta Length,2.229,2.229,2.229,0.000,2.229,2.229,2.229,2.229,1,µm,Surface,,,,,,18,
Displacement Delta Length,2.392,2.392,2.392,0.000,2.392,2.392,2.392,2.392,1,µm,Surface,,,,,,19,
Displacement Delta Length,1.488,1.488,1.488,0.000,1.488,1.488,1.488,1.488,1,µm,Surface,,,,,,20,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta X,-0.250,-0.250,-0.250,0.000,-0.250,-0.250,-0.250,-0.250,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta X,-0.390,-0.390,-0.390,0.000,-0.390,-0.390,-0.390,-0.390,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta X,-0.467,-0.467,-0.467,0.000,-0.467,-0.467,-0.467,-0.467,1,µm,Surface,,,Displacement Delta,,,12,
