
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,40.042,40.042,40.042,0.000,40.042,40.042,40.042,40.042,1,µm^2,Surface,,,,,,9,
Area,86.210,86.210,86.210,0.000,86.210,86.210,86.210,86.210,1,µm^2,Surface,,,,,,10,
Area,116.325,116.325,116.325,0.000,116.325,116.325,116.325,116.325,1,µm^2,Surface,,,,,,11,
Area,98.833,98.833,98.833,0.000,98.833,98.833,98.833,98.833,1,µm^2,Surface,,,,,,12,
Area,111.964,111.964,111.964,0.000,111.964,111.964,111.964,111.964,1,µm^2,Surface,,,,,,13,
Area,117.302,117.302,117.302,0.000,117.302,117.302,117.302,117.302,1,µm^2,Surface,,,,,,14,
Area,119.330,119.330,119.330,0.000,119.330,119.330,119.330,119.330,1,µm^2,Surface,,,,,,15,
Area,106.461,106.461,106.461,0.000,106.461,106.461,106.461,106.461,1,µm^2,Surface,,,,,,16,
Area,38.478,107.716,73.097,34.619,73.097,55.781,90.406,146.195,2,µm^2,Surface,,,,,,17,
Area,20.673,88.930,54.801,34.128,54.801,37.719,71.844,109.603,2,µm^2,Surface,,,,,,18,
Area,17.428,87.692,52.560,35.132,52.560,34.984,70.141,105.120,2,µm^2,Surface,,,,,,19,
Area,14.906,14.906,14.906,0.000,14.906,14.906,14.906,14.906,1,µm^2,Surface,,,,,,20,
Area,15.805,15.805,15.805,0.000,15.805,15.805,15.805,15.805,1,µm^2,Surface,,,,,,21,
Area,16.738,16.738,16.738,0.000,16.738,16.738,16.738,16.738,1,µm^2,Surface,,,,,,22,
Area,15.609,15.609,15.609,0.000,15.609,15.609,15.609,15.609,1,µm^2,Surface,,,,,,23,
Area,15.312,15.312,15.312,0.000,15.312,15.312,15.312,15.312,1,µm^2,Surface,,,,,,24,
Area,15.975,15.975,15.975,0.000,15.975,15.975,15.975,15.975,1,µm^2,Surface,,,,,,25,
Area,23.081,23.081,23.081,0.000,23.081,23.081,23.081,23.081,1,µm^2,Surface,,,,,,26,
Area,23.353,23.353,23.353,0.000,23.353,23.353,23.353,23.353,1,µm^2,Surface,,,,,,27,
Area,27.164,27.164,27.164,0.000,27.164,27.164,27.164,27.164,1,µm^2,Surface,,,,,,28,
Area,28.203,28.203,28.203,0.000,28.203,28.203,28.203,28.203,1,µm^2,Surface,,,,,,29,
Area,22.751,22.751,22.751,0.000,22.751,22.751,22.751,22.751,1,µm^2,Surface,,,,,,30,
Area,17.641,17.641,17.641,0.000,17.641,17.641,17.641,17.641,1,µm^2,Surface,,,,,,31,
Area,17.536,17.536,17.536,0.000,17.536,17.536,17.536,17.536,1,µm^2,Surface,,,,,,32,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,9,
Class Duration,119.946,119.946,119.946,0.000,119.946,119.946,119.946,119.946,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,119.946,119.946,119.946,0.000,119.946,119.946,119.946,119.946,1,s,Surface,,Set 1::Class B,,,,11,
Class Duration,119.946,119.946,119.946,0.000,119.946,119.946,119.946,119.946,1,s,Surface,,Set 1::Class B,,,,12,
Class Duration,120.065,120.065,120.065,0.000,120.065,120.065,120.065,120.065,1,s,Surface,,Set 1::Class A,,,,13,
Class Duration,120.065,120.065,120.065,0.000,120.065,120.065,120.065,120.065,1,s,Surface,,Set 1::Class A,,,,14,
Class Duration,120.065,120.065,120.065,0.000,120.065,120.065,120.065,120.065,1,s,Surface,,Set 1::Class A,,,,15,
Class Duration,240.003,240.003,240.003,0.000,240.003,240.003,240.003,240.003,1,s,Surface,,Set 1::Class B,,,,17,
Class Duration,240.003,240.003,240.003,0.000,240.003,240.003,240.003,240.003,1,s,Surface,,Set 1::Class B,,,,18,
Class Duration,240.003,240.003,240.003,0.000,240.003,240.003,240.003,240.003,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,240.003,240.003,240.003,0.000,240.003,240.003,240.003,240.003,1,s,Surface,,Set 1::Class B,,,,20,
Class Duration,240.003,240.003,240.003,0.000,240.003,240.003,240.003,240.003,1,s,Surface,,Set 1::Class B,,,,21,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,22,
Class Duration,179.992,179.992,179.992,0.000,179.992,179.992,179.992,179.992,1,s,Surface,,Set 1::Class B,,,,23,
Class Duration,179.992,179.992,179.992,0.000,179.992,179.992,179.992,179.992,1,s,Surface,,Set 1::Class B,,,,24,
Class Duration,179.992,179.992,179.992,0.000,179.992,179.992,179.992,179.992,1,s,Surface,,Set 1::Class B,,,,25,
Class Duration,179.992,179.992,179.992,0.000,179.992,179.992,179.992,179.992,1,s,Surface,,Set 1::Class B,,,,26,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,27,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,28,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,60.004,60.004,60.004,0.000,60.004,60.004,60.004,60.004,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,60.004,60.004,60.004,0.000,60.004,60.004,60.004,60.004,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,32,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,9,
Displacement Delta Length,2.294,2.294,2.294,0.000,2.294,2.294,2.294,2.294,1,µm,Surface,,,,,,10,
Displacement Delta Length,1.328,1.328,1.328,0.000,1.328,1.328,1.328,1.328,1,µm,Surface,,,,,,11,
Displacement Delta Length,1.049,1.049,1.049,0.000,1.049,1.049,1.049,1.049,1,µm,Surface,,,,,,12,
Displacement Delta Length,0.509,0.509,0.509,0.000,0.509,0.509,0.509,0.509,1,µm,Surface,,,,,,13,
