nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,Unnamed: 18,Unnamed: 17
ABa,Intensity Max,315,315,315,0,315,315,315,315,1,,Surface,1,,,Image 1,,3,,
ABa,Intensity Max,269,269,269,0,269,269,269,269,1,,Surface,1,,,Image 1,,4,,
ABa,Intensity Max,260,260,260,0,260,260,260,260,1,,Surface,1,,,Image 1,,5,,
ABa,Intensity Max,252,252,252,0,252,252,252,252,1,,Surface,1,,,Image 1,,6,,
ABa,Intensity Max,237,237,237,0,237,237,237,237,1,,Surface,1,,,Image 1,,7,,
ABa,Intensity Max,287,287,287,0,287,287,287,287,1,,Surface,1,,,Image 1,,8,,
ABa,Intensity Max,333,333,333,0,333,333,333,333,1,,Surface,1,,,Image 1,,9,,
ABal,Intensity Max,316,316,316,0,316,316,316,316,1,,Surface,1,,,Image 1,,18,,
ABal,Intensity Max,264,264,264,0,264,264,264,264,1,,Surface,1,,,Image 1,,19,,
ABal,Intensity Max,380,380,380,0,380,380,380,380,1,,Surface,1,,,Image 1,,20,,
ABal,Intensity Max,1036,1036,1036,0,1036,1036,1036,1036,1,,Surface,1,,,Image 1,,21,,
ABal,Intensity Max,1133,1133,1133,0,1133,1133,1133,1133,1,,Surface,1,,,Image 1,,22,,
ABal,Intensity Max,2294,2294,2294,0,2294,2294,2294,2294,1,,Surface,1,,,Image 1,,23,,
ABal,Intensity Max,2782,2782,2782,0,2782,2782,2782,2782,1,,Surface,1,,,Image 1,,24,,
ABal,Intensity Max,1750,1750,1750,0,1750,1750,1750,1750,1,,Surface,1,,,Image 1,,25,,
ABal,Intensity Max,1807,1807,1807,0,1807,1807,1807,1807,1,,Surface,1,,,Image 1,,26,,
ABal,Intensity Max,2337,2337,2337,0,2337,2337,2337,2337,1,,Surface,1,,,Image 1,,27,,
ABal,Intensity Max,1036,1036,1036,0,1036,1036,1036,1036,1,,Surface,1,,,Image 1,,28,,
ABar,Intensity Max,326,326,326,0,326,326,326,326,1,,Surface,1,,,Image 1,,18,,
ABar,Intensity Max,451,451,451,0,451,451,451,451,1,,Surface,1,,,Image 1,,19,,
ABar,Intensity Max,667,667,667,0,667,667,667,667,1,,Surface,1,,,Image 1,,20,,
ABar,Intensity Max,1121,1121,1121,0,1121,1121,1121,1121,1,,Surface,1,,,Image 1,,21,,
ABar,Intensity Max,3581,3581,3581,0,3581,3581,3581,3581,1,,Surface,1,,,Image 1,,22,,
ABar,Intensity Max,4259,4259,4259,0,4259,4259,4259,4259,1,,Surface,1,,,Image 1,,23,,
ABar,Intensity Max,2468,2468,2468,0,2468,2468,2468,2468,1,,Surface,1,,,Image 1,,24,,
ABar,Intensity Max,3097,3097,3097,0,3097,3097,3097,3097,1,,Surface,1,,,Image 1,,25,,
ABar,Intensity Max,4277,4277,4277,0,4277,4277,4277,4277,1,,Surface,1,,,Image 1,,26,,
ABar,Intensity Max,3286,3286,3286,0,3286,3286,3286,3286,1,,Surface,1,,,Image 1,,27,,
ABar,Intensity Max,1753,1753,1753,0,1753,1753,1753,1753,1,,Surface,1,,,Image 1,,28,,
ABar,Intensity Max,703,703,703,0,703,703,703,703,1,,Surface,1,,,Image 1,,29,,
ABar,Intensity Max,282,282,282,0,282,282,282,282,1,,Surface,1,,,Image 1,,30,,
ABar,Intensity Max,287,287,287,0,287,287,287,287,1,,Surface,1,,,Image 1,,31,,
ABar,Intensity Max,253,253,253,0,253,253,253,253,1,,Surface,1,,,Image 1,,32,,
ABp,Intensity Max,277,277,277,0,277,277,277,277,1,,Surface,1,,,Image 1,,3,,
ABp,Intensity Max,329,329,329,0,329,329,329,329,1,,Surface,1,,,Image 1,,4,,
ABp,Intensity Max,349,349,349,0,349,349,349,349,1,,Surface,1,,,Image 1,,5,,
ABp,Intensity Max,495,495,495,0,495,495,495,495,1,,Surface,1,,,Image 1,,6,,
ABp,Intensity Max,1194,1194,1194,0,1194,1194,1194,1194,1,,Surface,1,,,Image 1,,7,,
ABp,Intensity Max,873,873,873,0,873,873,873,873,1,,Surface,1,,,Image 1,,8,,
ABp,Intensity Max,1180,1180,1180,0,1180,1180,1180,1180,1,,Surface,1,,,Image 1,,9,,
ABpl,Intensity Max,167,167,167,0,167,167,167,167,1,,Surface,1,,,Image 1,,19,,
ABpl,Intensity Max,198,198,198,0,198,198,198,198,1,,Surface,1,,,Image 1,,22,,
ABpl,Intensity Max,271,271,271,0,271,271,271,271,1,,Surface,1,,,Image 1,,23,,
ABpl,Intensity Max,326,326,326,0,326,326,326,326,1,,Surface,1,,,Image 1,,24,,
ABpl,Intensity Max,470,470,470,0,470,470,470,470,1,,Surface,1,,,Image 1,,26,,
ABpr,Intensity Max,297,297,297,0,297,297,297,297,1,,Surface,1,,,Image 1,,19,,
ABpr,Intensity Max,799,799,799,0,799,799,799,799,1,,Surface,1,,,Image 1,,20,,
ABpr,Intensity Max,555,555,555,0,555,555,555,555,1,,Surface,1,,,Image 1,,21,,
ABpr,Intensity Max,847,847,847,0,847,847,847,847,1,,Surface,1,,,Image 1,,22,,
ABpr,Intensity Max,1082,1082,1082,0,1082,1082,1082,1082,1,,Surface,1,,,Image 1,,23,,
ABpr,Intensity Max,1255,1255,1255,0,1255,1255,1255,1255,1,,Surface,1,,,Image 1,,24,,
ABpr,Intensity Max,1375,1375,1375,0,1375,1375,1375,1375,1,,Surface,1,,,Image 1,,25,,
ABpr,Intensity Max,1748,1748,1748,0,1748,1748,1748,1748,1,,Surface,1,,,Image 1,,26,,
ABpr,Intensity Max,1068,1068,1068,0,1068,1068,1068,1068,1,,Surface,1,,,Image 1,,27,,
ABpr,Intensity Max,1300,1300,1300,0,1300,1300,1300,1300,1,,Surface,1,,,Image 1,,28,,
ABpr,Intensity Max,849,849,849,0,849,849,849,849,1,,Surface,1,,,Image 1,,29,,
