
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,390.492,390.492,390.492,0.000,390.492,390.492,390.492,390.492,1,µm^2,Surface,,,,,1,
Area,417.184,417.184,417.184,0.000,417.184,417.184,417.184,417.184,1,µm^2,Surface,,,,,2,
Area,385.692,385.692,385.692,0.000,385.692,385.692,385.692,385.692,1,µm^2,Surface,,,,,3,
Area,370.083,370.083,370.083,0.000,370.083,370.083,370.083,370.083,1,µm^2,Surface,,,,,4,
Area,345.326,345.326,345.326,0.000,345.326,345.326,345.326,345.326,1,µm^2,Surface,,,,,5,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,3,
Displacement Delta Length,1.829,1.829,1.829,0.000,1.829,1.829,1.829,1.829,1,µm,Surface,,,,,4,
Displacement Delta Length,2.171,2.171,2.171,0.000,2.171,2.171,2.171,2.171,1,µm,Surface,,,,,5,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta X,-1.765,-1.765,-1.765,0.000,-1.765,-1.765,-1.765,-1.765,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta X,-0.804,-0.804,-0.804,0.000,-0.804,-0.804,-0.804,-0.804,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Y,0.126,0.126,0.126,0.000,0.126,0.126,0.126,0.126,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta Y,0.922,0.922,0.922,0.000,0.922,0.922,0.922,0.922,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Z,0.466,0.466,0.466,0.000,0.466,0.466,0.466,0.466,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta Z,-1.794,-1.794,-1.794,0.000,-1.794,-1.794,-1.794,-1.794,1,µm,Surface,,Displacement Delta,,,5,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,3,
Displacement Length,1.829,1.829,1.829,0.000,1.829,1.829,1.829,1.829,1,µm,Surface,,,,,4,
Displacement Length,3.075,3.075,3.075,0.000,3.075,3.075,3.075,3.075,1,µm,Surface,,,,,5,
Distance from Origin,18495.197,18495.197,18495.197,0.000,18495.197,18495.197,18495.197,18495.197,1,µm,Surface,,Distance from Origin,,,1,
Distance from Origin,18491.738,18491.738,18491.738,0.000,18491.738,18491.738,18491.738,18491.738,1,µm,Surface,,Distance from Origin,,,2,
