
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,91.706,91.706,91.706,0.000,91.706,91.706,91.706,91.706,1,µm^2,Surface,,,,,10,
Area,128.983,128.983,128.983,0.000,128.983,128.983,128.983,128.983,1,µm^2,Surface,,,,,11,
Area,173.475,173.475,173.475,0.000,173.475,173.475,173.475,173.475,1,µm^2,Surface,,,,,12,
Area,194.686,194.686,194.686,0.000,194.686,194.686,194.686,194.686,1,µm^2,Surface,,,,,13,
Area,203.747,203.747,203.747,0.000,203.747,203.747,203.747,203.747,1,µm^2,Surface,,,,,14,
Area,215.728,215.728,215.728,0.000,215.728,215.728,215.728,215.728,1,µm^2,Surface,,,,,15,
Area,223.629,223.629,223.629,0.000,223.629,223.629,223.629,223.629,1,µm^2,Surface,,,,,16,
Area,224.548,224.548,224.548,0.000,224.548,224.548,224.548,224.548,1,µm^2,Surface,,,,,17,
Area,234.681,234.681,234.681,0.000,234.681,234.681,234.681,234.681,1,µm^2,Surface,,,,,18,
Area,229.340,229.340,229.340,0.000,229.340,229.340,229.340,229.340,1,µm^2,Surface,,,,,19,
Area,136.999,136.999,136.999,0.000,136.999,136.999,136.999,136.999,1,µm^2,Surface,,,,,20,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,12,
Displacement Delta Length,1.663,1.663,1.663,0.000,1.663,1.663,1.663,1.663,1,µm,Surface,,,,,13,
Displacement Delta Length,0.415,0.415,0.415,0.000,0.415,0.415,0.415,0.415,1,µm,Surface,,,,,14,
Displacement Delta Length,1.342,1.342,1.342,0.000,1.342,1.342,1.342,1.342,1,µm,Surface,,,,,15,
Displacement Delta Length,1.813,1.813,1.813,0.000,1.813,1.813,1.813,1.813,1,µm,Surface,,,,,16,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,17,
Displacement Delta Length,0.872,0.872,0.872,0.000,0.872,0.872,0.872,0.872,1,µm,Surface,,,,,18,
Displacement Delta Length,1.180,1.180,1.180,0.000,1.180,1.180,1.180,1.180,1,µm,Surface,,,,,19,
Displacement Delta Length,0.925,0.925,0.925,0.000,0.925,0.925,0.925,0.925,1,µm,Surface,,,,,20,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta X,1.478,1.478,1.478,0.000,1.478,1.478,1.478,1.478,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,0.354,0.354,0.354,0.000,0.354,0.354,0.354,0.354,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,1.051,1.051,1.051,0.000,1.051,1.051,1.051,1.051,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,-0.196,-0.196,-0.196,0.000,-0.196,-0.196,-0.196,-0.196,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,-0.699,-0.699,-0.699,0.000,-0.699,-0.699,-0.699,-0.699,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,-0.018,-0.018,-0.018,0.000,-0.018,-0.018,-0.018,-0.018,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,-0.056,-0.056,-0.056,0.000,-0.056,-0.056,-0.056,-0.056,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Y,-0.498,-0.498,-0.498,0.000,-0.498,-0.498,-0.498,-0.498,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Y,-0.121,-0.121,-0.121,0.000,-0.121,-0.121,-0.121,-0.121,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Y,0.833,0.833,0.833,0.000,0.833,0.833,0.833,0.833,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Y,-1.662,-1.662,-1.662,0.000,-1.662,-1.662,-1.662,-1.662,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,0.331,0.331,0.331,0.000,0.331,0.331,0.331,0.331,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,-0.972,-0.972,-0.972,0.000,-0.972,-0.972,-0.972,-0.972,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,-0.107,-0.107,-0.107,0.000,-0.107,-0.107,-0.107,-0.107,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Z,-0.579,-0.579,-0.579,0.000,-0.579,-0.579,-0.579,-0.579,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Z,0.180,0.180,0.180,0.000,0.180,0.180,0.180,0.180,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Z,-0.062,-0.062,-0.062,0.000,-0.062,-0.062,-0.062,-0.062,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Z,0.697,0.697,0.697,0.000,0.697,0.697,0.697,0.697,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Z,0.403,0.403,0.403,0.000,0.403,0.403,0.403,0.403,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Z,0.669,0.669,0.669,0.000,0.669,0.669,0.669,0.669,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Z,-0.917,-0.917,-0.917,0.000,-0.917,-0.917,-0.917,-0.917,1,µm,Surface,,Displacement Delta,,,20,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,12,
Displacement Length,1.663,1.663,1.663,0.000,1.663,1.663,1.663,1.663,1,µm,Surface,,,,,13,
Displacement Length,1.974,1.974,1.974,0.000,1.974,1.974,1.974,1.974,1,µm,Surface,,,,,14,
Displacement Length,2.926,2.926,2.926,0.000,2.926,2.926,2.926,2.926,1,µm,Surface,,,,,15,
Displacement Length,3.060,3.060,3.060,0.000,3.060,3.060,3.060,3.060,1,µm,Surface,,,,,16,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,17,
Displacement Length,0.872,0.872,0.872,0.000,0.872,0.872,0.872,0.872,1,µm,Surface,,,,,18,
Displacement Length,1.440,1.440,1.440,0.000,1.440,1.440,1.440,1.440,1,µm,Surface,,,,,19,
Displacement Length,1.086,1.086,1.086,0.000,1.086,1.086,1.086,1.086,1,µm,Surface,,,,,20,
Distance from Origin,18488.621,18488.621,18488.621,0.000,18488.621,18488.621,18488.621,18488.621,1,µm,Surface,,Distance from Origin,,,10,
Distance from Origin,18486.336,18486.336,18486.336,0.000,18486.336,18486.336,18486.336,18486.336,1,µm,Surface,,Distance from Origin,,,11,
Distance from Origin,18486.561,18486.561,18486.561,0.000,18486.561,18486.561,18486.561,18486.561,1,µm,Surface,,Distance from Origin,,,12,
Distance from Origin,18487.553,18487.553,18487.553,0.000,18487.553,18487.553,18487.553,18487.553,1,µm,Surface,,Distance from Origin,,,13,
Distance from Origin,18487.941,18487.941,18487.941,0.000,18487.941,18487.941,18487.941,18487.941,1,µm,Surface,,Distance from Origin,,,14,
Distance from Origin,18488.879,18488.879,18488.879,0.000,18488.879,18488.879,18488.879,18488.879,1,µm,Surface,,Distance from Origin,,,15,
Distance from Origin,18488.949,18488.949,18488.949,0.000,18488.949,18488.949,18488.949,18488.949,1,µm,Surface,,Distance from Origin,,,16,
Distance from Origin,18487.289,18487.289,18487.289,0.000,18487.289,18487.289,18487.289,18487.289,1,µm,Surface,,Distance from Origin,,,17,
Distance from Origin,18486.887,18486.887,18486.887,0.000,18486.887,18486.887,18486.887,18486.887,1,µm,Surface,,Distance from Origin,,,18,
Distance from Origin,18487.139,18487.139,18487.139,0.000,18487.139,18487.139,18487.139,18487.139,1,µm,Surface,,Distance from Origin,,,19,
Distance from Origin,18486.646,18486.646,18486.646,0.000,18486.646,18486.646,18486.646,18486.646,1,µm,Surface,,Distance from Origin,,,20,
Distance to Image Border XY,9.015,9.015,9.015,0.000,9.015,9.015,9.015,9.015,1,µm,Surface,,,Image 1,,10,
Distance to Image Border XY,6.935,6.935,6.935,0.000,6.935,6.935,6.935,6.935,1,µm,Surface,,,Image 1,,11,
Distance to Image Border XY,7.287,7.287,7.287,0.000,7.287,7.287,7.287,7.287,1,µm,Surface,,,Image 1,,12,
Distance to Image Border XY,7.576,7.576,7.576,0.000,7.576,7.576,7.576,7.576,1,µm,Surface,,,Image 1,,13,
