
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,60.298,60.298,60.298,0.000,60.298,60.298,60.298,60.298,1,µm^2,Surface,,,,,25,
Area,90.047,90.047,90.047,0.000,90.047,90.047,90.047,90.047,1,µm^2,Surface,,,,,26,
Area,112.587,112.587,112.587,0.000,112.587,112.587,112.587,112.587,1,µm^2,Surface,,,,,27,
Area,120.702,120.702,120.702,0.000,120.702,120.702,120.702,120.702,1,µm^2,Surface,,,,,28,
Area,132.991,132.991,132.991,0.000,132.991,132.991,132.991,132.991,1,µm^2,Surface,,,,,29,
Area,137.338,137.338,137.338,0.000,137.338,137.338,137.338,137.338,1,µm^2,Surface,,,,,30,
Area,151.748,151.748,151.748,0.000,151.748,151.748,151.748,151.748,1,µm^2,Surface,,,,,31,
Area,160.877,160.877,160.877,0.000,160.877,160.877,160.877,160.877,1,µm^2,Surface,,,,,32,
Area,159.278,159.278,159.278,0.000,159.278,159.278,159.278,159.278,1,µm^2,Surface,,,,,33,
Area,153.922,153.922,153.922,0.000,153.922,153.922,153.922,153.922,1,µm^2,Surface,,,,,34,
Area,136.021,136.021,136.021,0.000,136.021,136.021,136.021,136.021,1,µm^2,Surface,,,,,35,
Area,145.403,145.403,145.403,0.000,145.403,145.403,145.403,145.403,1,µm^2,Surface,,,,,36,
Area,160.253,160.253,160.253,0.000,160.253,160.253,160.253,160.253,1,µm^2,Surface,,,,,37,
Area,167.935,167.935,167.935,0.000,167.935,167.935,167.935,167.935,1,µm^2,Surface,,,,,38,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,25,
Displacement Delta Length,0.933,0.933,0.933,0.000,0.933,0.933,0.933,0.933,1,µm,Surface,,,,,26,
Displacement Delta Length,0.507,0.507,0.507,0.000,0.507,0.507,0.507,0.507,1,µm,Surface,,,,,27,
Displacement Delta Length,1.020,1.020,1.020,0.000,1.020,1.020,1.020,1.020,1,µm,Surface,,,,,28,
Displacement Delta Length,1.979,1.979,1.979,0.000,1.979,1.979,1.979,1.979,1,µm,Surface,,,,,29,
Displacement Delta Length,0.770,0.770,0.770,0.000,0.770,0.770,0.770,0.770,1,µm,Surface,,,,,30,
Displacement Delta Length,0.685,0.685,0.685,0.000,0.685,0.685,0.685,0.685,1,µm,Surface,,,,,31,
Displacement Delta Length,0.972,0.972,0.972,0.000,0.972,0.972,0.972,0.972,1,µm,Surface,,,,,32,
Displacement Delta Length,0.529,0.529,0.529,0.000,0.529,0.529,0.529,0.529,1,µm,Surface,,,,,33,
Displacement Delta Length,1.148,1.148,1.148,0.000,1.148,1.148,1.148,1.148,1,µm,Surface,,,,,34,
Displacement Delta Length,1.359,1.359,1.359,0.000,1.359,1.359,1.359,1.359,1,µm,Surface,,,,,35,
Displacement Delta Length,0.976,0.976,0.976,0.000,0.976,0.976,0.976,0.976,1,µm,Surface,,,,,36,
Displacement Delta Length,1.105,1.105,1.105,0.000,1.105,1.105,1.105,1.105,1,µm,Surface,,,,,37,
Displacement Delta Length,0.766,0.766,0.766,0.000,0.766,0.766,0.766,0.766,1,µm,Surface,,,,,38,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,-0.489,-0.489,-0.489,0.000,-0.489,-0.489,-0.489,-0.489,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,0.135,0.135,0.135,0.000,0.135,0.135,0.135,0.135,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,0.854,0.854,0.854,0.000,0.854,0.854,0.854,0.854,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,1.798,1.798,1.798,0.000,1.798,1.798,1.798,1.798,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,0.225,0.225,0.225,0.000,0.225,0.225,0.225,0.225,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,0.682,0.682,0.682,0.000,0.682,0.682,0.682,0.682,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,0.099,0.099,0.099,0.000,0.099,0.099,0.099,0.099,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,-0.159,-0.159,-0.159,0.000,-0.159,-0.159,-0.159,-0.159,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,-0.873,-0.873,-0.873,0.000,-0.873,-0.873,-0.873,-0.873,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,0.095,0.095,0.095,0.000,0.095,0.095,0.095,0.095,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta X,0.885,0.885,0.885,0.000,0.885,0.885,0.885,0.885,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta X,-0.698,-0.698,-0.698,0.000,-0.698,-0.698,-0.698,-0.698,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta X,-0.436,-0.436,-0.436,0.000,-0.436,-0.436,-0.436,-0.436,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,-0.184,-0.184,-0.184,0.000,-0.184,-0.184,-0.184,-0.184,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,0.011,0.011,0.011,0.000,0.011,0.011,0.011,0.011,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,-0.022,-0.022,-0.022,0.000,-0.022,-0.022,-0.022,-0.022,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,-0.776,-0.776,-0.776,0.000,-0.776,-0.776,-0.776,-0.776,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,-0.439,-0.439,-0.439,0.000,-0.439,-0.439,-0.439,-0.439,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Y,0.055,0.055,0.055,0.000,0.055,0.055,0.055,0.055,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Y,-0.816,-0.816,-0.816,0.000,-0.816,-0.816,-0.816,-0.816,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Y,-0.127,-0.127,-0.127,0.000,-0.127,-0.127,-0.127,-0.127,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Y,0.258,0.258,0.258,0.000,0.258,0.258,0.258,0.258,1,µm,Surface,,Displacement Delta,,,34,
