
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,21.255,21.255,21.255,0.000,21.255,21.255,21.255,21.255,1,µm^2,Surface,,,,,24,
Area,74.353,74.353,74.353,0.000,74.353,74.353,74.353,74.353,1,µm^2,Surface,,,,,25,
Area,97.851,97.851,97.851,0.000,97.851,97.851,97.851,97.851,1,µm^2,Surface,,,,,26,
Area,118.924,118.924,118.924,0.000,118.924,118.924,118.924,118.924,1,µm^2,Surface,,,,,27,
Area,132.799,132.799,132.799,0.000,132.799,132.799,132.799,132.799,1,µm^2,Surface,,,,,28,
Area,141.877,141.877,141.877,0.000,141.877,141.877,141.877,141.877,1,µm^2,Surface,,,,,29,
Area,144.037,144.037,144.037,0.000,144.037,144.037,144.037,144.037,1,µm^2,Surface,,,,,30,
Area,140.021,140.021,140.021,0.000,140.021,140.021,140.021,140.021,1,µm^2,Surface,,,,,31,
Area,140.043,140.043,140.043,0.000,140.043,140.043,140.043,140.043,1,µm^2,Surface,,,,,32,
Area,153.030,153.030,153.030,0.000,153.030,153.030,153.030,153.030,1,µm^2,Surface,,,,,33,
Area,152.919,152.919,152.919,0.000,152.919,152.919,152.919,152.919,1,µm^2,Surface,,,,,34,
Area,142.379,142.379,142.379,0.000,142.379,142.379,142.379,142.379,1,µm^2,Surface,,,,,35,
Area,137.337,137.337,137.337,0.000,137.337,137.337,137.337,137.337,1,µm^2,Surface,,,,,36,
Area,138.390,138.390,138.390,0.000,138.390,138.390,138.390,138.390,1,µm^2,Surface,,,,,37,
Area,135.277,135.277,135.277,0.000,135.277,135.277,135.277,135.277,1,µm^2,Surface,,,,,38,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,24,
Displacement Delta Length,0.884,0.884,0.884,0.000,0.884,0.884,0.884,0.884,1,µm,Surface,,,,,25,
Displacement Delta Length,0.530,0.530,0.530,0.000,0.530,0.530,0.530,0.530,1,µm,Surface,,,,,26,
Displacement Delta Length,0.555,0.555,0.555,0.000,0.555,0.555,0.555,0.555,1,µm,Surface,,,,,27,
Displacement Delta Length,0.803,0.803,0.803,0.000,0.803,0.803,0.803,0.803,1,µm,Surface,,,,,28,
Displacement Delta Length,1.707,1.707,1.707,0.000,1.707,1.707,1.707,1.707,1,µm,Surface,,,,,29,
Displacement Delta Length,0.603,0.603,0.603,0.000,0.603,0.603,0.603,0.603,1,µm,Surface,,,,,30,
Displacement Delta Length,1.911,1.911,1.911,0.000,1.911,1.911,1.911,1.911,1,µm,Surface,,,,,31,
Displacement Delta Length,1.519,1.519,1.519,0.000,1.519,1.519,1.519,1.519,1,µm,Surface,,,,,32,
Displacement Delta Length,0.744,0.744,0.744,0.000,0.744,0.744,0.744,0.744,1,µm,Surface,,,,,33,
Displacement Delta Length,0.777,0.777,0.777,0.000,0.777,0.777,0.777,0.777,1,µm,Surface,,,,,34,
Displacement Delta Length,1.016,1.016,1.016,0.000,1.016,1.016,1.016,1.016,1,µm,Surface,,,,,35,
Displacement Delta Length,0.690,0.690,0.690,0.000,0.690,0.690,0.690,0.690,1,µm,Surface,,,,,36,
Displacement Delta Length,0.637,0.637,0.637,0.000,0.637,0.637,0.637,0.637,1,µm,Surface,,,,,37,
