
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,72.838,72.838,72.838,0.000,72.838,72.838,72.838,72.838,1,µm^2,Surface,,,,,10,
Area,116.188,116.188,116.188,0.000,116.188,116.188,116.188,116.188,1,µm^2,Surface,,,,,11,
Area,144.707,144.707,144.707,0.000,144.707,144.707,144.707,144.707,1,µm^2,Surface,,,,,12,
Area,153.718,153.718,153.718,0.000,153.718,153.718,153.718,153.718,1,µm^2,Surface,,,,,13,
Area,171.136,171.136,171.136,0.000,171.136,171.136,171.136,171.136,1,µm^2,Surface,,,,,14,
Area,187.343,187.343,187.343,0.000,187.343,187.343,187.343,187.343,1,µm^2,Surface,,,,,15,
Area,203.249,203.249,203.249,0.000,203.249,203.249,203.249,203.249,1,µm^2,Surface,,,,,16,
Area,216.055,216.055,216.055,0.000,216.055,216.055,216.055,216.055,1,µm^2,Surface,,,,,17,
Area,225.958,225.958,225.958,0.000,225.958,225.958,225.958,225.958,1,µm^2,Surface,,,,,18,
Area,223.693,223.693,223.693,0.000,223.693,223.693,223.693,223.693,1,µm^2,Surface,,,,,19,
Area,189.405,189.405,189.405,0.000,189.405,189.405,189.405,189.405,1,µm^2,Surface,,,,,20,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,10,
Displacement Delta Length,1.801,1.801,1.801,0.000,1.801,1.801,1.801,1.801,1,µm,Surface,,,,,11,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,12,
Displacement Delta Length,1.049,1.049,1.049,0.000,1.049,1.049,1.049,1.049,1,µm,Surface,,,,,13,
Displacement Delta Length,1.173,1.173,1.173,0.000,1.173,1.173,1.173,1.173,1,µm,Surface,,,,,14,
Displacement Delta Length,1.024,1.024,1.024,0.000,1.024,1.024,1.024,1.024,1,µm,Surface,,,,,15,
Displacement Delta Length,1.836,1.836,1.836,0.000,1.836,1.836,1.836,1.836,1,µm,Surface,,,,,16,
Displacement Delta Length,1.024,1.024,1.024,0.000,1.024,1.024,1.024,1.024,1,µm,Surface,,,,,17,
Displacement Delta Length,1.278,1.278,1.278,0.000,1.278,1.278,1.278,1.278,1,µm,Surface,,,,,18,
Displacement Delta Length,1.110,1.110,1.110,0.000,1.110,1.110,1.110,1.110,1,µm,Surface,,,,,19,
Displacement Delta Length,0.524,0.524,0.524,0.000,0.524,0.524,0.524,0.524,1,µm,Surface,,,,,20,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta X,-0.507,-0.507,-0.507,0.000,-0.507,-0.507,-0.507,-0.507,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta X,-0.527,-0.527,-0.527,0.000,-0.527,-0.527,-0.527,-0.527,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,-0.841,-0.841,-0.841,0.000,-0.841,-0.841,-0.841,-0.841,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,-0.896,-0.896,-0.896,0.000,-0.896,-0.896,-0.896,-0.896,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,-0.758,-0.758,-0.758,0.000,-0.758,-0.758,-0.758,-0.758,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,-0.854,-0.854,-0.854,0.000,-0.854,-0.854,-0.854,-0.854,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,-1.258,-1.258,-1.258,0.000,-1.258,-1.258,-1.258,-1.258,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,-1.003,-1.003,-1.003,0.000,-1.003,-1.003,-1.003,-1.003,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,-0.417,-0.417,-0.417,0.000,-0.417,-0.417,-0.417,-0.417,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta Y,0.515,0.515,0.515,0.000,0.515,0.515,0.515,0.515,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Y,0.896,0.896,0.896,0.000,0.896,0.896,0.896,0.896,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Y,0.143,0.143,0.143,0.000,0.143,0.143,0.143,0.143,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Y,0.201,0.201,0.201,0.000,0.201,0.201,0.201,0.201,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Y,-1.442,-1.442,-1.442,0.000,-1.442,-1.442,-1.442,-1.442,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,-0.462,-0.462,-0.462,0.000,-0.462,-0.462,-0.462,-0.462,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,-0.225,-0.225,-0.225,0.000,-0.225,-0.225,-0.225,-0.225,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,-0.159,-0.159,-0.159,0.000,-0.159,-0.159,-0.159,-0.159,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,0.029,0.029,0.029,0.000,0.029,0.029,0.029,0.029,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta Z,-1.649,-1.649,-1.649,0.000,-1.649,-1.649,-1.649,-1.649,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Z,0.139,0.139,0.139,0.000,0.139,0.139,0.139,0.139,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Z,-0.806,-0.806,-0.806,0.000,-0.806,-0.806,-0.806,-0.806,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Z,-0.451,-0.451,-0.451,0.000,-0.451,-0.451,-0.451,-0.451,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Z,-0.847,-0.847,-0.847,0.000,-0.847,-0.847,-0.847,-0.847,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Z,-0.325,-0.325,-0.325,0.000,-0.325,-0.325,-0.325,-0.325,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Z,0.029,0.029,0.029,0.000,0.029,0.029,0.029,0.029,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Z,0.449,0.449,0.449,0.000,0.449,0.449,0.449,0.449,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Z,0.315,0.315,0.315,0.000,0.315,0.315,0.315,0.315,1,µm,Surface,,Displacement Delta,,,20,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,10,
Displacement Length,1.801,1.801,1.801,0.000,1.801,1.801,1.801,1.801,1,µm,Surface,,,,,11,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,12,
Displacement Length,1.049,1.049,1.049,0.000,1.049,1.049,1.049,1.049,1,µm,Surface,,,,,13,
Displacement Length,1.843,1.843,1.843,0.000,1.843,1.843,1.843,1.843,1,µm,Surface,,,,,14,
Displacement Length,2.813,2.813,2.813,0.000,2.813,2.813,2.813,2.813,1,µm,Surface,,,,,15,
Displacement Length,3.611,3.611,3.611,0.000,3.611,3.611,3.611,3.611,1,µm,Surface,,,,,16,
Displacement Length,4.551,4.551,4.551,0.000,4.551,4.551,4.551,4.551,1,µm,Surface,,,,,17,
Displacement Length,5.680,5.680,5.680,0.000,5.680,5.680,5.680,5.680,1,µm,Surface,,,,,18,
Displacement Length,6.484,6.484,6.484,0.000,6.484,6.484,6.484,6.484,1,µm,Surface,,,,,19,
Displacement Length,6.799,6.799,6.799,0.000,6.799,6.799,6.799,6.799,1,µm,Surface,,,,,20,
Distance from Origin,18490.137,18490.137,18490.137,0.000,18490.137,18490.137,18490.137,18490.137,1,µm,Surface,,Distance from Origin,,,10,
Distance from Origin,18488.934,18488.934,18488.934,0.000,18488.934,18488.934,18488.934,18488.934,1,µm,Surface,,Distance from Origin,,,11,
Distance from Origin,18487.084,18487.084,18487.084,0.000,18487.084,18487.084,18487.084,18487.084,1,µm,Surface,,Distance from Origin,,,12,
Distance from Origin,18486.736,18486.736,18486.736,0.000,18486.736,18486.736,18486.736,18486.736,1,µm,Surface,,Distance from Origin,,,13,
Distance from Origin,18485.621,18485.621,18485.621,0.000,18485.621,18485.621,18485.621,18485.621,1,µm,Surface,,Distance from Origin,,,14,
Distance from Origin,18484.629,18484.629,18484.629,0.000,18484.629,18484.629,18484.629,18484.629,1,µm,Surface,,Distance from Origin,,,15,
Distance from Origin,18483.484,18483.484,18483.484,0.000,18483.484,18483.484,18483.484,18483.484,1,µm,Surface,,Distance from Origin,,,16,
Distance from Origin,18482.557,18482.557,18482.557,0.000,18482.557,18482.557,18482.557,18482.557,1,µm,Surface,,Distance from Origin,,,17,
Distance from Origin,18481.453,18481.453,18481.453,0.000,18481.453,18481.453,18481.453,18481.453,1,µm,Surface,,Distance from Origin,,,18,
Distance from Origin,18480.779,18480.779,18480.779,0.000,18480.779,18480.779,18480.779,18480.779,1,µm,Surface,,Distance from Origin,,,19,
Distance from Origin,18480.566,18480.566,18480.566,0.000,18480.566,18480.566,18480.566,18480.566,1,µm,Surface,,Distance from Origin,,,20,
Distance to Image Border XY,17.081,17.081,17.081,0.000,17.081,17.081,17.081,17.081,1,µm,Surface,,,Image 1,,10,
Distance to Image Border XY,15.418,15.418,15.418,0.000,15.418,15.418,15.418,15.418,1,µm,Surface,,,Image 1,,11,
Distance to Image Border XY,16.779,16.779,16.779,0.000,16.779,16.779,16.779,16.779,1,µm,Surface,,,Image 1,,12,
Distance to Image Border XY,15.778,15.778,15.778,0.000,15.778,15.778,15.778,15.778,1,µm,Surface,,,Image 1,,13,
Distance to Image Border XY,15.427,15.427,15.427,0.000,15.427,15.427,15.427,15.427,1,µm,Surface,,,Image 1,,14,
Distance to Image Border XY,15.122,15.122,15.122,0.000,15.122,15.122,15.122,15.122,1,µm,Surface,,,Image 1,,15,
Distance to Image Border XY,16.356,16.356,16.356,0.000,16.356,16.356,16.356,16.356,1,µm,Surface,,,Image 1,,16,
Distance to Image Border XY,16.609,16.609,16.609,0.000,16.609,16.609,16.609,16.609,1,µm,Surface,,,Image 1,,17,
Distance to Image Border XY,16.866,16.866,16.866,0.000,16.866,16.866,16.866,16.866,1,µm,Surface,,,Image 1,,18,
Distance to Image Border XY,16.603,16.603,16.603,0.000,16.603,16.603,16.603,16.603,1,µm,Surface,,,Image 1,,19,
Distance to Image Border XY,16.945,16.945,16.945,0.000,16.945,16.945,16.945,16.945,1,µm,Surface,,,Image 1,,20,
Ellipticity (oblate),0.322,0.322,0.322,0.000,0.322,0.322,0.322,0.322,1,,Surface,,,,,10,
Ellipticity (oblate),0.363,0.363,0.363,0.000,0.363,0.363,0.363,0.363,1,,Surface,,,,,11,
Ellipticity (oblate),0.386,0.386,0.386,0.000,0.386,0.386,0.386,0.386,1,,Surface,,,,,12,
Ellipticity (oblate),0.269,0.269,0.269,0.000,0.269,0.269,0.269,0.269,1,,Surface,,,,,13,
Ellipticity (oblate),0.177,0.177,0.177,0.000,0.177,0.177,0.177,0.177,1,,Surface,,,,,14,
Ellipticity (oblate),0.147,0.147,0.147,0.000,0.147,0.147,0.147,0.147,1,,Surface,,,,,15,
Ellipticity (oblate),0.103,0.103,0.103,0.000,0.103,0.103,0.103,0.103,1,,Surface,,,,,16,
Ellipticity (oblate),0.112,0.112,0.112,0.000,0.112,0.112,0.112,0.112,1,,Surface,,,,,17,
Ellipticity (oblate),0.095,0.095,0.095,0.000,0.095,0.095,0.095,0.095,1,,Surface,,,,,18,
Ellipticity (oblate),0.080,0.080,0.080,0.000,0.080,0.080,0.080,0.080,1,,Surface,,,,,19,
Ellipticity (oblate),0.116,0.116,0.116,0.000,0.116,0.116,0.116,0.116,1,,Surface,,,,,20,
Ellipticity (prolate),0.558,0.558,0.558,0.000,0.558,0.558,0.558,0.558,1,,Surface,,,,,10,
Ellipticity (prolate),0.267,0.267,0.267,0.000,0.267,0.267,0.267,0.267,1,,Surface,,,,,11,
