
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,96.433,96.433,96.433,0.000,96.433,96.433,96.433,96.433,1,µm^2,Surface,,,,,,26,
Area,134.077,134.077,134.077,0.000,134.077,134.077,134.077,134.077,1,µm^2,Surface,,,,,,28,
Area,145.490,145.490,145.490,0.000,145.490,145.490,145.490,145.490,1,µm^2,Surface,,,,,,29,
Area,119.143,119.143,119.143,0.000,119.143,119.143,119.143,119.143,1,µm^2,Surface,,,,,,30,
Area,91.001,91.001,91.001,0.000,91.001,91.001,91.001,91.001,1,µm^2,Surface,,,,,,31,
Area,75.873,75.873,75.873,0.000,75.873,75.873,75.873,75.873,1,µm^2,Surface,,,,,,32,
Area,62.439,62.439,62.439,0.000,62.439,62.439,62.439,62.439,1,µm^2,Surface,,,,,,33,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,26,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,28,
Class Duration,119.911,119.911,119.911,0.000,119.911,119.911,119.911,119.911,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,119.911,119.911,119.911,0.000,119.911,119.911,119.911,119.911,1,s,Surface,,Set 1::Class A,,,,30,
Class Duration,119.911,119.911,119.911,0.000,119.911,119.911,119.911,119.911,1,s,Surface,,Set 1::Class A,,,,31,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,33,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,26,
Displacement Delta Length,1.901,1.901,1.901,0.000,1.901,1.901,1.901,1.901,1,µm,Surface,,,,,,28,
Displacement Delta Length,1.451,1.451,1.451,0.000,1.451,1.451,1.451,1.451,1,µm,Surface,,,,,,29,
Displacement Delta Length,0.840,0.840,0.840,0.000,0.840,0.840,0.840,0.840,1,µm,Surface,,,,,,30,
Displacement Delta Length,1.133,1.133,1.133,0.000,1.133,1.133,1.133,1.133,1,µm,Surface,,,,,,31,
Displacement Delta Length,2.022,2.022,2.022,0.000,2.022,2.022,2.022,2.022,1,µm,Surface,,,,,,32,
Displacement Delta Length,1.112,1.112,1.112,0.000,1.112,1.112,1.112,1.112,1,µm,Surface,,,,,,33,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta X,1.627,1.627,1.627,0.000,1.627,1.627,1.627,1.627,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta X,-0.998,-0.998,-0.998,0.000,-0.998,-0.998,-0.998,-0.998,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta X,-0.755,-0.755,-0.755,0.000,-0.755,-0.755,-0.755,-0.755,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta X,-0.921,-0.921,-0.921,0.000,-0.921,-0.921,-0.921,-0.921,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta X,-0.536,-0.536,-0.536,0.000,-0.536,-0.536,-0.536,-0.536,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta X,-0.264,-0.264,-0.264,0.000,-0.264,-0.264,-0.264,-0.264,1,µm,Surface,,,Displacement Delta,,,33,
