
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,37.581,43.266,40.424,2.842,40.424,39.002,41.846,80.847,2,µm^2,Surface,,,,,,24,
Area,68.955,77.322,73.138,4.183,73.138,71.049,75.232,146.277,2,µm^2,Surface,,,,,,25,
Area,83.868,97.617,90.742,6.874,90.742,87.307,94.178,181.485,2,µm^2,Surface,,,,,,26,
Area,104.623,115.304,109.964,5.340,109.964,107.291,112.631,219.927,2,µm^2,Surface,,,,,,27,
Area,113.692,121.515,117.603,3.911,117.603,115.646,119.557,235.207,2,µm^2,Surface,,,,,,28,
Area,117.860,130.441,124.151,6.290,124.151,121.008,127.297,248.301,2,µm^2,Surface,,,,,,29,
Area,126.380,138.901,132.640,6.261,132.640,129.510,135.771,265.281,2,µm^2,Surface,,,,,,30,
Area,134.624,153.236,143.930,9.306,143.930,139.273,148.586,287.860,2,µm^2,Surface,,,,,,31,
Area,103.915,103.915,103.915,0.000,103.915,103.915,103.915,103.915,1,µm^2,Surface,,,,,,32,
Area,103.543,120.042,111.793,8.250,111.793,107.664,115.914,223.585,2,µm^2,Surface,,,,,,33,
Area,138.025,142.800,140.413,2.388,140.413,139.219,141.605,280.825,2,µm^2,Surface,,,,,,34,
Area,121.270,153.063,137.167,15.897,137.167,129.219,145.125,274.333,2,µm^2,Surface,,,,,,35,
Area,106.935,147.872,127.403,20.469,127.403,117.156,137.625,254.807,2,µm^2,Surface,,,,,,36,
Area,69.305,173.054,121.180,51.874,121.180,95.219,147.094,242.359,2,µm^2,Surface,,,,,,37,
Area,49.383,176.905,113.144,63.761,113.144,81.312,145.062,226.288,2,µm^2,Surface,,,,,,38,
Class Duration,599.949,599.949,599.949,0.000,599.949,599.949,599.949,599.949,1,s,Surface,,Set 1::Class A,,,,24,
Class Duration,599.949,599.949,599.949,0.000,599.949,599.949,599.949,599.949,1,s,Surface,,Set 1::Class A,,,,25,
Class Duration,599.949,599.949,599.949,0.000,599.949,599.949,599.949,599.949,1,s,Surface,,Set 1::Class A,,,,26,
Class Duration,599.949,599.949,599.949,0.000,599.949,599.949,599.949,599.949,1,s,Surface,,Set 1::Class A,,,,27,
Class Duration,599.949,599.949,599.949,0.000,599.949,599.949,599.949,599.949,1,s,Surface,,Set 1::Class A,,,,28,
Class Duration,599.949,599.949,599.949,0.000,599.949,599.949,599.949,599.949,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,599.949,599.949,599.949,0.000,599.949,599.949,599.949,599.949,1,s,Surface,,Set 1::Class A,,,,30,
Class Duration,599.949,599.949,599.949,0.000,599.949,599.949,599.949,599.949,1,s,Surface,,Set 1::Class A,,,,31,
Class Duration,599.949,599.949,599.949,0.000,599.949,599.949,599.949,599.949,1,s,Surface,,Set 1::Class A,,,,33,
Class Duration,599.949,599.949,599.949,0.000,599.949,599.949,599.949,599.949,1,s,Surface,,Set 1::Class A,,,,34,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,35,
Class Duration,119.864,119.864,119.864,0.000,119.864,119.864,119.864,119.864,1,s,Surface,,Set 1::Class A,,,,36,
Class Duration,119.864,119.864,119.864,0.000,119.864,119.864,119.864,119.864,1,s,Surface,,Set 1::Class A,,,,37,
Class Duration,119.864,119.864,119.864,0.000,119.864,119.864,119.864,119.864,1,s,Surface,,Set 1::Class A,,,,38,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,µm,Surface,,,,,,24,
Displacement Delta Length,0.673,0.964,0.819,0.145,0.819,0.746,0.891,1.637,2,µm,Surface,,,,,,25,
Displacement Delta Length,1.297,1.348,1.322,0.025,1.322,1.310,1.335,2.645,2,µm,Surface,,,,,,26,
Displacement Delta Length,0.796,0.868,0.832,0.036,0.832,0.814,0.850,1.664,2,µm,Surface,,,,,,27,
Displacement Delta Length,0.359,0.411,0.385,0.026,0.385,0.372,0.398,0.770,2,µm,Surface,,,,,,28,
Displacement Delta Length,1.166,1.175,1.170,0.004,1.170,1.168,1.173,2.341,2,µm,Surface,,,,,,29,
Displacement Delta Length,0.714,0.806,0.760,0.046,0.760,0.737,0.783,1.520,2,µm,Surface,,,,,,30,
Displacement Delta Length,1.390,1.398,1.394,0.004,1.394,1.392,1.396,2.788,2,µm,Surface,,,,,,31,
Displacement Delta Length,0.959,0.959,0.959,0.000,0.959,0.959,0.959,0.959,1,µm,Surface,,,,,,32,
Displacement Delta Length,0.825,1.089,0.957,0.132,0.957,0.891,1.023,1.915,2,µm,Surface,,,,,,33,
Displacement Delta Length,1.385,1.533,1.459,0.074,1.459,1.422,1.496,2.918,2,µm,Surface,,,,,,34,
Displacement Delta Length,1.884,2.061,1.973,0.088,1.973,1.929,2.017,3.946,2,µm,Surface,,,,,,35,
Displacement Delta Length,0.554,0.882,0.718,0.164,0.718,0.636,0.800,1.436,2,µm,Surface,,,,,,36,
Displacement Delta Length,0.540,0.668,0.604,0.064,0.604,0.572,0.636,1.209,2,µm,Surface,,,,,,37,
Displacement Delta Length,0.314,0.577,0.446,0.132,0.446,0.380,0.511,0.891,2,µm,Surface,,,,,,38,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta X,-0.356,-0.123,-0.240,0.117,-0.240,-0.298,-0.181,-0.479,2,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta X,-1.227,-1.161,-1.194,0.033,-1.194,-1.210,-1.177,-2.388,2,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta X,0.304,0.330,0.317,0.013,0.317,0.310,0.323,0.634,2,µm,Surface,,,Displacement Delta,,,27,
