
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,82.048,82.048,82.048,0.000,82.048,82.048,82.048,82.048,1,µm^2,Surface,,,,,13,
Area,113.435,113.435,113.435,0.000,113.435,113.435,113.435,113.435,1,µm^2,Surface,,,,,14,
Area,132.722,132.722,132.722,0.000,132.722,132.722,132.722,132.722,1,µm^2,Surface,,,,,15,
Area,149.284,149.284,149.284,0.000,149.284,149.284,149.284,149.284,1,µm^2,Surface,,,,,16,
Area,165.760,165.760,165.760,0.000,165.760,165.760,165.760,165.760,1,µm^2,Surface,,,,,17,
Area,178.075,178.075,178.075,0.000,178.075,178.075,178.075,178.075,1,µm^2,Surface,,,,,18,
Area,186.743,186.743,186.743,0.000,186.743,186.743,186.743,186.743,1,µm^2,Surface,,,,,19,
Area,196.405,196.405,196.405,0.000,196.405,196.405,196.405,196.405,1,µm^2,Surface,,,,,20,
Area,206.755,206.755,206.755,0.000,206.755,206.755,206.755,206.755,1,µm^2,Surface,,,,,21,
Area,217.617,217.617,217.617,0.000,217.617,217.617,217.617,217.617,1,µm^2,Surface,,,,,22,
Area,223.926,223.926,223.926,0.000,223.926,223.926,223.926,223.926,1,µm^2,Surface,,,,,23,
Area,227.462,227.462,227.462,0.000,227.462,227.462,227.462,227.462,1,µm^2,Surface,,,,,24,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,13,
Displacement Delta Length,1.228,1.228,1.228,0.000,1.228,1.228,1.228,1.228,1,µm,Surface,,,,,14,
Displacement Delta Length,0.723,0.723,0.723,0.000,0.723,0.723,0.723,0.723,1,µm,Surface,,,,,15,
Displacement Delta Length,0.662,0.662,0.662,0.000,0.662,0.662,0.662,0.662,1,µm,Surface,,,,,16,
Displacement Delta Length,1.504,1.504,1.504,0.000,1.504,1.504,1.504,1.504,1,µm,Surface,,,,,17,
Displacement Delta Length,0.424,0.424,0.424,0.000,0.424,0.424,0.424,0.424,1,µm,Surface,,,,,18,
Displacement Delta Length,0.635,0.635,0.635,0.000,0.635,0.635,0.635,0.635,1,µm,Surface,,,,,19,
Displacement Delta Length,0.537,0.537,0.537,0.000,0.537,0.537,0.537,0.537,1,µm,Surface,,,,,20,
Displacement Delta Length,1.157,1.157,1.157,0.000,1.157,1.157,1.157,1.157,1,µm,Surface,,,,,21,
Displacement Delta Length,1.855,1.855,1.855,0.000,1.855,1.855,1.855,1.855,1,µm,Surface,,,,,22,
Displacement Delta Length,1.021,1.021,1.021,0.000,1.021,1.021,1.021,1.021,1,µm,Surface,,,,,23,
Displacement Delta Length,1.814,1.814,1.814,0.000,1.814,1.814,1.814,1.814,1,µm,Surface,,,,,24,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,0.733,0.733,0.733,0.000,0.733,0.733,0.733,0.733,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,0.182,0.182,0.182,0.000,0.182,0.182,0.182,0.182,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,-0.405,-0.405,-0.405,0.000,-0.405,-0.405,-0.405,-0.405,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,-1.041,-1.041,-1.041,0.000,-1.041,-1.041,-1.041,-1.041,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,-0.040,-0.040,-0.040,0.000,-0.040,-0.040,-0.040,-0.040,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,-0.266,-0.266,-0.266,0.000,-0.266,-0.266,-0.266,-0.266,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,-0.282,-0.282,-0.282,0.000,-0.282,-0.282,-0.282,-0.282,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta X,-0.844,-0.844,-0.844,0.000,-0.844,-0.844,-0.844,-0.844,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta X,1.428,1.428,1.428,0.000,1.428,1.428,1.428,1.428,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta X,0.985,0.985,0.985,0.000,0.985,0.985,0.985,0.985,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,0.901,0.901,0.901,0.000,0.901,0.901,0.901,0.901,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Y,0.448,0.448,0.448,0.000,0.448,0.448,0.448,0.448,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Y,0.699,0.699,0.699,0.000,0.699,0.699,0.699,0.699,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Y,-0.127,-0.127,-0.127,0.000,-0.127,-0.127,-0.127,-0.127,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,-0.575,-0.575,-0.575,0.000,-0.575,-0.575,-0.575,-0.575,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,-0.382,-0.382,-0.382,0.000,-0.382,-0.382,-0.382,-0.382,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,0.574,0.574,0.574,0.000,0.574,0.574,0.574,0.574,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,0.399,0.399,0.399,0.000,0.399,0.399,0.399,0.399,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Y,0.770,0.770,0.770,0.000,0.770,0.770,0.770,0.770,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Y,1.066,1.066,1.066,0.000,1.066,1.066,1.066,1.066,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Y,-0.163,-0.163,-0.163,0.000,-0.163,-0.163,-0.163,-0.163,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,-1.566,-1.566,-1.566,0.000,-1.566,-1.566,-1.566,-1.566,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Z,-0.877,-0.877,-0.877,0.000,-0.877,-0.877,-0.877,-0.877,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Z,0.021,0.021,0.021,0.000,0.021,0.021,0.021,0.021,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Z,-0.508,-0.508,-0.508,0.000,-0.508,-0.508,-0.508,-0.508,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Z,-0.920,-0.920,-0.920,0.000,-0.920,-0.920,-0.920,-0.920,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Z,-0.180,-0.180,-0.180,0.000,-0.180,-0.180,-0.180,-0.180,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Z,-0.056,-0.056,-0.056,0.000,-0.056,-0.056,-0.056,-0.056,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Z,0.223,0.223,0.223,0.000,0.223,0.223,0.223,0.223,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Z,-0.182,-0.182,-0.182,0.000,-0.182,-0.182,-0.182,-0.182,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Z,-0.516,-0.516,-0.516,0.000,-0.516,-0.516,-0.516,-0.516,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Z,-0.210,-0.210,-0.210,0.000,-0.210,-0.210,-0.210,-0.210,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Z,0.152,0.152,0.152,0.000,0.152,0.152,0.152,0.152,1,µm,Surface,,Displacement Delta,,,24,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,13,
Displacement Length,1.228,1.228,1.228,0.000,1.228,1.228,1.228,1.228,1,µm,Surface,,,,,14,
Displacement Length,1.699,1.699,1.699,0.000,1.699,1.699,1.699,1.699,1,µm,Surface,,,,,15,
Displacement Length,1.778,1.778,1.778,0.000,1.778,1.778,1.778,1.778,1,µm,Surface,,,,,16,
Displacement Length,2.386,2.386,2.386,0.000,2.386,2.386,2.386,2.386,1,µm,Surface,,,,,17,
Displacement Length,2.529,2.529,2.529,0.000,2.529,2.529,2.529,2.529,1,µm,Surface,,,,,18,
Displacement Length,2.730,2.730,2.730,0.000,2.730,2.730,2.730,2.730,1,µm,Surface,,,,,19,
Displacement Length,2.756,2.756,2.756,0.000,2.756,2.756,2.756,2.756,1,µm,Surface,,,,,20,
Displacement Length,3.641,3.641,3.641,0.000,3.641,3.641,3.641,3.641,1,µm,Surface,,,,,21,
Displacement Length,4.183,4.183,4.183,0.000,4.183,4.183,4.183,4.183,1,µm,Surface,,,,,22,
Displacement Length,4.219,4.219,4.219,0.000,4.219,4.219,4.219,4.219,1,µm,Surface,,,,,23,
Displacement Length,3.527,3.527,3.527,0.000,3.527,3.527,3.527,3.527,1,µm,Surface,,,,,24,
Distance from Origin,18471.391,18471.391,18471.391,0.000,18471.391,18471.391,18471.391,18471.391,1,µm,Surface,,Distance from Origin,,,13,
Distance from Origin,18471.639,18471.639,18471.639,0.000,18471.639,18471.639,18471.639,18471.639,1,µm,Surface,,Distance from Origin,,,14,
Distance from Origin,18471.846,18471.846,18471.846,0.000,18471.846,18471.846,18471.846,18471.846,1,µm,Surface,,Distance from Origin,,,15,
Distance from Origin,18471.242,18471.242,18471.242,0.000,18471.242,18471.242,18471.242,18471.242,1,µm,Surface,,Distance from Origin,,,16,
Distance from Origin,18469.857,18469.857,18469.857,0.000,18469.857,18469.857,18469.857,18469.857,1,µm,Surface,,Distance from Origin,,,17,
Distance from Origin,18469.717,18469.717,18469.717,0.000,18469.717,18469.717,18469.717,18469.717,1,µm,Surface,,Distance from Origin,,,18,
Distance from Origin,18469.488,18469.488,18469.488,0.000,18469.488,18469.488,18469.488,18469.488,1,µm,Surface,,Distance from Origin,,,19,
Distance from Origin,18469.369,18469.369,18469.369,0.000,18469.369,18469.369,18469.369,18469.369,1,µm,Surface,,Distance from Origin,,,20,
Distance from Origin,18468.582,18468.582,18468.582,0.000,18468.582,18468.582,18468.582,18468.582,1,µm,Surface,,Distance from Origin,,,21,
Distance from Origin,18469.646,18469.646,18469.646,0.000,18469.646,18469.646,18469.646,18469.646,1,µm,Surface,,Distance from Origin,,,22,
Distance from Origin,18470.400,18470.400,18470.400,0.000,18470.400,18470.400,18470.400,18470.400,1,µm,Surface,,Distance from Origin,,,23,
Distance from Origin,18471.180,18471.180,18471.180,0.000,18471.180,18471.180,18471.180,18471.180,1,µm,Surface,,Distance from Origin,,,24,
Distance to Image Border XY,13.445,13.445,13.445,0.000,13.445,13.445,13.445,13.445,1,µm,Surface,,,Image 1,,13,
Distance to Image Border XY,13.762,13.762,13.762,0.000,13.762,13.762,13.762,13.762,1,µm,Surface,,,Image 1,,14,
Distance to Image Border XY,13.029,13.029,13.029,0.000,13.029,13.029,13.029,13.029,1,µm,Surface,,,Image 1,,15,
Distance to Image Border XY,12.843,12.843,12.843,0.000,12.843,12.843,12.843,12.843,1,µm,Surface,,,Image 1,,16,
Distance to Image Border XY,11.974,11.974,11.974,0.000,11.974,11.974,11.974,11.974,1,µm,Surface,,,Image 1,,17,
Distance to Image Border XY,11.829,11.829,11.829,0.000,11.829,11.829,11.829,11.829,1,µm,Surface,,,Image 1,,18,
Distance to Image Border XY,11.459,11.459,11.459,0.000,11.459,11.459,11.459,11.459,1,µm,Surface,,,Image 1,,19,
Distance to Image Border XY,11.072,11.072,11.072,0.000,11.072,11.072,11.072,11.072,1,µm,Surface,,,Image 1,,20,
Distance to Image Border XY,10.124,10.124,10.124,0.000,10.124,10.124,10.124,10.124,1,µm,Surface,,,Image 1,,21,
Distance to Image Border XY,10.469,10.469,10.469,0.000,10.469,10.469,10.469,10.469,1,µm,Surface,,,Image 1,,22,
