
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,49.417,49.417,49.417,0.000,49.417,49.417,49.417,49.417,1,µm^2,Surface,,,,,29,
Area,67.652,67.652,67.652,0.000,67.652,67.652,67.652,67.652,1,µm^2,Surface,,,,,30,
Area,78.008,78.008,78.008,0.000,78.008,78.008,78.008,78.008,1,µm^2,Surface,,,,,31,
Area,84.600,84.600,84.600,0.000,84.600,84.600,84.600,84.600,1,µm^2,Surface,,,,,32,
Area,89.623,89.623,89.623,0.000,89.623,89.623,89.623,89.623,1,µm^2,Surface,,,,,33,
Area,96.889,96.889,96.889,0.000,96.889,96.889,96.889,96.889,1,µm^2,Surface,,,,,34,
Area,81.044,81.044,81.044,0.000,81.044,81.044,81.044,81.044,1,µm^2,Surface,,,,,35,
Area,70.726,70.726,70.726,0.000,70.726,70.726,70.726,70.726,1,µm^2,Surface,,,,,36,
Area,63.691,63.691,63.691,0.000,63.691,63.691,63.691,63.691,1,µm^2,Surface,,,,,37,
Area,55.801,55.801,55.801,0.000,55.801,55.801,55.801,55.801,1,µm^2,Surface,,,,,38,
Area,49.331,49.331,49.331,0.000,49.331,49.331,49.331,49.331,1,µm^2,Surface,,,,,39,
Area,64.467,64.467,64.467,0.000,64.467,64.467,64.467,64.467,1,µm^2,Surface,,,,,40,
Area,65.591,65.591,65.591,0.000,65.591,65.591,65.591,65.591,1,µm^2,Surface,,,,,41,
Area,42.734,42.734,42.734,0.000,42.734,42.734,42.734,42.734,1,µm^2,Surface,,,,,42,
Area,50.519,50.519,50.519,0.000,50.519,50.519,50.519,50.519,1,µm^2,Surface,,,,,43,
Area,47.196,47.196,47.196,0.000,47.196,47.196,47.196,47.196,1,µm^2,Surface,,,,,44,
Area,76.405,76.405,76.405,0.000,76.405,76.405,76.405,76.405,1,µm^2,Surface,,,,,45,
Area,52.686,52.686,52.686,0.000,52.686,52.686,52.686,52.686,1,µm^2,Surface,,,,,46,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,29,
Displacement Delta Length,1.267,1.267,1.267,0.000,1.267,1.267,1.267,1.267,1,µm,Surface,,,,,30,
Displacement Delta Length,0.949,0.949,0.949,0.000,0.949,0.949,0.949,0.949,1,µm,Surface,,,,,31,
Displacement Delta Length,1.260,1.260,1.260,0.000,1.260,1.260,1.260,1.260,1,µm,Surface,,,,,32,
Displacement Delta Length,0.412,0.412,0.412,0.000,0.412,0.412,0.412,0.412,1,µm,Surface,,,,,33,
Displacement Delta Length,1.047,1.047,1.047,0.000,1.047,1.047,1.047,1.047,1,µm,Surface,,,,,34,
Displacement Delta Length,0.898,0.898,0.898,0.000,0.898,0.898,0.898,0.898,1,µm,Surface,,,,,35,
Displacement Delta Length,1.517,1.517,1.517,0.000,1.517,1.517,1.517,1.517,1,µm,Surface,,,,,36,
Displacement Delta Length,1.321,1.321,1.321,0.000,1.321,1.321,1.321,1.321,1,µm,Surface,,,,,37,
Displacement Delta Length,0.722,0.722,0.722,0.000,0.722,0.722,0.722,0.722,1,µm,Surface,,,,,38,
Displacement Delta Length,0.583,0.583,0.583,0.000,0.583,0.583,0.583,0.583,1,µm,Surface,,,,,39,
Displacement Delta Length,1.404,1.404,1.404,0.000,1.404,1.404,1.404,1.404,1,µm,Surface,,,,,40,
Displacement Delta Length,0.562,0.562,0.562,0.000,0.562,0.562,0.562,0.562,1,µm,Surface,,,,,41,
Displacement Delta Length,0.915,0.915,0.915,0.000,0.915,0.915,0.915,0.915,1,µm,Surface,,,,,42,
Displacement Delta Length,0.065,0.065,0.065,0.000,0.065,0.065,0.065,0.065,1,µm,Surface,,,,,43,
Displacement Delta Length,0.803,0.803,0.803,0.000,0.803,0.803,0.803,0.803,1,µm,Surface,,,,,44,
Displacement Delta Length,0.762,0.762,0.762,0.000,0.762,0.762,0.762,0.762,1,µm,Surface,,,,,45,
Displacement Delta Length,0.645,0.645,0.645,0.000,0.645,0.645,0.645,0.645,1,µm,Surface,,,,,46,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,-0.205,-0.205,-0.205,0.000,-0.205,-0.205,-0.205,-0.205,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,0.703,0.703,0.703,0.000,0.703,0.703,0.703,0.703,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,1.201,1.201,1.201,0.000,1.201,1.201,1.201,1.201,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,0.171,0.171,0.171,0.000,0.171,0.171,0.171,0.171,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,-0.935,-0.935,-0.935,0.000,-0.935,-0.935,-0.935,-0.935,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,-0.598,-0.598,-0.598,0.000,-0.598,-0.598,-0.598,-0.598,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta X,-0.451,-0.451,-0.451,0.000,-0.451,-0.451,-0.451,-0.451,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta X,-0.883,-0.883,-0.883,0.000,-0.883,-0.883,-0.883,-0.883,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta X,-0.564,-0.564,-0.564,0.000,-0.564,-0.564,-0.564,-0.564,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta X,-0.296,-0.296,-0.296,0.000,-0.296,-0.296,-0.296,-0.296,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta X,-0.151,-0.151,-0.151,0.000,-0.151,-0.151,-0.151,-0.151,1,µm,Surface,,Displacement Delta,,,40,
Displacement Delta X,-0.448,-0.448,-0.448,0.000,-0.448,-0.448,-0.448,-0.448,1,µm,Surface,,Displacement Delta,,,41,
Displacement Delta X,0.398,0.398,0.398,0.000,0.398,0.398,0.398,0.398,1,µm,Surface,,Displacement Delta,,,42,
Displacement Delta X,0.006,0.006,0.006,0.000,0.006,0.006,0.006,0.006,1,µm,Surface,,Displacement Delta,,,43,
Displacement Delta X,0.333,0.333,0.333,0.000,0.333,0.333,0.333,0.333,1,µm,Surface,,Displacement Delta,,,44,
Displacement Delta X,-0.293,-0.293,-0.293,0.000,-0.293,-0.293,-0.293,-0.293,1,µm,Surface,,Displacement Delta,,,45,
Displacement Delta X,-0.469,-0.469,-0.469,0.000,-0.469,-0.469,-0.469,-0.469,1,µm,Surface,,Displacement Delta,,,46,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,0.998,0.998,0.998,0.000,0.998,0.998,0.998,0.998,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Y,-0.636,-0.636,-0.636,0.000,-0.636,-0.636,-0.636,-0.636,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Y,-0.316,-0.316,-0.316,0.000,-0.316,-0.316,-0.316,-0.316,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Y,-0.328,-0.328,-0.328,0.000,-0.328,-0.328,-0.328,-0.328,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Y,-0.305,-0.305,-0.305,0.000,-0.305,-0.305,-0.305,-0.305,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Y,-0.665,-0.665,-0.665,0.000,-0.665,-0.665,-0.665,-0.665,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta Y,-1.429,-1.429,-1.429,0.000,-1.429,-1.429,-1.429,-1.429,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta Y,-0.720,-0.720,-0.720,0.000,-0.720,-0.720,-0.720,-0.720,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta Y,0.224,0.224,0.224,0.000,0.224,0.224,0.224,0.224,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta Y,0.067,0.067,0.067,0.000,0.067,0.067,0.067,0.067,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta Y,0.909,0.909,0.909,0.000,0.909,0.909,0.909,0.909,1,µm,Surface,,Displacement Delta,,,40,
Displacement Delta Y,-0.206,-0.206,-0.206,0.000,-0.206,-0.206,-0.206,-0.206,1,µm,Surface,,Displacement Delta,,,41,
Displacement Delta Y,0.183,0.183,0.183,0.000,0.183,0.183,0.183,0.183,1,µm,Surface,,Displacement Delta,,,42,
Displacement Delta Y,0.017,0.017,0.017,0.000,0.017,0.017,0.017,0.017,1,µm,Surface,,Displacement Delta,,,43,
Displacement Delta Y,-0.098,-0.098,-0.098,0.000,-0.098,-0.098,-0.098,-0.098,1,µm,Surface,,Displacement Delta,,,44,
Displacement Delta Y,-0.108,-0.108,-0.108,0.000,-0.108,-0.108,-0.108,-0.108,1,µm,Surface,,Displacement Delta,,,45,
Displacement Delta Y,0.266,0.266,0.266,0.000,0.266,0.266,0.266,0.266,1,µm,Surface,,Displacement Delta,,,46,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Z,0.752,0.752,0.752,0.000,0.752,0.752,0.752,0.752,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Z,0.035,0.035,0.035,0.000,0.035,0.035,0.035,0.035,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Z,-0.215,-0.215,-0.215,0.000,-0.215,-0.215,-0.215,-0.215,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Z,0.181,0.181,0.181,0.000,0.181,0.181,0.181,0.181,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Z,-0.361,-0.361,-0.361,0.000,-0.361,-0.361,-0.361,-0.361,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Z,-0.087,-0.087,-0.087,0.000,-0.087,-0.087,-0.087,-0.087,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta Z,0.239,0.239,0.239,0.000,0.239,0.239,0.239,0.239,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta Z,0.668,0.668,0.668,0.000,0.668,0.668,0.668,0.668,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta Z,0.390,0.390,0.390,0.000,0.390,0.390,0.390,0.390,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta Z,0.498,0.498,0.498,0.000,0.498,0.498,0.498,0.498,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta Z,-1.059,-1.059,-1.059,0.000,-1.059,-1.059,-1.059,-1.059,1,µm,Surface,,Displacement Delta,,,40,
Displacement Delta Z,-0.271,-0.271,-0.271,0.000,-0.271,-0.271,-0.271,-0.271,1,µm,Surface,,Displacement Delta,,,41,
Displacement Delta Z,-0.803,-0.803,-0.803,0.000,-0.803,-0.803,-0.803,-0.803,1,µm,Surface,,Displacement Delta,,,42,
Displacement Delta Z,0.062,0.062,0.062,0.000,0.062,0.062,0.062,0.062,1,µm,Surface,,Displacement Delta,,,43,
Displacement Delta Z,-0.725,-0.725,-0.725,0.000,-0.725,-0.725,-0.725,-0.725,1,µm,Surface,,Displacement Delta,,,44,
Displacement Delta Z,-0.695,-0.695,-0.695,0.000,-0.695,-0.695,-0.695,-0.695,1,µm,Surface,,Displacement Delta,,,45,
Displacement Delta Z,-0.354,-0.354,-0.354,0.000,-0.354,-0.354,-0.354,-0.354,1,µm,Surface,,Displacement Delta,,,46,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,29,
Displacement Length,1.267,1.267,1.267,0.000,1.267,1.267,1.267,1.267,1,µm,Surface,,,,,30,
Displacement Length,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,µm,Surface,,,,,31,
