
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,67.701,67.701,67.701,0.000,67.701,67.701,67.701,67.701,1,µm^2,Surface,,,,,29,
Area,94.114,94.114,94.114,0.000,94.114,94.114,94.114,94.114,1,µm^2,Surface,,,,,30,
Area,110.392,110.392,110.392,0.000,110.392,110.392,110.392,110.392,1,µm^2,Surface,,,,,31,
Area,121.098,121.098,121.098,0.000,121.098,121.098,121.098,121.098,1,µm^2,Surface,,,,,32,
Area,127.884,127.884,127.884,0.000,127.884,127.884,127.884,127.884,1,µm^2,Surface,,,,,33,
Area,131.373,131.373,131.373,0.000,131.373,131.373,131.373,131.373,1,µm^2,Surface,,,,,34,
Area,139.467,139.467,139.467,0.000,139.467,139.467,139.467,139.467,1,µm^2,Surface,,,,,35,
Area,141.640,141.640,141.640,0.000,141.640,141.640,141.640,141.640,1,µm^2,Surface,,,,,36,
Area,148.093,148.093,148.093,0.000,148.093,148.093,148.093,148.093,1,µm^2,Surface,,,,,37,
Area,152.197,152.197,152.197,0.000,152.197,152.197,152.197,152.197,1,µm^2,Surface,,,,,38,
Area,154.736,154.736,154.736,0.000,154.736,154.736,154.736,154.736,1,µm^2,Surface,,,,,39,
Area,165.910,165.910,165.910,0.000,165.910,165.910,165.910,165.910,1,µm^2,Surface,,,,,40,
Area,166.772,166.772,166.772,0.000,166.772,166.772,166.772,166.772,1,µm^2,Surface,,,,,41,
Area,170.563,170.563,170.563,0.000,170.563,170.563,170.563,170.563,1,µm^2,Surface,,,,,42,
Area,173.216,173.216,173.216,0.000,173.216,173.216,173.216,173.216,1,µm^2,Surface,,,,,43,
Area,173.209,173.209,173.209,0.000,173.209,173.209,173.209,173.209,1,µm^2,Surface,,,,,44,
Area,170.660,170.660,170.660,0.000,170.660,170.660,170.660,170.660,1,µm^2,Surface,,,,,45,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,29,
Displacement Delta Length,1.113,1.113,1.113,0.000,1.113,1.113,1.113,1.113,1,µm,Surface,,,,,30,
Displacement Delta Length,0.367,0.367,0.367,0.000,0.367,0.367,0.367,0.367,1,µm,Surface,,,,,31,
Displacement Delta Length,0.688,0.688,0.688,0.000,0.688,0.688,0.688,0.688,1,µm,Surface,,,,,32,
Displacement Delta Length,0.611,0.611,0.611,0.000,0.611,0.611,0.611,0.611,1,µm,Surface,,,,,33,
Displacement Delta Length,1.492,1.492,1.492,0.000,1.492,1.492,1.492,1.492,1,µm,Surface,,,,,34,
Displacement Delta Length,0.962,0.962,0.962,0.000,0.962,0.962,0.962,0.962,1,µm,Surface,,,,,35,
Displacement Delta Length,0.814,0.814,0.814,0.000,0.814,0.814,0.814,0.814,1,µm,Surface,,,,,36,
Displacement Delta Length,0.593,0.593,0.593,0.000,0.593,0.593,0.593,0.593,1,µm,Surface,,,,,37,
Displacement Delta Length,0.684,0.684,0.684,0.000,0.684,0.684,0.684,0.684,1,µm,Surface,,,,,38,
Displacement Delta Length,0.592,0.592,0.592,0.000,0.592,0.592,0.592,0.592,1,µm,Surface,,,,,39,
Displacement Delta Length,0.375,0.375,0.375,0.000,0.375,0.375,0.375,0.375,1,µm,Surface,,,,,40,
Displacement Delta Length,0.842,0.842,0.842,0.000,0.842,0.842,0.842,0.842,1,µm,Surface,,,,,41,
Displacement Delta Length,1.261,1.261,1.261,0.000,1.261,1.261,1.261,1.261,1,µm,Surface,,,,,42,
Displacement Delta Length,0.746,0.746,0.746,0.000,0.746,0.746,0.746,0.746,1,µm,Surface,,,,,43,
Displacement Delta Length,0.476,0.476,0.476,0.000,0.476,0.476,0.476,0.476,1,µm,Surface,,,,,44,
Displacement Delta Length,0.603,0.603,0.603,0.000,0.603,0.603,0.603,0.603,1,µm,Surface,,,,,45,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,-0.581,-0.581,-0.581,0.000,-0.581,-0.581,-0.581,-0.581,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,0.171,0.171,0.171,0.000,0.171,0.171,0.171,0.171,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,0.640,0.640,0.640,0.000,0.640,0.640,0.640,0.640,1,µm,Surface,,Displacement Delta,,,32,
