
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,341.015,341.015,341.015,0.000,341.015,341.015,341.015,341.015,1,µm^2,Surface,,,,,,1,
Area,342.880,342.880,342.880,0.000,342.880,342.880,342.880,342.880,1,µm^2,Surface,,,,,,2,
Area,407.880,407.880,407.880,0.000,407.880,407.880,407.880,407.880,1,µm^2,Surface,,,,,,3,
Area,331.802,382.463,357.132,25.331,357.132,344.461,369.789,714.265,2,µm^2,Surface,,,,,,4,
Area,390.297,390.297,390.297,0.000,390.297,390.297,390.297,390.297,1,µm^2,Surface,,,,,,5,
Area,454.340,454.340,454.340,0.000,454.340,454.340,454.340,454.340,1,µm^2,Surface,,,,,,6,
Area,404.462,404.462,404.462,0.000,404.462,404.462,404.462,404.462,1,µm^2,Surface,,,,,,7,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,1,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,2,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,3,
Class Duration,59.986,59.986,59.986,0.000,59.986,59.986,59.986,59.986,1,s,Surface,,Set 1::Class B,,,,4,
Class Duration,59.986,59.986,59.986,0.000,59.986,59.986,59.986,59.986,1,s,Surface,,Set 1::Class B,,,,5,
Class Duration,60.074,60.074,60.074,0.000,60.074,60.074,60.074,60.074,1,s,Surface,,Set 1::Class A,,,,6,
Class Duration,60.074,60.074,60.074,0.000,60.074,60.074,60.074,60.074,1,s,Surface,,Set 1::Class A,,,,7,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,1,
Displacement Delta Length,2.359,2.359,2.359,0.000,2.359,2.359,2.359,2.359,1,µm,Surface,,,,,,2,
Displacement Delta Length,1.612,1.612,1.612,0.000,1.612,1.612,1.612,1.612,1,µm,Surface,,,,,,3,
Displacement Delta Length,4.388,4.388,4.388,0.000,4.388,4.388,4.388,4.388,1,µm,Surface,,,,,,4,
Displacement Delta Length,2.287,2.287,2.287,0.000,2.287,2.287,2.287,2.287,1,µm,Surface,,,,,,5,
Displacement Delta Length,1.150,1.150,1.150,0.000,1.150,1.150,1.150,1.150,1,µm,Surface,,,,,,6,
Displacement Delta Length,1.391,1.391,1.391,0.000,1.391,1.391,1.391,1.391,1,µm,Surface,,,,,,7,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,1,
Displacement Delta X,-1.779,-1.779,-1.779,0.000,-1.779,-1.779,-1.779,-1.779,1,µm,Surface,,,Displacement Delta,,,2,
Displacement Delta X,-1.021,-1.021,-1.021,0.000,-1.021,-1.021,-1.021,-1.021,1,µm,Surface,,,Displacement Delta,,,3,
Displacement Delta X,-3.546,-3.546,-3.546,0.000,-3.546,-3.546,-3.546,-3.546,1,µm,Surface,,,Displacement Delta,,,4,
Displacement Delta X,-1.838,-1.838,-1.838,0.000,-1.838,-1.838,-1.838,-1.838,1,µm,Surface,,,Displacement Delta,,,5,
Displacement Delta X,-0.663,-0.663,-0.663,0.000,-0.663,-0.663,-0.663,-0.663,1,µm,Surface,,,Displacement Delta,,,6,
Displacement Delta X,-0.772,-0.772,-0.772,0.000,-0.772,-0.772,-0.772,-0.772,1,µm,Surface,,,Displacement Delta,,,7,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,1,
Displacement Delta Y,0.264,0.264,0.264,0.000,0.264,0.264,0.264,0.264,1,µm,Surface,,,Displacement Delta,,,2,
Displacement Delta Y,-1.246,-1.246,-1.246,0.000,-1.246,-1.246,-1.246,-1.246,1,µm,Surface,,,Displacement Delta,,,3,
Displacement Delta Y,-0.007,-0.007,-0.007,0.000,-0.007,-0.007,-0.007,-0.007,1,µm,Surface,,,Displacement Delta,,,4,
Displacement Delta Y,1.339,1.339,1.339,0.000,1.339,1.339,1.339,1.339,1,µm,Surface,,,Displacement Delta,,,5,
Displacement Delta Y,0.614,0.614,0.614,0.000,0.614,0.614,0.614,0.614,1,µm,Surface,,,Displacement Delta,,,6,
Displacement Delta Y,1.127,1.127,1.127,0.000,1.127,1.127,1.127,1.127,1,µm,Surface,,,Displacement Delta,,,7,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,1,
