
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,37.179,37.179,37.179,0.000,37.179,37.179,37.179,37.179,1,µm^2,Surface,,,,,32,
Area,62.884,62.884,62.884,0.000,62.884,62.884,62.884,62.884,1,µm^2,Surface,,,,,33,
Area,70.569,70.569,70.569,0.000,70.569,70.569,70.569,70.569,1,µm^2,Surface,,,,,34,
Area,80.424,80.424,80.424,0.000,80.424,80.424,80.424,80.424,1,µm^2,Surface,,,,,35,
Area,85.736,85.736,85.736,0.000,85.736,85.736,85.736,85.736,1,µm^2,Surface,,,,,36,
Area,86.002,86.002,86.002,0.000,86.002,86.002,86.002,86.002,1,µm^2,Surface,,,,,37,
Area,90.370,90.370,90.370,0.000,90.370,90.370,90.370,90.370,1,µm^2,Surface,,,,,38,
Area,88.089,88.089,88.089,0.000,88.089,88.089,88.089,88.089,1,µm^2,Surface,,,,,39,
Area,88.677,88.677,88.677,0.000,88.677,88.677,88.677,88.677,1,µm^2,Surface,,,,,40,
Area,89.977,89.977,89.977,0.000,89.977,89.977,89.977,89.977,1,µm^2,Surface,,,,,41,
Area,89.702,89.702,89.702,0.000,89.702,89.702,89.702,89.702,1,µm^2,Surface,,,,,42,
Area,90.064,90.064,90.064,0.000,90.064,90.064,90.064,90.064,1,µm^2,Surface,,,,,43,
Area,87.062,87.062,87.062,0.000,87.062,87.062,87.062,87.062,1,µm^2,Surface,,,,,44,
Area,88.145,88.145,88.145,0.000,88.145,88.145,88.145,88.145,1,µm^2,Surface,,,,,45,
Area,90.581,90.581,90.581,0.000,90.581,90.581,90.581,90.581,1,µm^2,Surface,,,,,46,
Area,95.831,95.831,95.831,0.000,95.831,95.831,95.831,95.831,1,µm^2,Surface,,,,,47,
Area,93.716,93.716,93.716,0.000,93.716,93.716,93.716,93.716,1,µm^2,Surface,,,,,48,
Area,97.187,97.187,97.187,0.000,97.187,97.187,97.187,97.187,1,µm^2,Surface,,,,,49,
Area,91.912,91.912,91.912,0.000,91.912,91.912,91.912,91.912,1,µm^2,Surface,,,,,50,
Area,94.247,94.247,94.247,0.000,94.247,94.247,94.247,94.247,1,µm^2,Surface,,,,,51,
Area,92.935,92.935,92.935,0.000,92.935,92.935,92.935,92.935,1,µm^2,Surface,,,,,52,
Area,92.202,92.202,92.202,0.000,92.202,92.202,92.202,92.202,1,µm^2,Surface,,,,,53,
Area,91.244,91.244,91.244,0.000,91.244,91.244,91.244,91.244,1,µm^2,Surface,,,,,54,
Area,85.858,85.858,85.858,0.000,85.858,85.858,85.858,85.858,1,µm^2,Surface,,,,,55,
Area,85.027,85.027,85.027,0.000,85.027,85.027,85.027,85.027,1,µm^2,Surface,,,,,56,
Area,70.682,70.682,70.682,0.000,70.682,70.682,70.682,70.682,1,µm^2,Surface,,,,,57,
Area,74.602,74.602,74.602,0.000,74.602,74.602,74.602,74.602,1,µm^2,Surface,,,,,58,
