nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17,Class,Unnamed: 18
AB,Intensity Max,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,1,,Surface,2.0,,Image 1,,1.0,,,
AB,Intensity Max,385.0,385.0,385.0,0.0,385.0,385.0,385.0,385.0,1,,Surface,2.0,,Image 1,,2.0,,,
AB,Intensity Max,365.0,365.0,365.0,0.0,365.0,365.0,365.0,365.0,1,,Surface,2.0,,Image 1,,3.0,,,
AB,Intensity Max,327.0,327.0,327.0,0.0,327.0,327.0,327.0,327.0,1,,Surface,2.0,,Image 1,,4.0,,,
AB,Intensity Max,283.0,283.0,283.0,0.0,283.0,283.0,283.0,283.0,1,,Surface,2.0,,Image 1,,5.0,,,
P1,Intensity Max,280.0,280.0,280.0,0.0,280.0,280.0,280.0,280.0,1,,Surface,2.0,,Image 1,,1.0,,,
P1,Intensity Max,313.0,313.0,313.0,0.0,313.0,313.0,313.0,313.0,1,,Surface,2.0,,Image 1,,2.0,,,
P1,Intensity Max,290.0,290.0,290.0,0.0,290.0,290.0,290.0,290.0,1,,Surface,2.0,,Image 1,,3.0,,,
P1,Intensity Max,409.0,409.0,409.0,0.0,409.0,409.0,409.0,818.0,2,,Surface,2.0,,Image 1,,4.0,,,
P1,Intensity Max,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,1,,Surface,2.0,,Image 1,,5.0,,,
P1,Intensity Max,313.0,313.0,313.0,0.0,313.0,313.0,313.0,313.0,1,,Surface,2.0,,Image 1,,6.0,,,
P1,Intensity Max,283.0,283.0,283.0,0.0,283.0,283.0,283.0,283.0,1,,Surface,2.0,,Image 1,,7.0,,,
ABa,Intensity Max,305.0,305.0,305.0,0.0,305.0,305.0,305.0,305.0,1,,Surface,2.0,,Image 1,,10.0,,,
ABa,Intensity Max,353.0,353.0,353.0,0.0,353.0,353.0,353.0,353.0,1,,Surface,2.0,,Image 1,,11.0,,,
ABa,Intensity Max,440.0,440.0,440.0,0.0,440.0,440.0,440.0,440.0,1,,Surface,2.0,,Image 1,,12.0,,,
ABa,Intensity Max,422.0,422.0,422.0,0.0,422.0,422.0,422.0,422.0,1,,Surface,2.0,,Image 1,,13.0,,,
ABa,Intensity Max,864.0,864.0,864.0,0.0,864.0,864.0,864.0,864.0,1,,Surface,2.0,,Image 1,,14.0,,,
ABa,Intensity Max,1319.0,1319.0,1319.0,0.0,1319.0,1319.0,1319.0,1319.0,1,,Surface,2.0,,Image 1,,15.0,,,
ABa,Intensity Max,538.0,538.0,538.0,0.0,538.0,538.0,538.0,538.0,1,,Surface,2.0,,Image 1,,16.0,,,
ABa,Intensity Max,377.0,377.0,377.0,0.0,377.0,377.0,377.0,377.0,1,,Surface,2.0,,Image 1,,17.0,,,
ABa,Intensity Max,335.0,335.0,335.0,0.0,335.0,335.0,335.0,335.0,1,,Surface,2.0,,Image 1,,18.0,,,
ABa,Intensity Max,343.0,343.0,343.0,0.0,343.0,343.0,343.0,343.0,1,,Surface,2.0,,Image 1,,19.0,,,
ABa,Intensity Max,235.0,235.0,235.0,0.0,235.0,235.0,235.0,235.0,1,,Surface,2.0,,Image 1,,20.0,,,
ABp,Intensity Max,324.0,324.0,324.0,0.0,324.0,324.0,324.0,324.0,1,,Surface,2.0,,Image 1,,10.0,,,
ABp,Intensity Max,327.0,327.0,327.0,0.0,327.0,327.0,327.0,327.0,1,,Surface,2.0,,Image 1,,11.0,,,
ABp,Intensity Max,335.0,335.0,335.0,0.0,335.0,335.0,335.0,335.0,1,,Surface,2.0,,Image 1,,12.0,,,
ABp,Intensity Max,347.0,347.0,347.0,0.0,347.0,347.0,347.0,347.0,1,,Surface,2.0,,Image 1,,13.0,,,
ABp,Intensity Max,384.0,384.0,384.0,0.0,384.0,384.0,384.0,384.0,1,,Surface,2.0,,Image 1,,14.0,,,
ABp,Intensity Max,404.0,404.0,404.0,0.0,404.0,404.0,404.0,404.0,1,,Surface,2.0,,Image 1,,15.0,,,
ABp,Intensity Max,455.0,455.0,455.0,0.0,455.0,455.0,455.0,455.0,1,,Surface,2.0,,Image 1,,16.0,,,
ABp,Intensity Max,340.0,340.0,340.0,0.0,340.0,340.0,340.0,340.0,1,,Surface,2.0,,Image 1,,17.0,,,
ABp,Intensity Max,325.0,325.0,325.0,0.0,325.0,325.0,325.0,325.0,1,,Surface,2.0,,Image 1,,18.0,,,
ABp,Intensity Max,312.0,312.0,312.0,0.0,312.0,312.0,312.0,312.0,1,,Surface,2.0,,Image 1,,19.0,,,
ABp,Intensity Max,266.0,266.0,266.0,0.0,266.0,266.0,266.0,266.0,1,,Surface,2.0,,Image 1,,20.0,,,
EMS,Intensity Max,301.0,301.0,301.0,0.0,301.0,301.0,301.0,301.0,1,,Surface,2.0,,Image 1,,13.0,,,
EMS,Intensity Max,356.0,356.0,356.0,0.0,356.0,356.0,356.0,356.0,1,,Surface,2.0,,Image 1,,14.0,,,
EMS,Intensity Max,380.0,380.0,380.0,0.0,380.0,380.0,380.0,380.0,1,,Surface,2.0,,Image 1,,15.0,,,
EMS,Intensity Max,1771.0,1771.0,1771.0,0.0,1771.0,1771.0,1771.0,1771.0,1,,Surface,2.0,,Image 1,,16.0,,,
EMS,Intensity Max,2642.0,2642.0,2642.0,0.0,2642.0,2642.0,2642.0,2642.0,1,,Surface,2.0,,Image 1,,17.0,,,
EMS,Intensity Max,3187.0,3187.0,3187.0,0.0,3187.0,3187.0,3187.0,3187.0,1,,Surface,2.0,,Image 1,,18.0,,,
EMS,Intensity Max,2122.0,2122.0,2122.0,0.0,2122.0,2122.0,2122.0,2122.0,1,,Surface,2.0,,Image 1,,19.0,,,
EMS,Intensity Max,1730.0,1730.0,1730.0,0.0,1730.0,1730.0,1730.0,1730.0,1,,Surface,2.0,,Image 1,,20.0,,,
EMS,Intensity Max,746.0,746.0,746.0,0.0,746.0,746.0,746.0,746.0,1,,Surface,2.0,,Image 1,,21.0,,,
EMS,Intensity Max,373.0,373.0,373.0,0.0,373.0,373.0,373.0,373.0,1,,Surface,2.0,,Image 1,,22.0,,,
EMS,Intensity Max,368.0,368.0,368.0,0.0,368.0,368.0,368.0,368.0,1,,Surface,2.0,,Image 1,,23.0,,,
EMS,Intensity Max,361.0,361.0,361.0,0.0,361.0,361.0,361.0,361.0,1,,Surface,2.0,,Image 1,,24.0,,,
P2,Intensity Max,235.0,235.0,235.0,0.0,235.0,235.0,235.0,235.0,1,,Surface,2.0,,Image 1,,12.0,,,
P2,Intensity Max,328.0,328.0,328.0,0.0,328.0,328.0,328.0,328.0,1,,Surface,2.0,,Image 1,,13.0,,,
P2,Intensity Max,305.0,305.0,305.0,0.0,305.0,305.0,305.0,305.0,1,,Surface,2.0,,Image 1,,14.0,,,
P2,Intensity Max,489.0,489.0,489.0,0.0,489.0,489.0,489.0,489.0,1,,Surface,2.0,,Image 1,,15.0,,,
P2,Intensity Max,837.0,837.0,837.0,0.0,837.0,837.0,837.0,837.0,1,,Surface,2.0,,Image 1,,16.0,,,
P2,Intensity Max,1734.0,1734.0,1734.0,0.0,1734.0,1734.0,1734.0,1734.0,1,,Surface,2.0,,Image 1,,17.0,,,
P2,Intensity Max,1490.0,1490.0,1490.0,0.0,1490.0,1490.0,1490.0,1490.0,1,,Surface,2.0,,Image 1,,18.0,,,
P2,Intensity Max,1896.0,1896.0,1896.0,0.0,1896.0,1896.0,1896.0,1896.0,1,,Surface,2.0,,Image 1,,19.0,,,
P2,Intensity Max,1219.0,1219.0,1219.0,0.0,1219.0,1219.0,1219.0,1219.0,1,,Surface,2.0,,Image 1,,20.0,,,
P2,Intensity Max,369.0,369.0,369.0,0.0,369.0,369.0,369.0,369.0,1,,Surface,2.0,,Image 1,,21.0,,,
P2,Intensity Max,377.0,377.0,377.0,0.0,377.0,377.0,377.0,377.0,1,,Surface,2.0,,Image 1,,22.0,,,
P2,Intensity Max,383.0,383.0,383.0,0.0,383.0,383.0,383.0,383.0,1,,Surface,2.0,,Image 1,,23.0,,,
P2,Intensity Max,359.0,359.0,359.0,0.0,359.0,359.0,359.0,359.0,1,,Surface,2.0,,Image 1,,24.0,,,
P2,Intensity Max,325.0,325.0,325.0,0.0,325.0,325.0,325.0,325.0,1,,Surface,2.0,,Image 1,,25.0,,,
P2,Intensity Max,362.0,362.0,362.0,0.0,362.0,362.0,362.0,362.0,1,,Surface,2.0,,Image 1,,26.0,,,
P2,Intensity Max,311.0,311.0,311.0,0.0,311.0,311.0,311.0,311.0,1,,Surface,2.0,,Image 1,,27.0,,,
ABal,Intensity Max,529.0,529.0,529.0,0.0,529.0,529.0,529.0,529.0,1,,Surface,2.0,,Image 1,,25.0,,,
ABal,Intensity Max,382.0,382.0,382.0,0.0,382.0,382.0,382.0,382.0,1,,Surface,2.0,,Image 1,,26.0,,,
ABal,Intensity Max,624.0,624.0,624.0,0.0,624.0,624.0,624.0,624.0,1,,Surface,2.0,,Image 1,,27.0,,,
ABal,Intensity Max,554.0,554.0,554.0,0.0,554.0,554.0,554.0,554.0,1,,Surface,2.0,,Image 1,,28.0,,,
ABal,Intensity Max,1572.0,1572.0,1572.0,0.0,1572.0,1572.0,1572.0,1572.0,1,,Surface,2.0,,Image 1,,29.0,,,
ABal,Intensity Max,1997.0,1997.0,1997.0,0.0,1997.0,1997.0,1997.0,1997.0,1,,Surface,2.0,,Image 1,,30.0,,,
ABal,Intensity Max,1948.0,1948.0,1948.0,0.0,1948.0,1948.0,1948.0,1948.0,1,,Surface,2.0,,Image 1,,31.0,,,
ABal,Intensity Max,2184.0,2184.0,2184.0,0.0,2184.0,2184.0,2184.0,2184.0,1,,Surface,2.0,,Image 1,,32.0,,,
ABal,Intensity Max,1840.0,1840.0,1840.0,0.0,1840.0,1840.0,1840.0,1840.0,1,,Surface,2.0,,Image 1,,33.0,,,
ABal,Intensity Max,758.0,758.0,758.0,0.0,758.0,758.0,758.0,758.0,1,,Surface,2.0,,Image 1,,34.0,,,
