
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,22.606,22.606,22.606,0.000,22.606,22.606,22.606,22.606,1,µm^2,Surface,,,,,,1,
Area,63.122,63.122,63.122,0.000,63.122,63.122,63.122,63.122,1,µm^2,Surface,,,,,,2,
Area,93.865,93.865,93.865,0.000,93.865,93.865,93.865,93.865,1,µm^2,Surface,,,,,,3,
Area,131.044,131.044,131.044,0.000,131.044,131.044,131.044,131.044,1,µm^2,Surface,,,,,,4,
Area,182.493,182.493,182.493,0.000,182.493,182.493,182.493,182.493,1,µm^2,Surface,,,,,,5,
Area,225.304,225.304,225.304,0.000,225.304,225.304,225.304,225.304,1,µm^2,Surface,,,,,,6,
Area,256.027,256.027,256.027,0.000,256.027,256.027,256.027,256.027,1,µm^2,Surface,,,,,,7,
Area,279.065,279.065,279.065,0.000,279.065,279.065,279.065,279.065,1,µm^2,Surface,,,,,,8,
Area,245.136,245.136,245.136,0.000,245.136,245.136,245.136,245.136,1,µm^2,Surface,,,,,,9,
Area,266.658,266.658,266.658,0.000,266.658,266.658,266.658,266.658,1,µm^2,Surface,,,,,,10,
Area,138.850,138.850,138.850,0.000,138.850,138.850,138.850,138.850,1,µm^2,Surface,,,,,,11,
Area,39.944,39.944,39.944,0.000,39.944,39.944,39.944,39.944,1,µm^2,Surface,,,,,,15,
Area,73.395,73.395,73.395,0.000,73.395,73.395,73.395,73.395,1,µm^2,Surface,,,,,,16,
Area,106.749,106.749,106.749,0.000,106.749,106.749,106.749,106.749,1,µm^2,Surface,,,,,,17,
Area,138.531,138.531,138.531,0.000,138.531,138.531,138.531,138.531,1,µm^2,Surface,,,,,,18,
Area,166.192,166.192,166.192,0.000,166.192,166.192,166.192,166.192,1,µm^2,Surface,,,,,,19,
Area,177.966,177.966,177.966,0.000,177.966,177.966,177.966,177.966,1,µm^2,Surface,,,,,,20,
Area,183.190,183.190,183.190,0.000,183.190,183.190,183.190,183.190,1,µm^2,Surface,,,,,,21,
Area,185.200,185.200,185.200,0.000,185.200,185.200,185.200,185.200,1,µm^2,Surface,,,,,,22,
