
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,59.388,59.388,59.388,0.000,59.388,59.388,59.388,59.388,1,µm^2,Surface,,,,,,15,
Area,94.722,94.722,94.722,0.000,94.722,94.722,94.722,94.722,1,µm^2,Surface,,,,,,16,
Area,129.205,129.205,129.205,0.000,129.205,129.205,129.205,129.205,1,µm^2,Surface,,,,,,17,
Area,160.333,160.333,160.333,0.000,160.333,160.333,160.333,160.333,1,µm^2,Surface,,,,,,18,
Area,191.250,191.250,191.250,0.000,191.250,191.250,191.250,191.250,1,µm^2,Surface,,,,,,19,
Area,202.775,202.775,202.775,0.000,202.775,202.775,202.775,202.775,1,µm^2,Surface,,,,,,20,
Area,215.716,215.716,215.716,0.000,215.716,215.716,215.716,215.716,1,µm^2,Surface,,,,,,21,
Area,223.998,223.998,223.998,0.000,223.998,223.998,223.998,223.998,1,µm^2,Surface,,,,,,22,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,15,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,16,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,17,
Class Duration,240.031,240.031,240.031,0.000,240.031,240.031,240.031,240.031,1,s,Surface,,Set 1::Class B,,,,18,
Class Duration,240.031,240.031,240.031,0.000,240.031,240.031,240.031,240.031,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,240.031,240.031,240.031,0.000,240.031,240.031,240.031,240.031,1,s,Surface,,Set 1::Class B,,,,20,
Class Duration,240.031,240.031,240.031,0.000,240.031,240.031,240.031,240.031,1,s,Surface,,Set 1::Class B,,,,21,
Class Duration,240.031,240.031,240.031,0.000,240.031,240.031,240.031,240.031,1,s,Surface,,Set 1::Class B,,,,22,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,15,
Displacement Delta Length,1.337,1.337,1.337,0.000,1.337,1.337,1.337,1.337,1,µm,Surface,,,,,,16,
Displacement Delta Length,0.452,0.452,0.452,0.000,0.452,0.452,0.452,0.452,1,µm,Surface,,,,,,17,
Displacement Delta Length,2.371,2.371,2.371,0.000,2.371,2.371,2.371,2.371,1,µm,Surface,,,,,,18,
Displacement Delta Length,1.976,1.976,1.976,0.000,1.976,1.976,1.976,1.976,1,µm,Surface,,,,,,19,
Displacement Delta Length,1.377,1.377,1.377,0.000,1.377,1.377,1.377,1.377,1,µm,Surface,,,,,,20,
Displacement Delta Length,1.551,1.551,1.551,0.000,1.551,1.551,1.551,1.551,1,µm,Surface,,,,,,21,
Displacement Delta Length,0.718,0.718,0.718,0.000,0.718,0.718,0.718,0.718,1,µm,Surface,,,,,,22,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta X,-0.136,-0.136,-0.136,0.000,-0.136,-0.136,-0.136,-0.136,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta X,-0.400,-0.400,-0.400,0.000,-0.400,-0.400,-0.400,-0.400,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta X,-2.063,-2.063,-2.063,0.000,-2.063,-2.063,-2.063,-2.063,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta X,-1.905,-1.905,-1.905,0.000,-1.905,-1.905,-1.905,-1.905,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta X,-1.362,-1.362,-1.362,0.000,-1.362,-1.362,-1.362,-1.362,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta X,-0.978,-0.978,-0.978,0.000,-0.978,-0.978,-0.978,-0.978,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta X,0.342,0.342,0.342,0.000,0.342,0.342,0.342,0.342,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta Y,1.262,1.262,1.262,0.000,1.262,1.262,1.262,1.262,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta Y,-0.208,-0.208,-0.208,0.000,-0.208,-0.208,-0.208,-0.208,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta Y,0.737,0.737,0.737,0.000,0.737,0.737,0.737,0.737,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta Y,0.322,0.322,0.322,0.000,0.322,0.322,0.322,0.322,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Y,0.198,0.198,0.198,0.000,0.198,0.198,0.198,0.198,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta Y,-0.710,-0.710,-0.710,0.000,-0.710,-0.710,-0.710,-0.710,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta Y,-0.599,-0.599,-0.599,0.000,-0.599,-0.599,-0.599,-0.599,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta Z,0.422,0.422,0.422,0.000,0.422,0.422,0.422,0.422,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta Z,0.018,0.018,0.018,0.000,0.018,0.018,0.018,0.018,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta Z,-0.906,-0.906,-0.906,0.000,-0.906,-0.906,-0.906,-0.906,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta Z,-0.414,-0.414,-0.414,0.000,-0.414,-0.414,-0.414,-0.414,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Z,0.028,0.028,0.028,0.000,0.028,0.028,0.028,0.028,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta Z,0.973,0.973,0.973,0.000,0.973,0.973,0.973,0.973,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta Z,0.199,0.199,0.199,0.000,0.199,0.199,0.199,0.199,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,15,
Displacement Length,1.337,1.337,1.337,0.000,1.337,1.337,1.337,1.337,1,µm,Surface,,,,,,16,
Displacement Length,1.261,1.261,1.261,0.000,1.261,1.261,1.261,1.261,1,µm,Surface,,,,,,17,
Displacement Length,3.191,3.191,3.191,0.000,3.191,3.191,3.191,3.191,1,µm,Surface,,,,,,18,
Displacement Length,5.053,5.053,5.053,0.000,5.053,5.053,5.053,5.053,1,µm,Surface,,,,,,19,
Displacement Length,6.363,6.363,6.363,0.000,6.363,6.363,6.363,6.363,1,µm,Surface,,,,,,20,
Displacement Length,7.030,7.030,7.030,0.000,7.030,7.030,7.030,7.030,1,µm,Surface,,,,,,21,
Displacement Length,6.587,6.587,6.587,0.000,6.587,6.587,6.587,6.587,1,µm,Surface,,,,,,22,
Distance from Origin,13018.024,13018.024,13018.024,0.000,13018.024,13018.024,13018.024,13018.024,1,µm,Surface,,,Distance from Origin,,,15,
Distance from Origin,13018.173,13018.173,13018.173,0.000,13018.173,13018.173,13018.173,13018.173,1,µm,Surface,,,Distance from Origin,,,16,
Distance from Origin,13017.896,13017.896,13017.896,0.000,13017.896,13017.896,13017.896,13017.896,1,µm,Surface,,,Distance from Origin,,,17,
Distance from Origin,13015.743,13015.743,13015.743,0.000,13015.743,13015.743,13015.743,13015.743,1,µm,Surface,,,Distance from Origin,,,18,
Distance from Origin,13014.053,13014.053,13014.053,0.000,13014.053,13014.053,13014.053,13014.053,1,µm,Surface,,,Distance from Origin,,,19,
Distance from Origin,13013.064,13013.064,13013.064,0.000,13013.064,13013.064,13013.064,13013.064,1,µm,Surface,,,Distance from Origin,,,20,
Distance from Origin,13013.024,13013.024,13013.024,0.000,13013.024,13013.024,13013.024,13013.024,1,µm,Surface,,,Distance from Origin,,,21,
Distance from Origin,13013.430,13013.430,13013.430,0.000,13013.430,13013.430,13013.430,13013.430,1,µm,Surface,,,Distance from Origin,,,22,
Distance to Image Border XY,12.116,12.116,12.116,0.000,12.116,12.116,12.116,12.116,1,µm,Surface,,,,Image 1,,15,
Distance to Image Border XY,10.226,10.226,10.226,0.000,10.226,10.226,10.226,10.226,1,µm,Surface,,,,Image 1,,16,
