
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,40.589,40.589,40.589,0.000,40.589,40.589,40.589,40.589,1,µm^2,Surface,,,,,,29,
Area,76.293,76.293,76.293,0.000,76.293,76.293,76.293,76.293,1,µm^2,Surface,,,,,,30,
Area,101.569,101.569,101.569,0.000,101.569,101.569,101.569,101.569,1,µm^2,Surface,,,,,,31,
Area,118.422,118.422,118.422,0.000,118.422,118.422,118.422,118.422,1,µm^2,Surface,,,,,,32,
Area,127.457,127.457,127.457,0.000,127.457,127.457,127.457,127.457,1,µm^2,Surface,,,,,,33,
Area,134.731,134.731,134.731,0.000,134.731,134.731,134.731,134.731,1,µm^2,Surface,,,,,,34,
Area,141.162,141.162,141.162,0.000,141.162,141.162,141.162,141.162,1,µm^2,Surface,,,,,,35,
Area,136.643,136.643,136.643,0.000,136.643,136.643,136.643,136.643,1,µm^2,Surface,,,,,,36,
Area,156.074,156.074,156.074,0.000,156.074,156.074,156.074,156.074,1,µm^2,Surface,,,,,,37,
Area,154.816,154.816,154.816,0.000,154.816,154.816,154.816,154.816,1,µm^2,Surface,,,,,,38,
Area,160.232,160.232,160.232,0.000,160.232,160.232,160.232,160.232,1,µm^2,Surface,,,,,,39,
Area,153.868,153.868,153.868,0.000,153.868,153.868,153.868,153.868,1,µm^2,Surface,,,,,,40,
Area,149.100,149.100,149.100,0.000,149.100,149.100,149.100,149.100,1,µm^2,Surface,,,,,,41,
Area,155.048,155.048,155.048,0.000,155.048,155.048,155.048,155.048,1,µm^2,Surface,,,,,,42,
Area,161.652,161.652,161.652,0.000,161.652,161.652,161.652,161.652,1,µm^2,Surface,,,,,,43,
Area,158.545,158.545,158.545,0.000,158.545,158.545,158.545,158.545,1,µm^2,Surface,,,,,,44,
Area,163.844,163.844,163.844,0.000,163.844,163.844,163.844,163.844,1,µm^2,Surface,,,,,,45,
Area,22.132,22.132,22.132,0.000,22.132,22.132,22.132,22.132,1,µm^2,Surface,,,,,,46,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,600.010,600.010,600.010,0.000,600.010,600.010,600.010,600.010,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,600.010,600.010,600.010,0.000,600.010,600.010,600.010,600.010,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,600.010,600.010,600.010,0.000,600.010,600.010,600.010,600.010,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,600.010,600.010,600.010,0.000,600.010,600.010,600.010,600.010,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,600.010,600.010,600.010,0.000,600.010,600.010,600.010,600.010,1,s,Surface,,Set 1::Class B,,,,34,
Class Duration,600.010,600.010,600.010,0.000,600.010,600.010,600.010,600.010,1,s,Surface,,Set 1::Class B,,,,35,
