
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,102.873,102.873,102.873,0.000,102.873,102.873,102.873,102.873,1,µm^2,Surface,,,,,,17,
Area,130.672,130.672,130.672,0.000,130.672,130.672,130.672,130.672,1,µm^2,Surface,,,,,,18,
Area,160.689,160.689,160.689,0.000,160.689,160.689,160.689,160.689,1,µm^2,Surface,,,,,,19,
Area,178.115,178.115,178.115,0.000,178.115,178.115,178.115,178.115,1,µm^2,Surface,,,,,,20,
Area,185.753,185.753,185.753,0.000,185.753,185.753,185.753,185.753,1,µm^2,Surface,,,,,,21,
Area,183.610,183.610,183.610,0.000,183.610,183.610,183.610,183.610,1,µm^2,Surface,,,,,,22,
Area,189.194,189.194,189.194,0.000,189.194,189.194,189.194,189.194,1,µm^2,Surface,,,,,,23,
Area,206.876,206.876,206.876,0.000,206.876,206.876,206.876,206.876,1,µm^2,Surface,,,,,,24,
Area,78.117,78.117,78.117,0.000,78.117,78.117,78.117,78.117,1,µm^2,Surface,,,,,,25,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,17,
Class Duration,179.972,179.972,179.972,0.000,179.972,179.972,179.972,179.972,1,s,Surface,,Set 1::Class B,,,,18,
Class Duration,179.972,179.972,179.972,0.000,179.972,179.972,179.972,179.972,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,179.972,179.972,179.972,0.000,179.972,179.972,179.972,179.972,1,s,Surface,,Set 1::Class B,,,,20,
Class Duration,179.972,179.972,179.972,0.000,179.972,179.972,179.972,179.972,1,s,Surface,,Set 1::Class B,,,,21,
Class Duration,60.021,60.021,60.021,0.000,60.021,60.021,60.021,60.021,1,s,Surface,,Set 1::Class A,,,,22,
Class Duration,60.021,60.021,60.021,0.000,60.021,60.021,60.021,60.021,1,s,Surface,,Set 1::Class A,,,,23,
Class Duration,59.933,59.933,59.933,0.000,59.933,59.933,59.933,59.933,1,s,Surface,,Set 1::Class B,,,,24,
Class Duration,59.933,59.933,59.933,0.000,59.933,59.933,59.933,59.933,1,s,Surface,,Set 1::Class B,,,,25,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,17,
Displacement Delta Length,1.785,1.785,1.785,0.000,1.785,1.785,1.785,1.785,1,µm,Surface,,,,,,18,
Displacement Delta Length,2.087,2.087,2.087,0.000,2.087,2.087,2.087,2.087,1,µm,Surface,,,,,,19,
Displacement Delta Length,1.919,1.919,1.919,0.000,1.919,1.919,1.919,1.919,1,µm,Surface,,,,,,20,
Displacement Delta Length,1.617,1.617,1.617,0.000,1.617,1.617,1.617,1.617,1,µm,Surface,,,,,,21,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,22,
Displacement Delta Length,0.556,0.556,0.556,0.000,0.556,0.556,0.556,0.556,1,µm,Surface,,,,,,23,
Displacement Delta Length,1.208,1.208,1.208,0.000,1.208,1.208,1.208,1.208,1,µm,Surface,,,,,,24,
Displacement Delta Length,1.763,1.763,1.763,0.000,1.763,1.763,1.763,1.763,1,µm,Surface,,,,,,25,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta X,0.396,0.396,0.396,0.000,0.396,0.396,0.396,0.396,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta X,0.910,0.910,0.910,0.000,0.910,0.910,0.910,0.910,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta X,1.198,1.198,1.198,0.000,1.198,1.198,1.198,1.198,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta X,1.271,1.271,1.271,0.000,1.271,1.271,1.271,1.271,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta X,-0.430,-0.430,-0.430,0.000,-0.430,-0.430,-0.430,-0.430,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta X,-1.088,-1.088,-1.088,0.000,-1.088,-1.088,-1.088,-1.088,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta X,0.590,0.590,0.590,0.000,0.590,0.590,0.590,0.590,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta Y,-1.706,-1.706,-1.706,0.000,-1.706,-1.706,-1.706,-1.706,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta Y,-1.836,-1.836,-1.836,0.000,-1.836,-1.836,-1.836,-1.836,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Y,-1.492,-1.492,-1.492,0.000,-1.492,-1.492,-1.492,-1.492,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta Y,-0.910,-0.910,-0.910,0.000,-0.910,-0.910,-0.910,-0.910,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Y,0.241,0.241,0.241,0.000,0.241,0.241,0.241,0.241,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Y,-0.104,-0.104,-0.104,0.000,-0.104,-0.104,-0.104,-0.104,1,µm,Surface,,,Displacement Delta,,,24,
