
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,51.243,51.243,51.243,0.000,51.243,51.243,51.243,51.243,1,µm^2,Surface,,,,,,29,
Area,96.591,96.591,96.591,0.000,96.591,96.591,96.591,96.591,1,µm^2,Surface,,,,,,30,
Area,119.411,119.411,119.411,0.000,119.411,119.411,119.411,119.411,1,µm^2,Surface,,,,,,31,
Area,143.993,143.993,143.993,0.000,143.993,143.993,143.993,143.993,1,µm^2,Surface,,,,,,32,
Area,161.686,161.686,161.686,0.000,161.686,161.686,161.686,161.686,1,µm^2,Surface,,,,,,33,
Area,170.756,170.756,170.756,0.000,170.756,170.756,170.756,170.756,1,µm^2,Surface,,,,,,34,
Area,176.211,176.211,176.211,0.000,176.211,176.211,176.211,176.211,1,µm^2,Surface,,,,,,35,
Area,185.535,185.535,185.535,0.000,185.535,185.535,185.535,185.535,1,µm^2,Surface,,,,,,36,
Area,198.040,198.040,198.040,0.000,198.040,198.040,198.040,198.040,1,µm^2,Surface,,,,,,37,
Area,202.743,202.743,202.743,0.000,202.743,202.743,202.743,202.743,1,µm^2,Surface,,,,,,38,
Area,211.671,211.671,211.671,0.000,211.671,211.671,211.671,211.671,1,µm^2,Surface,,,,,,39,
Area,213.581,213.581,213.581,0.000,213.581,213.581,213.581,213.581,1,µm^2,Surface,,,,,,40,
Area,207.863,207.863,207.863,0.000,207.863,207.863,207.863,207.863,1,µm^2,Surface,,,,,,41,
Area,209.639,209.639,209.639,0.000,209.639,209.639,209.639,209.639,1,µm^2,Surface,,,,,,42,
Area,215.854,215.854,215.854,0.000,215.854,215.854,215.854,215.854,1,µm^2,Surface,,,,,,43,
Area,214.647,214.647,214.647,0.000,214.647,214.647,214.647,214.647,1,µm^2,Surface,,,,,,44,
Area,215.903,215.903,215.903,0.000,215.903,215.903,215.903,215.903,1,µm^2,Surface,,,,,,45,
Area,175.545,175.545,175.545,0.000,175.545,175.545,175.545,175.545,1,µm^2,Surface,,,,,,46,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,420.115,420.115,420.115,0.000,420.115,420.115,420.115,420.115,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,420.115,420.115,420.115,0.000,420.115,420.115,420.115,420.115,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,420.115,420.115,420.115,0.000,420.115,420.115,420.115,420.115,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,420.115,420.115,420.115,0.000,420.115,420.115,420.115,420.115,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,420.115,420.115,420.115,0.000,420.115,420.115,420.115,420.115,1,s,Surface,,Set 1::Class B,,,,34,
Class Duration,420.115,420.115,420.115,0.000,420.115,420.115,420.115,420.115,1,s,Surface,,Set 1::Class B,,,,35,
Class Duration,420.115,420.115,420.115,0.000,420.115,420.115,420.115,420.115,1,s,Surface,,Set 1::Class B,,,,36,
Class Duration,420.115,420.115,420.115,0.000,420.115,420.115,420.115,420.115,1,s,Surface,,Set 1::Class B,,,,37,
Class Duration,60.015,60.015,60.015,0.000,60.015,60.015,60.015,60.015,1,s,Surface,,Set 1::Class A,,,,38,
Class Duration,60.015,60.015,60.015,0.000,60.015,60.015,60.015,60.015,1,s,Surface,,Set 1::Class A,,,,39,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,40,
Class Duration,59.952,59.952,59.952,0.000,59.952,59.952,59.952,59.952,1,s,Surface,,Set 1::Class A,,,,41,
Class Duration,59.952,59.952,59.952,0.000,59.952,59.952,59.952,59.952,1,s,Surface,,Set 1::Class A,,,,42,
Class Duration,60.077,60.077,60.077,0.000,60.077,60.077,60.077,60.077,1,s,Surface,,Set 1::Class B,,,,43,
Class Duration,60.077,60.077,60.077,0.000,60.077,60.077,60.077,60.077,1,s,Surface,,Set 1::Class B,,,,44,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,45,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,46,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,29,
Displacement Delta Length,1.234,1.234,1.234,0.000,1.234,1.234,1.234,1.234,1,µm,Surface,,,,,,30,
Displacement Delta Length,1.656,1.656,1.656,0.000,1.656,1.656,1.656,1.656,1,µm,Surface,,,,,,31,
Displacement Delta Length,2.662,2.662,2.662,0.000,2.662,2.662,2.662,2.662,1,µm,Surface,,,,,,32,
Displacement Delta Length,2.362,2.362,2.362,0.000,2.362,2.362,2.362,2.362,1,µm,Surface,,,,,,33,
Displacement Delta Length,1.184,1.184,1.184,0.000,1.184,1.184,1.184,1.184,1,µm,Surface,,,,,,34,
Displacement Delta Length,0.753,0.753,0.753,0.000,0.753,0.753,0.753,0.753,1,µm,Surface,,,,,,35,
Displacement Delta Length,1.243,1.243,1.243,0.000,1.243,1.243,1.243,1.243,1,µm,Surface,,,,,,36,
Displacement Delta Length,0.884,0.884,0.884,0.000,0.884,0.884,0.884,0.884,1,µm,Surface,,,,,,37,
Displacement Delta Length,0.499,0.499,0.499,0.000,0.499,0.499,0.499,0.499,1,µm,Surface,,,,,,38,
Displacement Delta Length,0.365,0.365,0.365,0.000,0.365,0.365,0.365,0.365,1,µm,Surface,,,,,,39,
Displacement Delta Length,1.774,1.774,1.774,0.000,1.774,1.774,1.774,1.774,1,µm,Surface,,,,,,40,
Displacement Delta Length,0.342,0.342,0.342,0.000,0.342,0.342,0.342,0.342,1,µm,Surface,,,,,,41,
Displacement Delta Length,0.294,0.294,0.294,0.000,0.294,0.294,0.294,0.294,1,µm,Surface,,,,,,42,
Displacement Delta Length,0.725,0.725,0.725,0.000,0.725,0.725,0.725,0.725,1,µm,Surface,,,,,,43,
Displacement Delta Length,0.829,0.829,0.829,0.000,0.829,0.829,0.829,0.829,1,µm,Surface,,,,,,44,
Displacement Delta Length,0.596,0.596,0.596,0.000,0.596,0.596,0.596,0.596,1,µm,Surface,,,,,,45,
Displacement Delta Length,1.108,1.108,1.108,0.000,1.108,1.108,1.108,1.108,1,µm,Surface,,,,,,46,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta X,-1.149,-1.149,-1.149,0.000,-1.149,-1.149,-1.149,-1.149,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta X,-1.553,-1.553,-1.553,0.000,-1.553,-1.553,-1.553,-1.553,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta X,-1.901,-1.901,-1.901,0.000,-1.901,-1.901,-1.901,-1.901,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta X,-2.127,-2.127,-2.127,0.000,-2.127,-2.127,-2.127,-2.127,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta X,-1.139,-1.139,-1.139,0.000,-1.139,-1.139,-1.139,-1.139,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta X,0.183,0.183,0.183,0.000,0.183,0.183,0.183,0.183,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta X,-0.021,-0.021,-0.021,0.000,-0.021,-0.021,-0.021,-0.021,1,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta X,0.404,0.404,0.404,0.000,0.404,0.404,0.404,0.404,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta X,0.447,0.447,0.447,0.000,0.447,0.447,0.447,0.447,1,µm,Surface,,,Displacement Delta,,,38,
Displacement Delta X,-0.259,-0.259,-0.259,0.000,-0.259,-0.259,-0.259,-0.259,1,µm,Surface,,,Displacement Delta,,,39,
Displacement Delta X,-1.010,-1.010,-1.010,0.000,-1.010,-1.010,-1.010,-1.010,1,µm,Surface,,,Displacement Delta,,,40,
Displacement Delta X,0.267,0.267,0.267,0.000,0.267,0.267,0.267,0.267,1,µm,Surface,,,Displacement Delta,,,41,
Displacement Delta X,-0.141,-0.141,-0.141,0.000,-0.141,-0.141,-0.141,-0.141,1,µm,Surface,,,Displacement Delta,,,42,
Displacement Delta X,-0.695,-0.695,-0.695,0.000,-0.695,-0.695,-0.695,-0.695,1,µm,Surface,,,Displacement Delta,,,43,
Displacement Delta X,-0.378,-0.378,-0.378,0.000,-0.378,-0.378,-0.378,-0.378,1,µm,Surface,,,Displacement Delta,,,44,
Displacement Delta X,-0.289,-0.289,-0.289,0.000,-0.289,-0.289,-0.289,-0.289,1,µm,Surface,,,Displacement Delta,,,45,
Displacement Delta X,-1.061,-1.061,-1.061,0.000,-1.061,-1.061,-1.061,-1.061,1,µm,Surface,,,Displacement Delta,,,46,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta Y,-0.291,-0.291,-0.291,0.000,-0.291,-0.291,-0.291,-0.291,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta Y,0.048,0.048,0.048,0.000,0.048,0.048,0.048,0.048,1,µm,Surface,,,Displacement Delta,,,31,
Displacement Delta Y,0.876,0.876,0.876,0.000,0.876,0.876,0.876,0.876,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta Y,-0.347,-0.347,-0.347,0.000,-0.347,-0.347,-0.347,-0.347,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta Y,0.316,0.316,0.316,0.000,0.316,0.316,0.316,0.316,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Y,0.662,0.662,0.662,0.000,0.662,0.662,0.662,0.662,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta Y,1.240,1.240,1.240,0.000,1.240,1.240,1.240,1.240,1,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta Y,-0.785,-0.785,-0.785,0.000,-0.785,-0.785,-0.785,-0.785,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta Y,0.212,0.212,0.212,0.000,0.212,0.212,0.212,0.212,1,µm,Surface,,,Displacement Delta,,,38,
Displacement Delta Y,-0.257,-0.257,-0.257,0.000,-0.257,-0.257,-0.257,-0.257,1,µm,Surface,,,Displacement Delta,,,39,
Displacement Delta Y,-1.437,-1.437,-1.437,0.000,-1.437,-1.437,-1.437,-1.437,1,µm,Surface,,,Displacement Delta,,,40,
