
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,17.878,17.878,17.878,0.000,17.878,17.878,17.878,17.878,1,µm^2,Surface,,,,,,39,
Area,44.930,44.930,44.930,0.000,44.930,44.930,44.930,44.930,1,µm^2,Surface,,,,,,40,
Area,57.995,57.995,57.995,0.000,57.995,57.995,57.995,57.995,1,µm^2,Surface,,,,,,41,
Area,66.584,66.584,66.584,0.000,66.584,66.584,66.584,66.584,1,µm^2,Surface,,,,,,42,
Area,73.799,73.799,73.799,0.000,73.799,73.799,73.799,73.799,1,µm^2,Surface,,,,,,43,
Area,74.758,74.758,74.758,0.000,74.758,74.758,74.758,74.758,1,µm^2,Surface,,,,,,44,
Area,77.610,77.610,77.610,0.000,77.610,77.610,77.610,77.610,1,µm^2,Surface,,,,,,45,
Area,83.825,83.825,83.825,0.000,83.825,83.825,83.825,83.825,1,µm^2,Surface,,,,,,46,
Area,80.680,80.680,80.680,0.000,80.680,80.680,80.680,80.680,1,µm^2,Surface,,,,,,47,
Area,78.516,78.516,78.516,0.000,78.516,78.516,78.516,78.516,1,µm^2,Surface,,,,,,48,
Area,87.353,87.353,87.353,0.000,87.353,87.353,87.353,87.353,1,µm^2,Surface,,,,,,49,
Area,84.047,84.047,84.047,0.000,84.047,84.047,84.047,84.047,1,µm^2,Surface,,,,,,50,
Area,89.376,89.376,89.376,0.000,89.376,89.376,89.376,89.376,1,µm^2,Surface,,,,,,51,
Area,98.878,98.878,98.878,0.000,98.878,98.878,98.878,98.878,1,µm^2,Surface,,,,,,52,
Area,107.087,107.087,107.087,0.000,107.087,107.087,107.087,107.087,1,µm^2,Surface,,,,,,53,
Area,110.695,110.695,110.695,0.000,110.695,110.695,110.695,110.695,1,µm^2,Surface,,,,,,54,
Area,119.581,119.581,119.581,0.000,119.581,119.581,119.581,119.581,1,µm^2,Surface,,,,,,55,
Area,99.286,99.286,99.286,0.000,99.286,99.286,99.286,99.286,1,µm^2,Surface,,,,,,56,
Area,93.766,93.766,93.766,0.000,93.766,93.766,93.766,93.766,1,µm^2,Surface,,,,,,57,
Area,89.514,89.514,89.514,0.000,89.514,89.514,89.514,89.514,1,µm^2,Surface,,,,,,58,
Area,92.596,92.596,92.596,0.000,92.596,92.596,92.596,92.596,1,µm^2,Surface,,,,,,59,
Area,107.990,107.990,107.990,0.000,107.990,107.990,107.990,107.990,1,µm^2,Surface,,,,,,60,
Area,119.199,119.199,119.199,0.000,119.199,119.199,119.199,119.199,1,µm^2,Surface,,,,,,61,
Area,121.600,121.600,121.600,0.000,121.600,121.600,121.600,121.600,1,µm^2,Surface,,,,,,62,
Area,111.248,111.248,111.248,0.000,111.248,111.248,111.248,111.248,1,µm^2,Surface,,,,,,63,
Area,115.990,115.990,115.990,0.000,115.990,115.990,115.990,115.990,1,µm^2,Surface,,,,,,64,
Area,120.471,120.471,120.471,0.000,120.471,120.471,120.471,120.471,1,µm^2,Surface,,,,,,65,
Area,118.577,118.577,118.577,0.000,118.577,118.577,118.577,118.577,1,µm^2,Surface,,,,,,66,
Area,122.087,122.087,122.087,0.000,122.087,122.087,122.087,122.087,1,µm^2,Surface,,,,,,67,
Area,126.095,126.095,126.095,0.000,126.095,126.095,126.095,126.095,1,µm^2,Surface,,,,,,68,
Area,131.107,131.107,131.107,0.000,131.107,131.107,131.107,131.107,1,µm^2,Surface,,,,,,69,
Area,131.871,131.871,131.871,0.000,131.871,131.871,131.871,131.871,1,µm^2,Surface,,,,,,70,
Area,132.743,132.743,132.743,0.000,132.743,132.743,132.743,132.743,1,µm^2,Surface,,,,,,71,
Area,136.830,136.830,136.830,0.000,136.830,136.830,136.830,136.830,1,µm^2,Surface,,,,,,72,
Area,130.763,130.763,130.763,0.000,130.763,130.763,130.763,130.763,1,µm^2,Surface,,,,,,73,
Area,137.084,137.084,137.084,0.000,137.084,137.084,137.084,137.084,1,µm^2,Surface,,,,,,74,
Area,137.139,137.139,137.139,0.000,137.139,137.139,137.139,137.139,1,µm^2,Surface,,,,,,75,
Area,131.786,131.786,131.786,0.000,131.786,131.786,131.786,131.786,1,µm^2,Surface,,,,,,76,
Area,142.346,142.346,142.346,0.000,142.346,142.346,142.346,142.346,1,µm^2,Surface,,,,,,77,
Area,148.723,148.723,148.723,0.000,148.723,148.723,148.723,148.723,1,µm^2,Surface,,,,,,78,
Area,145.096,145.096,145.096,0.000,145.096,145.096,145.096,145.096,1,µm^2,Surface,,,,,,79,
Area,140.262,140.262,140.262,0.000,140.262,140.262,140.262,140.262,1,µm^2,Surface,,,,,,80,
