
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,66.246,66.246,66.246,0.000,66.246,66.246,66.246,66.246,1,µm^2,Surface,,,,,,18,
Area,84.918,84.918,84.918,0.000,84.918,84.918,84.918,84.918,1,µm^2,Surface,,,,,,19,
Area,93.781,118.064,105.922,12.141,105.922,99.848,111.996,211.845,2,µm^2,Surface,,,,,,20,
Area,113.770,138.413,126.092,12.322,126.092,119.934,132.254,252.183,2,µm^2,Surface,,,,,,21,
Area,126.637,153.086,139.861,13.225,139.861,133.246,146.473,279.723,2,µm^2,Surface,,,,,,22,
Area,132.807,161.165,146.986,14.179,146.986,139.895,154.074,293.972,2,µm^2,Surface,,,,,,23,
Area,145.619,175.399,160.509,14.890,160.509,153.062,167.953,321.018,2,µm^2,Surface,,,,,,24,
Area,161.333,188.100,174.717,13.383,174.717,168.027,181.410,349.433,2,µm^2,Surface,,,,,,25,
Area,171.079,199.419,185.249,14.170,185.249,178.168,192.332,370.498,2,µm^2,Surface,,,,,,26,
Area,181.339,181.339,181.339,0.000,181.339,181.339,181.339,181.339,1,µm^2,Surface,,,,,,27,
Area,197.635,197.635,197.635,0.000,197.635,197.635,197.635,197.635,1,µm^2,Surface,,,,,,28,
Area,200.365,200.365,200.365,0.000,200.365,200.365,200.365,200.365,1,µm^2,Surface,,,,,,29,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,18,
Class Duration,120.019,120.019,120.019,0.000,120.019,120.019,120.019,120.019,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,20,
Class Duration,120.019,120.019,120.019,0.000,120.019,120.019,120.019,120.019,1,s,Surface,,Set 1::Class B,,,,20,
Class Duration,0.000,120.019,60.009,60.009,60.009,30.031,90.031,120.019,2,s,Surface,,Set 1::Class B,,,,21,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,s,Surface,,Set 1::Class A,,,,22,
