
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,59.177,59.177,59.177,0.000,59.177,59.177,59.177,59.177,1,µm^2,Surface,,,,,34,
Area,85.682,85.682,85.682,0.000,85.682,85.682,85.682,85.682,1,µm^2,Surface,,,,,35,
Area,97.462,97.462,97.462,0.000,97.462,97.462,97.462,97.462,1,µm^2,Surface,,,,,36,
Area,107.735,107.735,107.735,0.000,107.735,107.735,107.735,107.735,1,µm^2,Surface,,,,,37,
Area,115.187,115.187,115.187,0.000,115.187,115.187,115.187,115.187,1,µm^2,Surface,,,,,38,
Area,109.825,109.825,109.825,0.000,109.825,109.825,109.825,109.825,1,µm^2,Surface,,,,,39,
Area,121.012,121.012,121.012,0.000,121.012,121.012,121.012,121.012,1,µm^2,Surface,,,,,40,
Area,134.238,134.238,134.238,0.000,134.238,134.238,134.238,134.238,1,µm^2,Surface,,,,,44,
Area,135.716,135.716,135.716,0.000,135.716,135.716,135.716,135.716,1,µm^2,Surface,,,,,45,
Area,145.204,145.204,145.204,0.000,145.204,145.204,145.204,145.204,1,µm^2,Surface,,,,,46,
Area,145.566,145.566,145.566,0.000,145.566,145.566,145.566,145.566,1,µm^2,Surface,,,,,47,
Area,139.251,139.251,139.251,0.000,139.251,139.251,139.251,139.251,1,µm^2,Surface,,,,,48,
Area,144.979,144.979,144.979,0.000,144.979,144.979,144.979,144.979,1,µm^2,Surface,,,,,49,
Area,152.867,152.867,152.867,0.000,152.867,152.867,152.867,152.867,1,µm^2,Surface,,,,,50,
Area,152.574,152.574,152.574,0.000,152.574,152.574,152.574,152.574,1,µm^2,Surface,,,,,51,
Area,153.681,153.681,153.681,0.000,153.681,153.681,153.681,153.681,1,µm^2,Surface,,,,,52,
Area,153.804,153.804,153.804,0.000,153.804,153.804,153.804,153.804,1,µm^2,Surface,,,,,53,
Area,153.604,153.604,153.604,0.000,153.604,153.604,153.604,153.604,1,µm^2,Surface,,,,,54,
Area,158.239,158.239,158.239,0.000,158.239,158.239,158.239,158.239,1,µm^2,Surface,,,,,55,
Area,158.459,158.459,158.459,0.000,158.459,158.459,158.459,158.459,1,µm^2,Surface,,,,,56,
Area,159.134,159.134,159.134,0.000,159.134,159.134,159.134,159.134,1,µm^2,Surface,,,,,57,
Area,159.461,159.461,159.461,0.000,159.461,159.461,159.461,159.461,1,µm^2,Surface,,,,,58,
Area,157.865,157.865,157.865,0.000,157.865,157.865,157.865,157.865,1,µm^2,Surface,,,,,59,
Area,155.216,155.216,155.216,0.000,155.216,155.216,155.216,155.216,1,µm^2,Surface,,,,,60,
Area,153.001,153.001,153.001,0.000,153.001,153.001,153.001,153.001,1,µm^2,Surface,,,,,61,
Area,149.642,149.642,149.642,0.000,149.642,149.642,149.642,149.642,1,µm^2,Surface,,,,,62,
Area,149.292,149.292,149.292,0.000,149.292,149.292,149.292,149.292,1,µm^2,Surface,,,,,63,
Area,139.608,139.608,139.608,0.000,139.608,139.608,139.608,139.608,1,µm^2,Surface,,,,,64,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,34,
Class Duration,540.088,540.088,540.088,0.000,540.088,540.088,540.088,540.088,1,s,Surface,,Set 1::Class B,,,35,
Class Duration,540.088,540.088,540.088,0.000,540.088,540.088,540.088,540.088,1,s,Surface,,Set 1::Class B,,,36,
Class Duration,540.088,540.088,540.088,0.000,540.088,540.088,540.088,540.088,1,s,Surface,,Set 1::Class B,,,37,
Class Duration,540.088,540.088,540.088,0.000,540.088,540.088,540.088,540.088,1,s,Surface,,Set 1::Class B,,,38,
Class Duration,540.088,540.088,540.088,0.000,540.088,540.088,540.088,540.088,1,s,Surface,,Set 1::Class B,,,39,
Class Duration,540.088,540.088,540.088,0.000,540.088,540.088,540.088,540.088,1,s,Surface,,Set 1::Class B,,,40,
Class Duration,540.088,540.088,540.088,0.000,540.088,540.088,540.088,540.088,1,s,Surface,,Set 1::Class B,,,44,
Class Duration,419.981,419.981,419.981,0.000,419.981,419.981,419.981,419.981,1,s,Surface,,Set 1::Class A,,,45,
Class Duration,419.981,419.981,419.981,0.000,419.981,419.981,419.981,419.981,1,s,Surface,,Set 1::Class A,,,46,
Class Duration,419.981,419.981,419.981,0.000,419.981,419.981,419.981,419.981,1,s,Surface,,Set 1::Class A,,,47,
Class Duration,419.981,419.981,419.981,0.000,419.981,419.981,419.981,419.981,1,s,Surface,,Set 1::Class A,,,48,
Class Duration,419.981,419.981,419.981,0.000,419.981,419.981,419.981,419.981,1,s,Surface,,Set 1::Class A,,,49,
Class Duration,419.981,419.981,419.981,0.000,419.981,419.981,419.981,419.981,1,s,Surface,,Set 1::Class A,,,50,
Class Duration,419.981,419.981,419.981,0.000,419.981,419.981,419.981,419.981,1,s,Surface,,Set 1::Class A,,,51,
Class Duration,419.981,419.981,419.981,0.000,419.981,419.981,419.981,419.981,1,s,Surface,,Set 1::Class A,,,52,
Class Duration,60.030,60.030,60.030,0.000,60.030,60.030,60.030,60.030,1,s,Surface,,Set 1::Class B,,,53,
Class Duration,60.030,60.030,60.030,0.000,60.030,60.030,60.030,60.030,1,s,Surface,,Set 1::Class B,,,54,
Class Duration,540.017,540.017,540.017,0.000,540.017,540.017,540.017,540.017,1,s,Surface,,Set 1::Class A,,,55,
Class Duration,540.017,540.017,540.017,0.000,540.017,540.017,540.017,540.017,1,s,Surface,,Set 1::Class A,,,56,
Class Duration,540.017,540.017,540.017,0.000,540.017,540.017,540.017,540.017,1,s,Surface,,Set 1::Class A,,,57,
Class Duration,540.017,540.017,540.017,0.000,540.017,540.017,540.017,540.017,1,s,Surface,,Set 1::Class A,,,58,
Class Duration,540.017,540.017,540.017,0.000,540.017,540.017,540.017,540.017,1,s,Surface,,Set 1::Class A,,,59,
Class Duration,540.017,540.017,540.017,0.000,540.017,540.017,540.017,540.017,1,s,Surface,,Set 1::Class A,,,60,
Class Duration,540.017,540.017,540.017,0.000,540.017,540.017,540.017,540.017,1,s,Surface,,Set 1::Class A,,,61,
Class Duration,540.017,540.017,540.017,0.000,540.017,540.017,540.017,540.017,1,s,Surface,,Set 1::Class A,,,62,
Class Duration,540.017,540.017,540.017,0.000,540.017,540.017,540.017,540.017,1,s,Surface,,Set 1::Class A,,,63,
Class Duration,540.017,540.017,540.017,0.000,540.017,540.017,540.017,540.017,1,s,Surface,,Set 1::Class A,,,64,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,34,
