
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,57.493,57.493,57.493,0.000,57.493,57.493,57.493,57.493,1,µm^2,Surface,,,,,,34,
Area,85.824,85.824,85.824,0.000,85.824,85.824,85.824,85.824,1,µm^2,Surface,,,,,,35,
Area,105.258,105.258,105.258,0.000,105.258,105.258,105.258,105.258,1,µm^2,Surface,,,,,,36,
Area,112.678,127.262,119.970,7.292,119.970,116.322,123.615,239.939,2,µm^2,Surface,,,,,,37,
Area,117.745,133.421,125.583,7.838,125.583,121.660,129.496,251.167,2,µm^2,Surface,,,,,,38,
Area,122.579,138.324,130.452,7.872,130.452,126.520,134.387,260.903,2,µm^2,Surface,,,,,,39,
Area,133.271,148.898,141.084,7.813,141.084,137.180,144.992,282.168,2,µm^2,Surface,,,,,,40,
Area,134.083,150.801,142.442,8.359,142.442,138.266,146.625,284.884,2,µm^2,Surface,,,,,,41,
Area,138.021,155.319,146.670,8.649,146.670,142.348,150.996,293.340,2,µm^2,Surface,,,,,,42,
Area,143.765,160.875,152.320,8.555,152.320,148.035,156.590,304.639,2,µm^2,Surface,,,,,,43,
Area,150.837,165.080,157.959,7.121,157.959,154.400,161.521,315.917,2,µm^2,Surface,,,,,,44,
Area,160.405,176.230,168.318,7.913,168.318,164.355,172.270,336.636,2,µm^2,Surface,,,,,,45,
Area,172.543,172.543,172.543,0.000,172.543,172.543,172.543,172.543,1,µm^2,Surface,,,,,,46,
Area,184.347,184.347,184.347,0.000,184.347,184.347,184.347,184.347,1,µm^2,Surface,,,,,,47,
Area,184.179,184.179,184.179,0.000,184.179,184.179,184.179,184.179,1,µm^2,Surface,,,,,,48,
Area,195.832,195.832,195.832,0.000,195.832,195.832,195.832,195.832,1,µm^2,Surface,,,,,,49,
Area,191.004,191.004,191.004,0.000,191.004,191.004,191.004,191.004,1,µm^2,Surface,,,,,,50,
Area,193.231,193.231,193.231,0.000,193.231,193.231,193.231,193.231,1,µm^2,Surface,,,,,,51,
Area,186.238,186.238,186.238,0.000,186.238,186.238,186.238,186.238,1,µm^2,Surface,,,,,,52,
Area,178.968,178.968,178.968,0.000,178.968,178.968,178.968,178.968,1,µm^2,Surface,,,,,,53,
Area,176.674,176.674,176.674,0.000,176.674,176.674,176.674,176.674,1,µm^2,Surface,,,,,,54,
Area,174.084,174.084,174.084,0.000,174.084,174.084,174.084,174.084,1,µm^2,Surface,,,,,,55,
Area,177.682,177.682,177.682,0.000,177.682,177.682,177.682,177.682,1,µm^2,Surface,,,,,,56,
Area,176.626,176.626,176.626,0.000,176.626,176.626,176.626,176.626,1,µm^2,Surface,,,,,,57,
