
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,19.190,19.190,19.190,0.000,19.190,19.190,19.190,19.190,1,µm^2,Surface,,,,,,1,
Area,62.274,62.274,62.274,0.000,62.274,62.274,62.274,62.274,1,µm^2,Surface,,,,,,2,
Area,92.138,92.138,92.138,0.000,92.138,92.138,92.138,92.138,1,µm^2,Surface,,,,,,3,
Area,118.876,118.876,118.876,0.000,118.876,118.876,118.876,118.876,1,µm^2,Surface,,,,,,4,
Area,159.524,159.524,159.524,0.000,159.524,159.524,159.524,159.524,1,µm^2,Surface,,,,,,5,
Area,189.930,189.930,189.930,0.000,189.930,189.930,189.930,189.930,1,µm^2,Surface,,,,,,6,
Area,218.752,218.752,218.752,0.000,218.752,218.752,218.752,218.752,1,µm^2,Surface,,,,,,7,
Area,232.566,232.566,232.566,0.000,232.566,232.566,232.566,232.566,1,µm^2,Surface,,,,,,8,
Area,240.034,240.034,240.034,0.000,240.034,240.034,240.034,240.034,1,µm^2,Surface,,,,,,9,
Area,240.346,240.346,240.346,0.000,240.346,240.346,240.346,240.346,1,µm^2,Surface,,,,,,10,
Area,226.462,226.462,226.462,0.000,226.462,226.462,226.462,226.462,1,µm^2,Surface,,,,,,11,
Area,239.134,239.134,239.134,0.000,239.134,239.134,239.134,239.134,1,µm^2,Surface,,,,,,12,
Area,198.393,198.393,198.393,0.000,198.393,198.393,198.393,198.393,1,µm^2,Surface,,,,,,13,
Class Duration,57.592,57.592,57.592,0.000,57.592,57.592,57.592,57.592,1,s,Surface,,Set 1::Class A,,,,1,
Class Duration,57.592,57.592,57.592,0.000,57.592,57.592,57.592,57.592,1,s,Surface,,Set 1::Class A,,,,2,
Class Duration,480.011,480.011,480.011,0.000,480.011,480.011,480.011,480.011,1,s,Surface,,Set 1::Class B,,,,3,
Class Duration,480.011,480.011,480.011,0.000,480.011,480.011,480.011,480.011,1,s,Surface,,Set 1::Class B,,,,4,
Class Duration,480.011,480.011,480.011,0.000,480.011,480.011,480.011,480.011,1,s,Surface,,Set 1::Class B,,,,5,
Class Duration,480.011,480.011,480.011,0.000,480.011,480.011,480.011,480.011,1,s,Surface,,Set 1::Class B,,,,6,
Class Duration,480.011,480.011,480.011,0.000,480.011,480.011,480.011,480.011,1,s,Surface,,Set 1::Class B,,,,7,
Class Duration,480.011,480.011,480.011,0.000,480.011,480.011,480.011,480.011,1,s,Surface,,Set 1::Class B,,,,8,
Class Duration,480.011,480.011,480.011,0.000,480.011,480.011,480.011,480.011,1,s,Surface,,Set 1::Class B,,,,9,
Class Duration,480.011,480.011,480.011,0.000,480.011,480.011,480.011,480.011,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,480.011,480.011,480.011,0.000,480.011,480.011,480.011,480.011,1,s,Surface,,Set 1::Class B,,,,11,
Class Duration,60.066,60.066,60.066,0.000,60.066,60.066,60.066,60.066,1,s,Surface,,Set 1::Class A,,,,12,
Class Duration,60.066,60.066,60.066,0.000,60.066,60.066,60.066,60.066,1,s,Surface,,Set 1::Class A,,,,13,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,1,
Displacement Delta Length,0.634,0.634,0.634,0.000,0.634,0.634,0.634,0.634,1,µm,Surface,,,,,,2,
Displacement Delta Length,1.655,1.655,1.655,0.000,1.655,1.655,1.655,1.655,1,µm,Surface,,,,,,3,
Displacement Delta Length,1.295,1.295,1.295,0.000,1.295,1.295,1.295,1.295,1,µm,Surface,,,,,,4,
Displacement Delta Length,2.367,2.367,2.367,0.000,2.367,2.367,2.367,2.367,1,µm,Surface,,,,,,5,
Displacement Delta Length,2.446,2.446,2.446,0.000,2.446,2.446,2.446,2.446,1,µm,Surface,,,,,,6,
Displacement Delta Length,1.450,1.450,1.450,0.000,1.450,1.450,1.450,1.450,1,µm,Surface,,,,,,7,
