
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,25.734,25.734,25.734,0.000,25.734,25.734,25.734,25.734,1,µm^2,Surface,,,,,39,
Area,51.785,51.785,51.785,0.000,51.785,51.785,51.785,51.785,1,µm^2,Surface,,,,,40,
Area,77.557,77.557,77.557,0.000,77.557,77.557,77.557,77.557,1,µm^2,Surface,,,,,44,
Area,81.557,81.557,81.557,0.000,81.557,81.557,81.557,81.557,1,µm^2,Surface,,,,,45,
Area,80.984,80.984,80.984,0.000,80.984,80.984,80.984,80.984,1,µm^2,Surface,,,,,46,
Area,81.457,81.457,81.457,0.000,81.457,81.457,81.457,81.457,1,µm^2,Surface,,,,,47,
Area,87.277,87.277,87.277,0.000,87.277,87.277,87.277,87.277,1,µm^2,Surface,,,,,48,
Area,87.985,87.985,87.985,0.000,87.985,87.985,87.985,87.985,1,µm^2,Surface,,,,,49,
Area,88.585,88.585,88.585,0.000,88.585,88.585,88.585,88.585,1,µm^2,Surface,,,,,50,
Area,89.728,89.728,89.728,0.000,89.728,89.728,89.728,89.728,1,µm^2,Surface,,,,,51,
Area,90.183,90.183,90.183,0.000,90.183,90.183,90.183,90.183,1,µm^2,Surface,,,,,52,
Area,89.786,89.786,89.786,0.000,89.786,89.786,89.786,89.786,1,µm^2,Surface,,,,,53,
Area,89.968,89.968,89.968,0.000,89.968,89.968,89.968,89.968,1,µm^2,Surface,,,,,54,
Area,85.928,85.928,85.928,0.000,85.928,85.928,85.928,85.928,1,µm^2,Surface,,,,,55,
Area,89.293,89.293,89.293,0.000,89.293,89.293,89.293,89.293,1,µm^2,Surface,,,,,56,
Area,88.653,88.653,88.653,0.000,88.653,88.653,88.653,88.653,1,µm^2,Surface,,,,,57,
Area,88.123,88.123,88.123,0.000,88.123,88.123,88.123,88.123,1,µm^2,Surface,,,,,58,
Area,87.702,87.702,87.702,0.000,87.702,87.702,87.702,87.702,1,µm^2,Surface,,,,,59,
Area,88.708,88.708,88.708,0.000,88.708,88.708,88.708,88.708,1,µm^2,Surface,,,,,60,
Area,87.826,87.826,87.826,0.000,87.826,87.826,87.826,87.826,1,µm^2,Surface,,,,,61,
Area,86.337,86.337,86.337,0.000,86.337,86.337,86.337,86.337,1,µm^2,Surface,,,,,62,
Area,87.276,87.276,87.276,0.000,87.276,87.276,87.276,87.276,1,µm^2,Surface,,,,,63,
Area,88.404,88.404,88.404,0.000,88.404,88.404,88.404,88.404,1,µm^2,Surface,,,,,64,
Area,90.162,90.162,90.162,0.000,90.162,90.162,90.162,90.162,1,µm^2,Surface,,,,,65,
Area,90.997,90.997,90.997,0.000,90.997,90.997,90.997,90.997,1,µm^2,Surface,,,,,66,
Area,90.254,90.254,90.254,0.000,90.254,90.254,90.254,90.254,1,µm^2,Surface,,,,,67,
Area,91.532,91.532,91.532,0.000,91.532,91.532,91.532,91.532,1,µm^2,Surface,,,,,68,
Area,91.139,91.139,91.139,0.000,91.139,91.139,91.139,91.139,1,µm^2,Surface,,,,,69,
Area,92.905,92.905,92.905,0.000,92.905,92.905,92.905,92.905,1,µm^2,Surface,,,,,70,
Area,92.937,92.937,92.937,0.000,92.937,92.937,92.937,92.937,1,µm^2,Surface,,,,,71,
Area,92.313,92.313,92.313,0.000,92.313,92.313,92.313,92.313,1,µm^2,Surface,,,,,72,
Area,91.298,91.298,91.298,0.000,91.298,91.298,91.298,91.298,1,µm^2,Surface,,,,,73,
Area,90.105,90.105,90.105,0.000,90.105,90.105,90.105,90.105,1,µm^2,Surface,,,,,74,
Area,90.350,90.350,90.350,0.000,90.350,90.350,90.350,90.350,1,µm^2,Surface,,,,,75,
Area,90.913,90.913,90.913,0.000,90.913,90.913,90.913,90.913,1,µm^2,Surface,,,,,76,
Area,89.713,89.713,89.713,0.000,89.713,89.713,89.713,89.713,1,µm^2,Surface,,,,,77,
Area,89.290,89.290,89.290,0.000,89.290,89.290,89.290,89.290,1,µm^2,Surface,,,,,78,
Area,87.884,87.884,87.884,0.000,87.884,87.884,87.884,87.884,1,µm^2,Surface,,,,,79,
Area,88.136,88.136,88.136,0.000,88.136,88.136,88.136,88.136,1,µm^2,Surface,,,,,80,
Area,87.278,87.278,87.278,0.000,87.278,87.278,87.278,87.278,1,µm^2,Surface,,,,,81,
Area,85.222,85.222,85.222,0.000,85.222,85.222,85.222,85.222,1,µm^2,Surface,,,,,82,
Area,85.106,85.106,85.106,0.000,85.106,85.106,85.106,85.106,1,µm^2,Surface,,,,,83,
Area,84.317,84.317,84.317,0.000,84.317,84.317,84.317,84.317,1,µm^2,Surface,,,,,84,
Area,85.062,85.062,85.062,0.000,85.062,85.062,85.062,85.062,1,µm^2,Surface,,,,,85,
