
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,52.399,52.399,52.399,0.000,52.399,52.399,52.399,52.399,1,µm^2,Surface,,,,,29,
Area,59.046,59.046,59.046,0.000,59.046,59.046,59.046,59.046,1,µm^2,Surface,,,,,30,
Area,91.982,91.982,91.982,0.000,91.982,91.982,91.982,91.982,1,µm^2,Surface,,,,,31,
Area,80.153,80.153,80.153,0.000,80.153,80.153,80.153,80.153,1,µm^2,Surface,,,,,32,
Area,88.438,88.438,88.438,0.000,88.438,88.438,88.438,88.438,1,µm^2,Surface,,,,,33,
Area,102.514,102.514,102.514,0.000,102.514,102.514,102.514,102.514,1,µm^2,Surface,,,,,34,
Area,123.751,123.751,123.751,0.000,123.751,123.751,123.751,123.751,1,µm^2,Surface,,,,,35,
Area,112.389,112.389,112.389,0.000,112.389,112.389,112.389,112.389,1,µm^2,Surface,,,,,36,
Area,90.780,90.780,90.780,0.000,90.780,90.780,90.780,90.780,1,µm^2,Surface,,,,,37,
Area,76.133,76.133,76.133,0.000,76.133,76.133,76.133,76.133,1,µm^2,Surface,,,,,38,
Area,84.158,84.158,84.158,0.000,84.158,84.158,84.158,84.158,1,µm^2,Surface,,,,,39,
Area,95.595,95.595,95.595,0.000,95.595,95.595,95.595,95.595,1,µm^2,Surface,,,,,40,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,29,
Displacement Delta Length,1.735,1.735,1.735,0.000,1.735,1.735,1.735,1.735,1,µm,Surface,,,,,30,
Displacement Delta Length,1.018,1.018,1.018,0.000,1.018,1.018,1.018,1.018,1,µm,Surface,,,,,31,
Displacement Delta Length,0.730,0.730,0.730,0.000,0.730,0.730,0.730,0.730,1,µm,Surface,,,,,32,
Displacement Delta Length,0.840,0.840,0.840,0.000,0.840,0.840,0.840,0.840,1,µm,Surface,,,,,33,
Displacement Delta Length,0.979,0.979,0.979,0.000,0.979,0.979,0.979,0.979,1,µm,Surface,,,,,34,
Displacement Delta Length,0.765,0.765,0.765,0.000,0.765,0.765,0.765,0.765,1,µm,Surface,,,,,35,
Displacement Delta Length,0.757,0.757,0.757,0.000,0.757,0.757,0.757,0.757,1,µm,Surface,,,,,36,
Displacement Delta Length,0.641,0.641,0.641,0.000,0.641,0.641,0.641,0.641,1,µm,Surface,,,,,37,
Displacement Delta Length,0.774,0.774,0.774,0.000,0.774,0.774,0.774,0.774,1,µm,Surface,,,,,38,
Displacement Delta Length,0.694,0.694,0.694,0.000,0.694,0.694,0.694,0.694,1,µm,Surface,,,,,39,
Displacement Delta Length,0.315,0.315,0.315,0.000,0.315,0.315,0.315,0.315,1,µm,Surface,,,,,40,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,0.462,0.462,0.462,0.000,0.462,0.462,0.462,0.462,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,0.970,0.970,0.970,0.000,0.970,0.970,0.970,0.970,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,-0.359,-0.359,-0.359,0.000,-0.359,-0.359,-0.359,-0.359,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,0.114,0.114,0.114,0.000,0.114,0.114,0.114,0.114,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,-0.131,-0.131,-0.131,0.000,-0.131,-0.131,-0.131,-0.131,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,0.118,0.118,0.118,0.000,0.118,0.118,0.118,0.118,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta X,-0.089,-0.089,-0.089,0.000,-0.089,-0.089,-0.089,-0.089,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta X,-0.500,-0.500,-0.500,0.000,-0.500,-0.500,-0.500,-0.500,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta X,-0.086,-0.086,-0.086,0.000,-0.086,-0.086,-0.086,-0.086,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta X,0.067,0.067,0.067,0.000,0.067,0.067,0.067,0.067,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta X,-0.311,-0.311,-0.311,0.000,-0.311,-0.311,-0.311,-0.311,1,µm,Surface,,Displacement Delta,,,40,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,0.768,0.768,0.768,0.000,0.768,0.768,0.768,0.768,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Y,0.310,0.310,0.310,0.000,0.310,0.310,0.310,0.310,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Y,-0.631,-0.631,-0.631,0.000,-0.631,-0.631,-0.631,-0.631,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Y,0.663,0.663,0.663,0.000,0.663,0.663,0.663,0.663,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Y,-0.958,-0.958,-0.958,0.000,-0.958,-0.958,-0.958,-0.958,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Y,-0.718,-0.718,-0.718,0.000,-0.718,-0.718,-0.718,-0.718,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta Y,-0.659,-0.659,-0.659,0.000,-0.659,-0.659,-0.659,-0.659,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta Y,0.141,0.141,0.141,0.000,0.141,0.141,0.141,0.141,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta Y,0.765,0.765,0.765,0.000,0.765,0.765,0.765,0.765,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta Y,0.688,0.688,0.688,0.000,0.688,0.688,0.688,0.688,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta Y,0.051,0.051,0.051,0.000,0.051,0.051,0.051,0.051,1,µm,Surface,,Displacement Delta,,,40,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Z,-1.485,-1.485,-1.485,0.000,-1.485,-1.485,-1.485,-1.485,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Z,-0.005,-0.005,-0.005,0.000,-0.005,-0.005,-0.005,-0.005,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Z,0.079,0.079,0.079,0.000,0.079,0.079,0.079,0.079,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Z,-0.503,-0.503,-0.503,0.000,-0.503,-0.503,-0.503,-0.503,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Z,-0.154,-0.154,-0.154,0.000,-0.154,-0.154,-0.154,-0.154,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Z,-0.235,-0.235,-0.235,0.000,-0.235,-0.235,-0.235,-0.235,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta Z,0.361,0.361,0.361,0.000,0.361,0.361,0.361,0.361,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta Z,0.376,0.376,0.376,0.000,0.376,0.376,0.376,0.376,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta Z,0.083,0.083,0.083,0.000,0.083,0.083,0.083,0.083,1,µm,Surface,,Displacement Delta,,,38,
Displacement Delta Z,0.062,0.062,0.062,0.000,0.062,0.062,0.062,0.062,1,µm,Surface,,Displacement Delta,,,39,
Displacement Delta Z,-0.018,-0.018,-0.018,0.000,-0.018,-0.018,-0.018,-0.018,1,µm,Surface,,Displacement Delta,,,40,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,29,
Displacement Length,1.735,1.735,1.735,0.000,1.735,1.735,1.735,1.735,1,µm,Surface,,,,,30,
Displacement Length,2.331,2.331,2.331,0.000,2.331,2.331,2.331,2.331,1,µm,Surface,,,,,31,
Displacement Length,1.828,1.828,1.828,0.000,1.828,1.828,1.828,1.828,1,µm,Surface,,,,,32,
Displacement Length,2.511,2.511,2.511,0.000,2.511,2.511,2.511,2.511,1,µm,Surface,,,,,33,
Displacement Length,2.327,2.327,2.327,0.000,2.327,2.327,2.327,2.327,1,µm,Surface,,,,,34,
Displacement Length,2.646,2.646,2.646,0.000,2.646,2.646,2.646,2.646,1,µm,Surface,,,,,35,
Displacement Length,2.539,2.539,2.539,0.000,2.539,2.539,2.539,2.539,1,µm,Surface,,,,,36,
Displacement Length,1.992,1.992,1.992,0.000,1.992,1.992,1.992,1.992,1,µm,Surface,,,,,37,
Displacement Length,1.597,1.597,1.597,0.000,1.597,1.597,1.597,1.597,1,µm,Surface,,,,,38,
Displacement Length,1.573,1.573,1.573,0.000,1.573,1.573,1.573,1.573,1,µm,Surface,,,,,39,
