
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,67.544,67.544,67.544,0.000,67.544,67.544,67.544,67.544,1,µm^2,Surface,,,,,29,
Area,88.171,88.171,88.171,0.000,88.171,88.171,88.171,88.171,1,µm^2,Surface,,,,,30,
Area,109.499,109.499,109.499,0.000,109.499,109.499,109.499,109.499,1,µm^2,Surface,,,,,31,
Area,114.108,114.108,114.108,0.000,114.108,114.108,114.108,114.108,1,µm^2,Surface,,,,,32,
Area,123.812,123.812,123.812,0.000,123.812,123.812,123.812,123.812,1,µm^2,Surface,,,,,33,
Area,128.505,128.505,128.505,0.000,128.505,128.505,128.505,128.505,1,µm^2,Surface,,,,,34,
Area,143.362,143.362,143.362,0.000,143.362,143.362,143.362,143.362,1,µm^2,Surface,,,,,35,
Area,147.933,147.933,147.933,0.000,147.933,147.933,147.933,147.933,1,µm^2,Surface,,,,,36,
Area,155.018,155.018,155.018,0.000,155.018,155.018,155.018,155.018,1,µm^2,Surface,,,,,37,
Area,159.222,159.222,159.222,0.000,159.222,159.222,159.222,159.222,1,µm^2,Surface,,,,,38,
Area,165.217,165.217,165.217,0.000,165.217,165.217,165.217,165.217,1,µm^2,Surface,,,,,39,
Area,168.593,168.593,168.593,0.000,168.593,168.593,168.593,168.593,1,µm^2,Surface,,,,,40,
Area,171.528,171.528,171.528,0.000,171.528,171.528,171.528,171.528,1,µm^2,Surface,,,,,41,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,29,
Displacement Delta Length,1.366,1.366,1.366,0.000,1.366,1.366,1.366,1.366,1,µm,Surface,,,,,30,
Displacement Delta Length,0.927,0.927,0.927,0.000,0.927,0.927,0.927,0.927,1,µm,Surface,,,,,31,
Displacement Delta Length,0.702,0.702,0.702,0.000,0.702,0.702,0.702,0.702,1,µm,Surface,,,,,32,
Displacement Delta Length,0.739,0.739,0.739,0.000,0.739,0.739,0.739,0.739,1,µm,Surface,,,,,33,
Displacement Delta Length,0.616,0.616,0.616,0.000,0.616,0.616,0.616,0.616,1,µm,Surface,,,,,34,
Displacement Delta Length,1.413,1.413,1.413,0.000,1.413,1.413,1.413,1.413,1,µm,Surface,,,,,35,
Displacement Delta Length,0.202,0.202,0.202,0.000,0.202,0.202,0.202,0.202,1,µm,Surface,,,,,36,
Displacement Delta Length,1.033,1.033,1.033,0.000,1.033,1.033,1.033,1.033,1,µm,Surface,,,,,37,
Displacement Delta Length,0.220,0.220,0.220,0.000,0.220,0.220,0.220,0.220,1,µm,Surface,,,,,38,
Displacement Delta Length,0.316,0.316,0.316,0.000,0.316,0.316,0.316,0.316,1,µm,Surface,,,,,39,
Displacement Delta Length,0.932,0.932,0.932,0.000,0.932,0.932,0.932,0.932,1,µm,Surface,,,,,40,
Displacement Delta Length,0.434,0.434,0.434,0.000,0.434,0.434,0.434,0.434,1,µm,Surface,,,,,41,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,29,
