
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,47.185,47.185,47.185,0.000,47.185,47.185,47.185,47.185,1,µm^2,Surface,,,,,27,
Area,87.022,87.022,87.022,0.000,87.022,87.022,87.022,87.022,1,µm^2,Surface,,,,,28,
Area,106.216,106.216,106.216,0.000,106.216,106.216,106.216,106.216,1,µm^2,Surface,,,,,29,
Area,116.317,116.317,116.317,0.000,116.317,116.317,116.317,116.317,1,µm^2,Surface,,,,,30,
Area,111.317,111.317,111.317,0.000,111.317,111.317,111.317,111.317,1,µm^2,Surface,,,,,31,
Area,110.612,110.612,110.612,0.000,110.612,110.612,110.612,110.612,1,µm^2,Surface,,,,,32,
Area,114.380,114.380,114.380,0.000,114.380,114.380,114.380,114.380,1,µm^2,Surface,,,,,33,
Area,125.768,125.768,125.768,0.000,125.768,125.768,125.768,125.768,1,µm^2,Surface,,,,,34,
Area,115.193,115.193,115.193,0.000,115.193,115.193,115.193,115.193,1,µm^2,Surface,,,,,35,
Area,56.697,56.697,56.697,0.000,56.697,56.697,56.697,56.697,1,µm^2,Surface,,,,,36,
Area,93.948,93.948,93.948,0.000,93.948,93.948,93.948,93.948,1,µm^2,Surface,,,,,37,
Area,118.333,118.333,118.333,0.000,118.333,118.333,118.333,118.333,1,µm^2,Surface,,,,,38,
Area,120.877,120.877,120.877,0.000,120.877,120.877,120.877,120.877,1,µm^2,Surface,,,,,39,
Area,120.155,120.155,120.155,0.000,120.155,120.155,120.155,120.155,1,µm^2,Surface,,,,,40,
Area,70.714,70.714,70.714,0.000,70.714,70.714,70.714,70.714,1,µm^2,Surface,,,,,41,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,27,
Displacement Delta Length,2.407,2.407,2.407,0.000,2.407,2.407,2.407,2.407,1,µm,Surface,,,,,28,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,29,
Displacement Delta Length,2.141,2.141,2.141,0.000,2.141,2.141,2.141,2.141,1,µm,Surface,,,,,30,
Displacement Delta Length,1.622,1.622,1.622,0.000,1.622,1.622,1.622,1.622,1,µm,Surface,,,,,31,
Displacement Delta Length,0.452,0.452,0.452,0.000,0.452,0.452,0.452,0.452,1,µm,Surface,,,,,32,
Displacement Delta Length,1.113,1.113,1.113,0.000,1.113,1.113,1.113,1.113,1,µm,Surface,,,,,33,
Displacement Delta Length,0.592,0.592,0.592,0.000,0.592,0.592,0.592,0.592,1,µm,Surface,,,,,34,
Displacement Delta Length,0.772,0.772,0.772,0.000,0.772,0.772,0.772,0.772,1,µm,Surface,,,,,35,
Displacement Delta Length,1.586,1.586,1.586,0.000,1.586,1.586,1.586,1.586,1,µm,Surface,,,,,36,
Displacement Delta Length,0.776,0.776,0.776,0.000,0.776,0.776,0.776,0.776,1,µm,Surface,,,,,37,
Displacement Delta Length,1.066,1.066,1.066,0.000,1.066,1.066,1.066,1.066,1,µm,Surface,,,,,38,
Displacement Delta Length,0.424,0.424,0.424,0.000,0.424,0.424,0.424,0.424,1,µm,Surface,,,,,39,
Displacement Delta Length,0.482,0.482,0.482,0.000,0.482,0.482,0.482,0.482,1,µm,Surface,,,,,40,
Displacement Delta Length,0.670,0.670,0.670,0.000,0.670,0.670,0.670,0.670,1,µm,Surface,,,,,41,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,-1.959,-1.959,-1.959,0.000,-1.959,-1.959,-1.959,-1.959,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,29,
