
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,124.919,124.919,124.919,0.000,124.919,124.919,124.919,124.919,1,µm^2,Surface,,,,,1,
Area,142.958,142.958,142.958,0.000,142.958,142.958,142.958,142.958,1,µm^2,Surface,,,,,2,
Area,164.690,164.690,164.690,0.000,164.690,164.690,164.690,164.690,1,µm^2,Surface,,,,,3,
Area,185.068,185.068,185.068,0.000,185.068,185.068,185.068,185.068,1,µm^2,Surface,,,,,4,
Area,203.084,203.084,203.084,0.000,203.084,203.084,203.084,203.084,1,µm^2,Surface,,,,,5,
Area,226.557,226.557,226.557,0.000,226.557,226.557,226.557,226.557,1,µm^2,Surface,,,,,6,
Area,211.053,211.053,211.053,0.000,211.053,211.053,211.053,211.053,1,µm^2,Surface,,,,,7,
Area,198.146,198.146,198.146,0.000,198.146,198.146,198.146,198.146,1,µm^2,Surface,,,,,8,
Area,198.856,198.856,198.856,0.000,198.856,198.856,198.856,198.856,1,µm^2,Surface,,,,,9,
Area,201.942,201.942,201.942,0.000,201.942,201.942,201.942,201.942,1,µm^2,Surface,,,,,10,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Delta Length,2.856,2.856,2.856,0.000,2.856,2.856,2.856,2.856,1,µm,Surface,,,,,2,
Displacement Delta Length,1.011,1.011,1.011,0.000,1.011,1.011,1.011,1.011,1,µm,Surface,,,,,3,
Displacement Delta Length,0.946,0.946,0.946,0.000,0.946,0.946,0.946,0.946,1,µm,Surface,,,,,4,
Displacement Delta Length,1.091,1.091,1.091,0.000,1.091,1.091,1.091,1.091,1,µm,Surface,,,,,5,
Displacement Delta Length,1.292,1.292,1.292,0.000,1.292,1.292,1.292,1.292,1,µm,Surface,,,,,6,
Displacement Delta Length,1.610,1.610,1.610,0.000,1.610,1.610,1.610,1.610,1,µm,Surface,,,,,7,
Displacement Delta Length,2.279,2.279,2.279,0.000,2.279,2.279,2.279,2.279,1,µm,Surface,,,,,8,
Displacement Delta Length,1.043,1.043,1.043,0.000,1.043,1.043,1.043,1.043,1,µm,Surface,,,,,9,
Displacement Delta Length,0.684,0.684,0.684,0.000,0.684,0.684,0.684,0.684,1,µm,Surface,,,,,10,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta X,-2.505,-2.505,-2.505,0.000,-2.505,-2.505,-2.505,-2.505,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta X,-0.385,-0.385,-0.385,0.000,-0.385,-0.385,-0.385,-0.385,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta X,0.586,0.586,0.586,0.000,0.586,0.586,0.586,0.586,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta X,0.082,0.082,0.082,0.000,0.082,0.082,0.082,0.082,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta X,-1.240,-1.240,-1.240,0.000,-1.240,-1.240,-1.240,-1.240,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta X,0.866,0.866,0.866,0.000,0.866,0.866,0.866,0.866,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta X,1.847,1.847,1.847,0.000,1.847,1.847,1.847,1.847,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta X,-0.904,-0.904,-0.904,0.000,-0.904,-0.904,-0.904,-0.904,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta X,-0.084,-0.084,-0.084,0.000,-0.084,-0.084,-0.084,-0.084,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Y,-1.364,-1.364,-1.364,0.000,-1.364,-1.364,-1.364,-1.364,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Y,-0.804,-0.804,-0.804,0.000,-0.804,-0.804,-0.804,-0.804,1,µm,Surface,,Displacement Delta,,,3,
