nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17
AB,Intensity Max,418.0,418.0,418.0,0.0,418.0,418.0,418.0,418.0,1,,Surface,1.0,,Image 1,,1.0,
AB,Intensity Max,422.0,422.0,422.0,0.0,422.0,422.0,422.0,422.0,1,,Surface,1.0,,Image 1,,2.0,
AB,Intensity Max,424.0,424.0,424.0,0.0,424.0,424.0,424.0,424.0,1,,Surface,1.0,,Image 1,,3.0,
AB,Intensity Max,392.0,392.0,392.0,0.0,392.0,392.0,392.0,392.0,1,,Surface,1.0,,Image 1,,4.0,
AB,Intensity Max,428.0,428.0,428.0,0.0,428.0,428.0,428.0,428.0,1,,Surface,1.0,,Image 1,,5.0,
AB,Intensity Max,306.0,306.0,306.0,0.0,306.0,306.0,306.0,306.0,1,,Surface,1.0,,Image 1,,6.0,
AB,Intensity Max,298.0,298.0,298.0,0.0,298.0,298.0,298.0,298.0,1,,Surface,1.0,,Image 1,,7.0,
AB,Intensity Max,214.0,214.0,214.0,0.0,214.0,214.0,214.0,214.0,1,,Surface,1.0,,Image 1,,8.0,
P1,Intensity Max,305.0,305.0,305.0,0.0,305.0,305.0,305.0,305.0,1,,Surface,1.0,,Image 1,,1.0,
P1,Intensity Max,267.0,267.0,267.0,0.0,267.0,267.0,267.0,267.0,1,,Surface,1.0,,Image 1,,2.0,
P1,Intensity Max,324.0,324.0,324.0,0.0,324.0,324.0,324.0,324.0,1,,Surface,1.0,,Image 1,,3.0,
P1,Intensity Max,297.0,297.0,297.0,0.0,297.0,297.0,297.0,297.0,1,,Surface,1.0,,Image 1,,4.0,
P1,Intensity Max,298.0,298.0,298.0,0.0,298.0,298.0,298.0,298.0,1,,Surface,1.0,,Image 1,,5.0,
P1,Intensity Max,318.0,318.0,318.0,0.0,318.0,318.0,318.0,318.0,1,,Surface,1.0,,Image 1,,6.0,
P1,Intensity Max,317.0,317.0,317.0,0.0,317.0,317.0,317.0,317.0,1,,Surface,1.0,,Image 1,,7.0,
P1,Intensity Max,254.0,254.0,254.0,0.0,254.0,254.0,254.0,254.0,1,,Surface,1.0,,Image 1,,8.0,
P1,Intensity Max,321.0,321.0,321.0,0.0,321.0,321.0,321.0,321.0,1,,Surface,1.0,,Image 1,,9.0,
P1,Intensity Max,274.0,274.0,274.0,0.0,274.0,274.0,274.0,274.0,1,,Surface,1.0,,Image 1,,10.0,
ABa,Intensity Max,392.0,392.0,392.0,0.0,392.0,392.0,392.0,392.0,1,,Surface,1.0,,Image 1,,4.0,
ABa,Intensity Max,428.0,428.0,428.0,0.0,428.0,428.0,428.0,428.0,1,,Surface,1.0,,Image 1,,5.0,
ABa,Intensity Max,214.0,214.0,214.0,0.0,214.0,214.0,214.0,214.0,1,,Surface,1.0,,Image 1,,8.0,
ABa,Intensity Max,280.0,280.0,280.0,0.0,280.0,280.0,280.0,280.0,1,,Surface,1.0,,Image 1,,12.0,
ABa,Intensity Max,309.0,309.0,309.0,0.0,309.0,309.0,309.0,309.0,1,,Surface,1.0,,Image 1,,13.0,
ABa,Intensity Max,370.0,370.0,370.0,0.0,370.0,370.0,370.0,370.0,1,,Surface,1.0,,Image 1,,14.0,
ABa,Intensity Max,412.0,412.0,412.0,0.0,412.0,412.0,412.0,412.0,1,,Surface,1.0,,Image 1,,15.0,
ABa,Intensity Max,380.0,380.0,380.0,0.0,380.0,380.0,380.0,380.0,1,,Surface,1.0,,Image 1,,16.0,
ABa,Intensity Max,306.0,306.0,306.0,0.0,306.0,306.0,306.0,306.0,1,,Surface,1.0,,Image 1,,17.0,
ABa,Intensity Max,302.0,302.0,302.0,0.0,302.0,302.0,302.0,302.0,1,,Surface,1.0,,Image 1,,18.0,
ABa,Intensity Max,283.0,283.0,283.0,0.0,283.0,283.0,283.0,283.0,1,,Surface,1.0,,Image 1,,19.0,
ABa,Intensity Max,278.0,278.0,278.0,0.0,278.0,278.0,278.0,278.0,1,,Surface,1.0,,Image 1,,20.0,
ABa,Intensity Max,299.0,299.0,299.0,0.0,299.0,299.0,299.0,299.0,1,,Surface,1.0,,Image 1,,21.0,
ABp,Intensity Max,260.0,260.0,260.0,0.0,260.0,260.0,260.0,260.0,1,,Surface,1.0,,Image 1,,12.0,
ABp,Intensity Max,289.0,289.0,289.0,0.0,289.0,289.0,289.0,289.0,1,,Surface,1.0,,Image 1,,13.0,
ABp,Intensity Max,279.0,279.0,279.0,0.0,279.0,279.0,279.0,279.0,1,,Surface,1.0,,Image 1,,15.0,
ABp,Intensity Max,286.0,286.0,286.0,0.0,286.0,286.0,286.0,286.0,1,,Surface,1.0,,Image 1,,16.0,
ABp,Intensity Max,283.0,283.0,283.0,0.0,283.0,283.0,283.0,283.0,1,,Surface,1.0,,Image 1,,17.0,
ABp,Intensity Max,278.0,278.0,278.0,0.0,278.0,278.0,278.0,278.0,1,,Surface,1.0,,Image 1,,18.0,
ABp,Intensity Max,298.0,298.0,298.0,0.0,298.0,298.0,298.0,298.0,1,,Surface,1.0,,Image 1,,19.0,
ABp,Intensity Max,269.0,269.0,269.0,0.0,269.0,269.0,269.0,269.0,1,,Surface,1.0,,Image 1,,20.0,
ABp,Intensity Max,264.0,264.0,264.0,0.0,264.0,264.0,264.0,264.0,1,,Surface,1.0,,Image 1,,21.0,
ABp,Intensity Max,248.0,248.0,248.0,0.0,248.0,248.0,248.0,248.0,1,,Surface,1.0,,Image 1,,22.0,
EMS,Intensity Max,236.0,236.0,236.0,0.0,236.0,236.0,236.0,236.0,1,,Surface,1.0,,Image 1,,15.0,
EMS,Intensity Max,238.0,238.0,238.0,0.0,238.0,238.0,238.0,238.0,1,,Surface,1.0,,Image 1,,16.0,
EMS,Intensity Max,232.0,232.0,232.0,0.0,232.0,232.0,232.0,232.0,1,,Surface,1.0,,Image 1,,17.0,
EMS,Intensity Max,234.0,234.0,234.0,0.0,234.0,234.0,234.0,234.0,1,,Surface,1.0,,Image 1,,18.0,
EMS,Intensity Max,252.0,252.0,252.0,0.0,252.0,252.0,252.0,252.0,1,,Surface,1.0,,Image 1,,19.0,
EMS,Intensity Max,1389.0,1389.0,1389.0,0.0,1389.0,1389.0,1389.0,1389.0,1,,Surface,1.0,,Image 1,,20.0,
EMS,Intensity Max,891.0,891.0,891.0,0.0,891.0,891.0,891.0,891.0,1,,Surface,1.0,,Image 1,,21.0,
