
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,61.774,61.774,61.774,0.000,61.774,61.774,61.774,61.774,1,µm^2,Surface,,,,,22,
Area,89.946,89.946,89.946,0.000,89.946,89.946,89.946,89.946,1,µm^2,Surface,,,,,23,
Area,109.784,109.784,109.784,0.000,109.784,109.784,109.784,109.784,1,µm^2,Surface,,,,,24,
Area,113.566,113.566,113.566,0.000,113.566,113.566,113.566,113.566,1,µm^2,Surface,,,,,25,
Area,111.176,111.176,111.176,0.000,111.176,111.176,111.176,111.176,1,µm^2,Surface,,,,,26,
Area,102.295,102.295,102.295,0.000,102.295,102.295,102.295,102.295,1,µm^2,Surface,,,,,27,
Area,100.080,100.080,100.080,0.000,100.080,100.080,100.080,100.080,1,µm^2,Surface,,,,,28,
Area,80.369,80.369,80.369,0.000,80.369,80.369,80.369,80.369,1,µm^2,Surface,,,,,29,
Area,45.103,45.103,45.103,0.000,45.103,45.103,45.103,45.103,1,µm^2,Surface,,,,,30,
Class Duration,59.995,59.995,59.995,0.000,59.995,59.995,59.995,59.995,1,s,Surface,,Set 1::Class A,,,22,
Class Duration,59.995,59.995,59.995,0.000,59.995,59.995,59.995,59.995,1,s,Surface,,Set 1::Class A,,,23,
Class Duration,60.000,60.000,60.000,0.000,60.000,60.000,60.000,60.000,1,s,Surface,,Set 1::Class B,,,24,
Class Duration,60.000,60.000,60.000,0.000,60.000,60.000,60.000,60.000,1,s,Surface,,Set 1::Class B,,,25,
Class Duration,119.960,119.960,119.960,0.000,119.960,119.960,119.960,119.960,1,s,Surface,,Set 1::Class A,,,26,
Class Duration,119.960,119.960,119.960,0.000,119.960,119.960,119.960,119.960,1,s,Surface,,Set 1::Class A,,,27,
Class Duration,119.960,119.960,119.960,0.000,119.960,119.960,119.960,119.960,1,s,Surface,,Set 1::Class A,,,28,
Class Duration,59.970,59.970,59.970,0.000,59.970,59.970,59.970,59.970,1,s,Surface,,Set 1::Class B,,,29,
Class Duration,59.970,59.970,59.970,0.000,59.970,59.970,59.970,59.970,1,s,Surface,,Set 1::Class B,,,30,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,22,
Displacement Delta Length,1.122,1.122,1.122,0.000,1.122,1.122,1.122,1.122,1,µm,Surface,,,,,23,
Displacement Delta Length,3.268,3.268,3.268,0.000,3.268,3.268,3.268,3.268,1,µm,Surface,,,,,24,
Displacement Delta Length,1.580,1.580,1.580,0.000,1.580,1.580,1.580,1.580,1,µm,Surface,,,,,25,
Displacement Delta Length,0.358,0.358,0.358,0.000,0.358,0.358,0.358,0.358,1,µm,Surface,,,,,26,
Displacement Delta Length,1.322,1.322,1.322,0.000,1.322,1.322,1.322,1.322,1,µm,Surface,,,,,27,
Displacement Delta Length,0.437,0.437,0.437,0.000,0.437,0.437,0.437,0.437,1,µm,Surface,,,,,28,
Displacement Delta Length,1.606,1.606,1.606,0.000,1.606,1.606,1.606,1.606,1,µm,Surface,,,,,29,
