
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,40.358,40.358,40.358,0.000,40.358,40.358,40.358,40.358,1,µm^2,Surface,,,,,21,
Area,72.179,83.136,77.657,5.478,77.657,74.916,80.396,155.315,2,µm^2,Surface,,,,,22,
Area,96.151,107.964,102.057,5.906,102.057,99.105,105.012,204.115,2,µm^2,Surface,,,,,23,
Area,118.632,130.909,124.771,6.139,124.771,121.699,127.840,249.542,2,µm^2,Surface,,,,,24,
Area,133.162,145.889,139.525,6.363,139.525,136.342,142.705,279.051,2,µm^2,Surface,,,,,25,
Area,143.446,155.347,149.396,5.951,149.396,146.424,152.373,298.793,2,µm^2,Surface,,,,,26,
Area,142.649,157.482,150.066,7.417,150.066,146.359,153.773,300.132,2,µm^2,Surface,,,,,27,
Area,152.745,165.388,159.067,6.322,159.067,155.906,162.227,318.134,2,µm^2,Surface,,,,,28,
Area,151.831,166.156,158.993,7.163,158.993,155.412,162.572,317.986,2,µm^2,Surface,,,,,29,
Area,156.191,171.679,163.935,7.744,163.935,160.062,167.805,327.871,2,µm^2,Surface,,,,,30,
Area,156.960,175.310,166.135,9.175,166.135,161.547,170.719,332.271,2,µm^2,Surface,,,,,31,
Area,161.434,180.003,170.718,9.284,170.718,166.074,175.363,341.436,2,µm^2,Surface,,,,,32,
Area,167.501,186.582,177.042,9.540,177.042,172.277,181.816,354.083,2,µm^2,Surface,,,,,33,
Area,168.204,187.736,177.970,9.766,177.970,173.094,182.859,355.940,2,µm^2,Surface,,,,,34,
Area,158.756,175.282,167.019,8.263,167.019,162.891,171.156,334.039,2,µm^2,Surface,,,,,35,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,21,
Displacement Delta Length,0.000,0.997,0.498,0.498,0.498,0.250,0.748,0.997,2,µm,Surface,,,,,22,
Displacement Delta Length,0.859,0.862,0.860,0.001,0.860,0.860,0.861,1.720,2,µm,Surface,,,,,23,
Displacement Delta Length,1.747,1.749,1.748,0.001,1.748,1.748,1.749,3.496,2,µm,Surface,,,,,24,
Displacement Delta Length,1.621,1.621,1.621,0.000,1.621,1.621,1.621,3.242,2,µm,Surface,,,,,25,
Displacement Delta Length,1.454,1.460,1.457,0.003,1.457,1.456,1.459,2.915,2,µm,Surface,,,,,26,
Displacement Delta Length,0.842,0.856,0.849,0.007,0.849,0.846,0.852,1.698,2,µm,Surface,,,,,27,
Displacement Delta Length,0.365,0.366,0.365,0.000,0.365,0.365,0.366,0.731,2,µm,Surface,,,,,28,
Displacement Delta Length,1.131,1.143,1.137,0.006,1.137,1.134,1.140,2.274,2,µm,Surface,,,,,29,
Displacement Delta Length,1.460,1.467,1.464,0.003,1.464,1.462,1.465,2.927,2,µm,Surface,,,,,30,
Displacement Delta Length,1.003,1.032,1.018,0.015,1.018,1.010,1.025,2.035,2,µm,Surface,,,,,31,
Displacement Delta Length,0.705,0.710,0.707,0.003,0.707,0.706,0.709,1.415,2,µm,Surface,,,,,32,
Displacement Delta Length,0.439,0.441,0.440,0.001,0.440,0.439,0.440,0.880,2,µm,Surface,,,,,33,
Displacement Delta Length,0.277,0.287,0.282,0.005,0.282,0.280,0.284,0.564,2,µm,Surface,,,,,34,
Displacement Delta Length,0.948,1.002,0.975,0.027,0.975,0.961,0.988,1.950,2,µm,Surface,,,,,35,
