
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,68.954,68.954,68.954,0.000,68.954,68.954,68.954,68.954,1,µm^2,Surface,,,,,22,
Area,95.695,95.695,95.695,0.000,95.695,95.695,95.695,95.695,1,µm^2,Surface,,,,,23,
Area,83.576,83.576,83.576,0.000,83.576,83.576,83.576,83.576,1,µm^2,Surface,,,,,24,
Area,67.829,67.829,67.829,0.000,67.829,67.829,67.829,67.829,1,µm^2,Surface,,,,,25,
Area,71.594,71.594,71.594,0.000,71.594,71.594,71.594,71.594,1,µm^2,Surface,,,,,26,
Area,101.253,101.253,101.253,0.000,101.253,101.253,101.253,101.253,1,µm^2,Surface,,,,,27,
Area,113.915,113.915,113.915,0.000,113.915,113.915,113.915,113.915,1,µm^2,Surface,,,,,28,
Area,105.573,105.573,105.573,0.000,105.573,105.573,105.573,105.573,1,µm^2,Surface,,,,,29,
Area,113.313,113.313,113.313,0.000,113.313,113.313,113.313,113.313,1,µm^2,Surface,,,,,30,
Area,106.075,106.075,106.075,0.000,106.075,106.075,106.075,106.075,1,µm^2,Surface,,,,,31,
Area,91.470,91.470,91.470,0.000,91.470,91.470,91.470,91.470,1,µm^2,Surface,,,,,32,
Area,94.867,94.867,94.867,0.000,94.867,94.867,94.867,94.867,1,µm^2,Surface,,,,,33,
Area,71.471,71.471,71.471,0.000,71.471,71.471,71.471,71.471,1,µm^2,Surface,,,,,34,
Area,30.787,30.787,30.787,0.000,30.787,30.787,30.787,30.787,1,µm^2,Surface,,,,,35,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,22,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,23,
