
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,27.830,27.830,27.830,0.000,27.830,27.830,27.830,27.830,1,µm^2,Surface,,,,29,
Area,55.409,55.409,55.409,0.000,55.409,55.409,55.409,55.409,1,µm^2,Surface,,,,30,
Area,66.922,66.922,66.922,0.000,66.922,66.922,66.922,66.922,1,µm^2,Surface,,,,31,
Area,76.020,76.020,76.020,0.000,76.020,76.020,76.020,76.020,1,µm^2,Surface,,,,32,
Area,86.144,86.144,86.144,0.000,86.144,86.144,86.144,86.144,1,µm^2,Surface,,,,33,
Area,86.494,86.494,86.494,0.000,86.494,86.494,86.494,86.494,1,µm^2,Surface,,,,34,
Area,89.891,89.891,89.891,0.000,89.891,89.891,89.891,89.891,1,µm^2,Surface,,,,35,
Area,83.004,83.004,83.004,0.000,83.004,83.004,83.004,83.004,1,µm^2,Surface,,,,36,
Area,82.713,82.713,82.713,0.000,82.713,82.713,82.713,82.713,1,µm^2,Surface,,,,37,
Area,66.537,66.537,66.537,0.000,66.537,66.537,66.537,66.537,1,µm^2,Surface,,,,38,
Area,60.843,60.843,60.843,0.000,60.843,60.843,60.843,60.843,1,µm^2,Surface,,,,39,
Area,65.292,65.292,65.292,0.000,65.292,65.292,65.292,65.292,1,µm^2,Surface,,,,40,
Area,55.752,55.752,55.752,0.000,55.752,55.752,55.752,55.752,1,µm^2,Surface,,,,41,
Area,55.686,55.686,55.686,0.000,55.686,55.686,55.686,55.686,1,µm^2,Surface,,,,42,
Area,64.269,64.269,64.269,0.000,64.269,64.269,64.269,64.269,1,µm^2,Surface,,,,43,
Area,75.835,75.835,75.835,0.000,75.835,75.835,75.835,75.835,1,µm^2,Surface,,,,44,
Area,84.940,84.940,84.940,0.000,84.940,84.940,84.940,84.940,1,µm^2,Surface,,,,45,
Area,90.683,90.683,90.683,0.000,90.683,90.683,90.683,90.683,1,µm^2,Surface,,,,46,
Area,92.887,92.887,92.887,0.000,92.887,92.887,92.887,92.887,1,µm^2,Surface,,,,47,
Area,102.829,102.829,102.829,0.000,102.829,102.829,102.829,102.829,1,µm^2,Surface,,,,48,
Area,105.084,105.084,105.084,0.000,105.084,105.084,105.084,105.084,1,µm^2,Surface,,,,49,
Area,110.331,110.331,110.331,0.000,110.331,110.331,110.331,110.331,1,µm^2,Surface,,,,50,
Area,114.424,114.424,114.424,0.000,114.424,114.424,114.424,114.424,1,µm^2,Surface,,,,51,
Area,112.240,112.240,112.240,0.000,112.240,112.240,112.240,112.240,1,µm^2,Surface,,,,52,
Area,108.268,108.268,108.268,0.000,108.268,108.268,108.268,108.268,1,µm^2,Surface,,,,53,
Area,112.452,112.452,112.452,0.000,112.452,112.452,112.452,112.452,1,µm^2,Surface,,,,54,
Area,115.924,115.924,115.924,0.000,115.924,115.924,115.924,115.924,1,µm^2,Surface,,,,55,
Area,119.986,119.986,119.986,0.000,119.986,119.986,119.986,119.986,1,µm^2,Surface,,,,56,
Area,82.336,82.336,82.336,0.000,82.336,82.336,82.336,82.336,1,µm^2,Surface,,,,57,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,29,
Displacement Delta Length,1.054,1.054,1.054,0.000,1.054,1.054,1.054,1.054,1,µm,Surface,,,,30,
Displacement Delta Length,0.760,0.760,0.760,0.000,0.760,0.760,0.760,0.760,1,µm,Surface,,,,31,
Displacement Delta Length,1.882,1.882,1.882,0.000,1.882,1.882,1.882,1.882,1,µm,Surface,,,,32,
Displacement Delta Length,0.854,0.854,0.854,0.000,0.854,0.854,0.854,0.854,1,µm,Surface,,,,33,
