
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,55.511,55.511,55.511,0.000,55.511,55.511,55.511,55.511,1,µm^2,Surface,,,,,10,
Area,85.505,85.505,85.505,0.000,85.505,85.505,85.505,85.505,1,µm^2,Surface,,,,,11,
Area,98.964,98.964,98.964,0.000,98.964,98.964,98.964,98.964,1,µm^2,Surface,,,,,12,
Area,117.142,117.142,117.142,0.000,117.142,117.142,117.142,117.142,1,µm^2,Surface,,,,,13,
Area,115.092,115.092,115.092,0.000,115.092,115.092,115.092,115.092,1,µm^2,Surface,,,,,14,
Area,125.065,125.065,125.065,0.000,125.065,125.065,125.065,125.065,1,µm^2,Surface,,,,,15,
Area,135.587,135.587,135.587,0.000,135.587,135.587,135.587,135.587,1,µm^2,Surface,,,,,16,
Area,148.932,148.932,148.932,0.000,148.932,148.932,148.932,148.932,1,µm^2,Surface,,,,,17,
Area,154.578,154.578,154.578,0.000,154.578,154.578,154.578,154.578,1,µm^2,Surface,,,,,18,
Area,159.220,159.220,159.220,0.000,159.220,159.220,159.220,159.220,1,µm^2,Surface,,,,,19,
Area,175.593,175.593,175.593,0.000,175.593,175.593,175.593,175.593,1,µm^2,Surface,,,,,20,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,10,
Displacement Delta Length,1.526,1.526,1.526,0.000,1.526,1.526,1.526,1.526,1,µm,Surface,,,,,11,
Displacement Delta Length,2.124,2.124,2.124,0.000,2.124,2.124,2.124,2.124,1,µm,Surface,,,,,12,
Displacement Delta Length,1.935,1.935,1.935,0.000,1.935,1.935,1.935,1.935,1,µm,Surface,,,,,13,
Displacement Delta Length,1.532,1.532,1.532,0.000,1.532,1.532,1.532,1.532,1,µm,Surface,,,,,14,
Displacement Delta Length,1.789,1.789,1.789,0.000,1.789,1.789,1.789,1.789,1,µm,Surface,,,,,15,
Displacement Delta Length,1.705,1.705,1.705,0.000,1.705,1.705,1.705,1.705,1,µm,Surface,,,,,16,
Displacement Delta Length,1.879,1.879,1.879,0.000,1.879,1.879,1.879,1.879,1,µm,Surface,,,,,17,
Displacement Delta Length,0.990,0.990,0.990,0.000,0.990,0.990,0.990,0.990,1,µm,Surface,,,,,18,
Displacement Delta Length,0.771,0.771,0.771,0.000,0.771,0.771,0.771,0.771,1,µm,Surface,,,,,19,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta X,0.843,0.843,0.843,0.000,0.843,0.843,0.843,0.843,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta X,0.007,0.007,0.007,0.000,0.007,0.007,0.007,0.007,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta X,0.447,0.447,0.447,0.000,0.447,0.447,0.447,0.447,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,0.146,0.146,0.146,0.000,0.146,0.146,0.146,0.146,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,-1.757,-1.757,-1.757,0.000,-1.757,-1.757,-1.757,-1.757,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,-1.693,-1.693,-1.693,0.000,-1.693,-1.693,-1.693,-1.693,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,-0.293,-0.293,-0.293,0.000,-0.293,-0.293,-0.293,-0.293,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,-0.192,-0.192,-0.192,0.000,-0.192,-0.192,-0.192,-0.192,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,0.484,0.484,0.484,0.000,0.484,0.484,0.484,0.484,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta Y,-1.188,-1.188,-1.188,0.000,-1.188,-1.188,-1.188,-1.188,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Y,-1.873,-1.873,-1.873,0.000,-1.873,-1.873,-1.873,-1.873,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Y,-1.867,-1.867,-1.867,0.000,-1.867,-1.867,-1.867,-1.867,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Y,-0.934,-0.934,-0.934,0.000,-0.934,-0.934,-0.934,-0.934,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Y,0.141,0.141,0.141,0.000,0.141,0.141,0.141,0.141,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Y,-0.199,-0.199,-0.199,0.000,-0.199,-0.199,-0.199,-0.199,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,-1.435,-1.435,-1.435,0.000,-1.435,-1.435,-1.435,-1.435,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,0.126,0.126,0.126,0.000,0.126,0.126,0.126,0.126,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,0.083,0.083,0.083,0.000,0.083,0.083,0.083,0.083,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta Z,0.453,0.453,0.453,0.000,0.453,0.453,0.453,0.453,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta Z,1.001,1.001,1.001,0.000,1.001,1.001,1.001,1.001,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta Z,-0.244,-0.244,-0.244,0.000,-0.244,-0.244,-0.244,-0.244,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta Z,1.206,1.206,1.206,0.000,1.206,1.206,1.206,1.206,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Z,-0.309,-0.309,-0.309,0.000,-0.309,-0.309,-0.309,-0.309,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Z,-1.177,-1.177,-1.177,0.000,-1.177,-1.177,-1.177,-1.177,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Z,-0.963,-0.963,-0.963,0.000,-0.963,-0.963,-0.963,-0.963,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Z,0.594,0.594,0.594,0.000,0.594,0.594,0.594,0.594,1,µm,Surface,,Displacement Delta,,,19,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,10,
Displacement Length,1.526,1.526,1.526,0.000,1.526,1.526,1.526,1.526,1,µm,Surface,,,,,11,
Displacement Length,3.494,3.494,3.494,0.000,3.494,3.494,3.494,3.494,1,µm,Surface,,,,,12,
Displacement Length,5.238,5.238,5.238,0.000,5.238,5.238,5.238,5.238,1,µm,Surface,,,,,13,
Displacement Length,6.503,6.503,6.503,0.000,6.503,6.503,6.503,6.503,1,µm,Surface,,,,,14,
Displacement Length,6.106,6.106,6.106,0.000,6.106,6.106,6.106,6.106,1,µm,Surface,,,,,15,
Displacement Length,6.598,6.598,6.598,0.000,6.598,6.598,6.598,6.598,1,µm,Surface,,,,,16,
Displacement Length,7.763,7.763,7.763,0.000,7.763,7.763,7.763,7.763,1,µm,Surface,,,,,17,
Displacement Length,7.648,7.648,7.648,0.000,7.648,7.648,7.648,7.648,1,µm,Surface,,,,,18,
Displacement Length,7.446,7.446,7.446,0.000,7.446,7.446,7.446,7.446,1,µm,Surface,,,,,19,
Distance from Origin,15668.054,15668.054,15668.054,0.000,15668.054,15668.054,15668.054,15668.054,1,µm,Surface,,Distance from Origin,,,10,
Distance from Origin,15667.702,15667.702,15667.702,0.000,15667.702,15667.702,15667.702,15667.702,1,µm,Surface,,Distance from Origin,,,11,
Distance from Origin,15668.396,15668.396,15668.396,0.000,15668.396,15668.396,15668.396,15668.396,1,µm,Surface,,Distance from Origin,,,12,
Distance from Origin,15668.028,15668.028,15668.028,0.000,15668.028,15668.028,15668.028,15668.028,1,µm,Surface,,Distance from Origin,,,13,
Distance from Origin,15668.656,15668.656,15668.656,0.000,15668.656,15668.656,15668.656,15668.656,1,µm,Surface,,Distance from Origin,,,14,
Distance from Origin,15669.918,15669.918,15669.918,0.000,15669.918,15669.918,15669.918,15669.918,1,µm,Surface,,Distance from Origin,,,15,
Distance from Origin,15671.327,15671.327,15671.327,0.000,15671.327,15671.327,15671.327,15671.327,1,µm,Surface,,Distance from Origin,,,16,
Distance from Origin,15671.013,15671.013,15671.013,0.000,15671.013,15671.013,15671.013,15671.013,1,µm,Surface,,Distance from Origin,,,17,
Distance from Origin,15670.621,15670.621,15670.621,0.000,15670.621,15670.621,15670.621,15670.621,1,µm,Surface,,Distance from Origin,,,18,
Distance from Origin,15670.549,15670.549,15670.549,0.000,15670.549,15670.549,15670.549,15670.549,1,µm,Surface,,Distance from Origin,,,19,
Distance from Origin,15670.779,15670.779,15670.779,0.000,15670.779,15670.779,15670.779,15670.779,1,µm,Surface,,Distance from Origin,,,20,
Distance to Image Border XY,16.191,16.191,16.191,0.000,16.191,16.191,16.191,16.191,1,µm,Surface,,,Image 1,,10,
