
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,146.485,146.485,146.485,0.000,146.485,146.485,146.485,146.485,1,µm^2,Surface,,,,22,
Area,153.290,153.290,153.290,0.000,153.290,153.290,153.290,153.290,1,µm^2,Surface,,,,23,
Area,126.502,126.502,126.502,0.000,126.502,126.502,126.502,126.502,1,µm^2,Surface,,,,24,
Area,57.613,57.613,57.613,0.000,57.613,57.613,57.613,57.613,1,µm^2,Surface,,,,25,
Area,37.070,37.070,37.070,0.000,37.070,37.070,37.070,37.070,1,µm^2,Surface,,,,29,
Area,54.826,54.826,54.826,0.000,54.826,54.826,54.826,54.826,1,µm^2,Surface,,,,30,
Area,62.923,62.923,62.923,0.000,62.923,62.923,62.923,62.923,1,µm^2,Surface,,,,31,
Area,61.144,61.144,61.144,0.000,61.144,61.144,61.144,61.144,1,µm^2,Surface,,,,32,
Area,61.675,61.675,61.675,0.000,61.675,61.675,61.675,61.675,1,µm^2,Surface,,,,33,
Area,58.633,58.633,58.633,0.000,58.633,58.633,58.633,58.633,1,µm^2,Surface,,,,34,
Area,63.250,63.250,63.250,0.000,63.250,63.250,63.250,63.250,1,µm^2,Surface,,,,35,
Area,63.681,63.681,63.681,0.000,63.681,63.681,63.681,63.681,1,µm^2,Surface,,,,36,
Area,64.775,64.775,64.775,0.000,64.775,64.775,64.775,64.775,1,µm^2,Surface,,,,37,
Area,65.977,65.977,65.977,0.000,65.977,65.977,65.977,65.977,1,µm^2,Surface,,,,38,
Area,66.868,66.868,66.868,0.000,66.868,66.868,66.868,66.868,1,µm^2,Surface,,,,39,
Area,53.838,53.838,53.838,0.000,53.838,53.838,53.838,53.838,1,µm^2,Surface,,,,40,
Area,48.344,48.344,48.344,0.000,48.344,48.344,48.344,48.344,1,µm^2,Surface,,,,41,
Area,44.404,44.404,44.404,0.000,44.404,44.404,44.404,44.404,1,µm^2,Surface,,,,42,
Area,36.876,36.876,36.876,0.000,36.876,36.876,36.876,36.876,1,µm^2,Surface,,,,43,
Area,53.273,53.273,53.273,0.000,53.273,53.273,53.273,53.273,1,µm^2,Surface,,,,44,
Area,61.598,61.598,61.598,0.000,61.598,61.598,61.598,61.598,1,µm^2,Surface,,,,45,
Area,68.673,68.673,68.673,0.000,68.673,68.673,68.673,68.673,1,µm^2,Surface,,,,46,
Area,71.500,71.500,71.500,0.000,71.500,71.500,71.500,71.500,1,µm^2,Surface,,,,47,
Area,71.188,71.188,71.188,0.000,71.188,71.188,71.188,71.188,1,µm^2,Surface,,,,48,
Area,70.359,70.359,70.359,0.000,70.359,70.359,70.359,70.359,1,µm^2,Surface,,,,49,
Area,70.578,70.578,70.578,0.000,70.578,70.578,70.578,70.578,1,µm^2,Surface,,,,50,
Area,75.741,75.741,75.741,0.000,75.741,75.741,75.741,75.741,1,µm^2,Surface,,,,51,
Area,70.179,70.179,70.179,0.000,70.179,70.179,70.179,70.179,1,µm^2,Surface,,,,52,
Area,60.980,60.980,60.980,0.000,60.980,60.980,60.980,60.980,1,µm^2,Surface,,,,53,
Area,58.502,58.502,58.502,0.000,58.502,58.502,58.502,58.502,1,µm^2,Surface,,,,54,
Area,45.774,45.774,45.774,0.000,45.774,45.774,45.774,45.774,1,µm^2,Surface,,,,55,
Area,38.587,38.587,38.587,0.000,38.587,38.587,38.587,38.587,1,µm^2,Surface,,,,56,
Area,31.350,31.350,31.350,0.000,31.350,31.350,31.350,31.350,1,µm^2,Surface,,,,57,
Area,32.771,32.771,32.771,0.000,32.771,32.771,32.771,32.771,1,µm^2,Surface,,,,58,
Area,34.407,34.407,34.407,0.000,34.407,34.407,34.407,34.407,1,µm^2,Surface,,,,59,
Area,34.766,34.766,34.766,0.000,34.766,34.766,34.766,34.766,1,µm^2,Surface,,,,60,
Area,32.180,32.180,32.180,0.000,32.180,32.180,32.180,32.180,1,µm^2,Surface,,,,61,
Area,25.857,25.857,25.857,0.000,25.857,25.857,25.857,25.857,1,µm^2,Surface,,,,62,
Area,28.721,28.721,28.721,0.000,28.721,28.721,28.721,28.721,1,µm^2,Surface,,,,63,
Area,33.293,33.293,33.293,0.000,33.293,33.293,33.293,33.293,1,µm^2,Surface,,,,64,
Area,25.511,25.511,25.511,0.000,25.511,25.511,25.511,25.511,1,µm^2,Surface,,,,65,
Area,28.611,28.611,28.611,0.000,28.611,28.611,28.611,28.611,1,µm^2,Surface,,,,66,
Area,26.534,26.534,26.534,0.000,26.534,26.534,26.534,26.534,1,µm^2,Surface,,,,67,
Area,22.008,22.008,22.008,0.000,22.008,22.008,22.008,22.008,1,µm^2,Surface,,,,68,
Area,32.646,32.646,32.646,0.000,32.646,32.646,32.646,32.646,1,µm^2,Surface,,,,69,
Area,29.261,29.261,29.261,0.000,29.261,29.261,29.261,29.261,1,µm^2,Surface,,,,70,
Area,30.249,30.249,30.249,0.000,30.249,30.249,30.249,30.249,1,µm^2,Surface,,,,71,
Area,26.093,26.093,26.093,0.000,26.093,26.093,26.093,26.093,1,µm^2,Surface,,,,72,
Area,27.206,27.206,27.206,0.000,27.206,27.206,27.206,27.206,1,µm^2,Surface,,,,73,
Area,22.690,22.690,22.690,0.000,22.690,22.690,22.690,22.690,1,µm^2,Surface,,,,74,
Area,19.689,19.689,19.689,0.000,19.689,19.689,19.689,19.689,1,µm^2,Surface,,,,75,
Area,21.686,21.686,21.686,0.000,21.686,21.686,21.686,21.686,1,µm^2,Surface,,,,76,
Area,20.401,20.401,20.401,0.000,20.401,20.401,20.401,20.401,1,µm^2,Surface,,,,77,
