
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,86.330,86.330,86.330,0.000,86.330,86.330,86.330,86.330,1,µm^2,Surface,,,,,1,
Area,134.142,134.142,134.142,0.000,134.142,134.142,134.142,134.142,1,µm^2,Surface,,,,,2,
Area,185.395,185.395,185.395,0.000,185.395,185.395,185.395,185.395,1,µm^2,Surface,,,,,3,
Area,235.572,235.572,235.572,0.000,235.572,235.572,235.572,235.572,1,µm^2,Surface,,,,,4,
Area,270.587,270.587,270.587,0.000,270.587,270.587,270.587,270.587,1,µm^2,Surface,,,,,5,
Area,246.493,246.493,246.493,0.000,246.493,246.493,246.493,246.493,1,µm^2,Surface,,,,,6,
Area,248.122,248.122,248.122,0.000,248.122,248.122,248.122,248.122,1,µm^2,Surface,,,,,7,
Area,261.514,261.514,261.514,0.000,261.514,261.514,261.514,261.514,1,µm^2,Surface,,,,,8,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Delta Length,2.989,2.989,2.989,0.000,2.989,2.989,2.989,2.989,1,µm,Surface,,,,,2,
Displacement Delta Length,3.184,3.184,3.184,0.000,3.184,3.184,3.184,3.184,1,µm,Surface,,,,,3,
Displacement Delta Length,2.311,2.311,2.311,0.000,2.311,2.311,2.311,2.311,1,µm,Surface,,,,,4,
Displacement Delta Length,3.966,3.966,3.966,0.000,3.966,3.966,3.966,3.966,1,µm,Surface,,,,,5,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,6,
Displacement Delta Length,1.498,1.498,1.498,0.000,1.498,1.498,1.498,1.498,1,µm,Surface,,,,,7,
Displacement Delta Length,1.116,1.116,1.116,0.000,1.116,1.116,1.116,1.116,1,µm,Surface,,,,,8,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta X,1.532,1.532,1.532,0.000,1.532,1.532,1.532,1.532,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta X,-0.054,-0.054,-0.054,0.000,-0.054,-0.054,-0.054,-0.054,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta X,-1.047,-1.047,-1.047,0.000,-1.047,-1.047,-1.047,-1.047,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta X,-3.211,-3.211,-3.211,0.000,-3.211,-3.211,-3.211,-3.211,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta X,-1.460,-1.460,-1.460,0.000,-1.460,-1.460,-1.460,-1.460,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta X,0.986,0.986,0.986,0.000,0.986,0.986,0.986,0.986,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Y,2.420,2.420,2.420,0.000,2.420,2.420,2.420,2.420,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Y,0.632,0.632,0.632,0.000,0.632,0.632,0.632,0.632,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Y,0.971,0.971,0.971,0.000,0.971,0.971,0.971,0.971,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta Y,2.324,2.324,2.324,0.000,2.324,2.324,2.324,2.324,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta Y,0.153,0.153,0.153,0.000,0.153,0.153,0.153,0.153,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta Y,-0.515,-0.515,-0.515,0.000,-0.515,-0.515,-0.515,-0.515,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Z,-0.852,-0.852,-0.852,0.000,-0.852,-0.852,-0.852,-0.852,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Z,-3.120,-3.120,-3.120,0.000,-3.120,-3.120,-3.120,-3.120,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Z,-1.816,-1.816,-1.816,0.000,-1.816,-1.816,-1.816,-1.816,1,µm,Surface,,Displacement Delta,,,4,
Displacement Delta Z,-0.116,-0.116,-0.116,0.000,-0.116,-0.116,-0.116,-0.116,1,µm,Surface,,Displacement Delta,,,5,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,6,
Displacement Delta Z,0.299,0.299,0.299,0.000,0.299,0.299,0.299,0.299,1,µm,Surface,,Displacement Delta,,,7,
Displacement Delta Z,-0.089,-0.089,-0.089,0.000,-0.089,-0.089,-0.089,-0.089,1,µm,Surface,,Displacement Delta,,,8,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Length,2.989,2.989,2.989,0.000,2.989,2.989,2.989,2.989,1,µm,Surface,,,,,2,
Displacement Length,5.223,5.223,5.223,0.000,5.223,5.223,5.223,5.223,1,µm,Surface,,,,,3,
Displacement Length,7.062,7.062,7.062,0.000,7.062,7.062,7.062,7.062,1,µm,Surface,,,,,4,
Displacement Length,9.104,9.104,9.104,0.000,9.104,9.104,9.104,9.104,1,µm,Surface,,,,,5,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,6,
Displacement Length,1.498,1.498,1.498,0.000,1.498,1.498,1.498,1.498,1,µm,Surface,,,,,7,
Displacement Length,0.632,0.632,0.632,0.000,0.632,0.632,0.632,0.632,1,µm,Surface,,,,,8,
Distance from Origin,12705.721,12705.721,12705.721,0.000,12705.721,12705.721,12705.721,12705.721,1,µm,Surface,,Distance from Origin,,,1,
Distance from Origin,12704.925,12704.925,12704.925,0.000,12704.925,12704.925,12704.925,12704.925,1,µm,Surface,,Distance from Origin,,,2,
Distance from Origin,12703.003,12703.003,12703.003,0.000,12703.003,12703.003,12703.003,12703.003,1,µm,Surface,,Distance from Origin,,,3,
Distance from Origin,12702.733,12702.733,12702.733,0.000,12702.733,12702.733,12702.733,12702.733,1,µm,Surface,,Distance from Origin,,,4,
Distance from Origin,12705.475,12705.475,12705.475,0.000,12705.475,12705.475,12705.475,12705.475,1,µm,Surface,,Distance from Origin,,,5,
Distance from Origin,12706.961,12706.961,12706.961,0.000,12706.961,12706.961,12706.961,12706.961,1,µm,Surface,,Distance from Origin,,,6,
Distance from Origin,12708.158,12708.158,12708.158,0.000,12708.158,12708.158,12708.158,12708.158,1,µm,Surface,,Distance from Origin,,,7,
Distance from Origin,12707.294,12707.294,12707.294,0.000,12707.294,12707.294,12707.294,12707.294,1,µm,Surface,,Distance from Origin,,,8,
Distance to Image Border XY,20.917,20.917,20.917,0.000,20.917,20.917,20.917,20.917,1,µm,Surface,,,Image 1,,1,
Distance to Image Border XY,18.870,18.870,18.870,0.000,18.870,18.870,18.870,18.870,1,µm,Surface,,,Image 1,,2,
Distance to Image Border XY,18.089,18.089,18.089,0.000,18.089,18.089,18.089,18.089,1,µm,Surface,,,Image 1,,3,
Distance to Image Border XY,18.719,18.719,18.719,0.000,18.719,18.719,18.719,18.719,1,µm,Surface,,,Image 1,,4,
Distance to Image Border XY,16.050,16.050,16.050,0.000,16.050,16.050,16.050,16.050,1,µm,Surface,,,Image 1,,5,
Distance to Image Border XY,18.055,18.055,18.055,0.000,18.055,18.055,18.055,18.055,1,µm,Surface,,,Image 1,,6,
Distance to Image Border XY,17.322,17.322,17.322,0.000,17.322,17.322,17.322,17.322,1,µm,Surface,,,Image 1,,7,
Distance to Image Border XY,18.100,18.100,18.100,0.000,18.100,18.100,18.100,18.100,1,µm,Surface,,,Image 1,,8,
Ellipticity (oblate),0.342,0.342,0.342,0.000,0.342,0.342,0.342,0.342,1,,Surface,,,,,1,
Ellipticity (oblate),0.217,0.217,0.217,0.000,0.217,0.217,0.217,0.217,1,,Surface,,,,,2,
Ellipticity (oblate),0.277,0.277,0.277,0.000,0.277,0.277,0.277,0.277,1,,Surface,,,,,3,
Ellipticity (oblate),0.311,0.311,0.311,0.000,0.311,0.311,0.311,0.311,1,,Surface,,,,,4,
Ellipticity (oblate),0.295,0.295,0.295,0.000,0.295,0.295,0.295,0.295,1,,Surface,,,,,5,
Ellipticity (oblate),0.183,0.183,0.183,0.000,0.183,0.183,0.183,0.183,1,,Surface,,,,,6,
Ellipticity (oblate),0.259,0.259,0.259,0.000,0.259,0.259,0.259,0.259,1,,Surface,,,,,7,
Ellipticity (oblate),0.182,0.182,0.182,0.000,0.182,0.182,0.182,0.182,1,,Surface,,,,,8,
Ellipticity (prolate),0.193,0.193,0.193,0.000,0.193,0.193,0.193,0.193,1,,Surface,,,,,1,
Ellipticity (prolate),0.154,0.154,0.154,0.000,0.154,0.154,0.154,0.154,1,,Surface,,,,,2,
Ellipticity (prolate),0.129,0.129,0.129,0.000,0.129,0.129,0.129,0.129,1,,Surface,,,,,3,
Ellipticity (prolate),0.209,0.209,0.209,0.000,0.209,0.209,0.209,0.209,1,,Surface,,,,,4,
Ellipticity (prolate),0.155,0.155,0.155,0.000,0.155,0.155,0.155,0.155,1,,Surface,,,,,5,
Ellipticity (prolate),0.175,0.175,0.175,0.000,0.175,0.175,0.175,0.175,1,,Surface,,,,,6,
Ellipticity (prolate),0.131,0.131,0.131,0.000,0.131,0.131,0.131,0.131,1,,Surface,,,,,7,
Ellipticity (prolate),0.108,0.108,0.108,0.000,0.108,0.108,0.108,0.108,1,,Surface,,,,,8,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,1,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,2,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,3,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,4,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,5,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,6,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,7,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,8,
Intensity Max,242.000,242.000,242.000,0.000,242.000,242.000,242.000,242.000,1,,Surface,1,,Image 1,,1,
Intensity Max,303.000,303.000,303.000,0.000,303.000,303.000,303.000,303.000,1,,Surface,1,,Image 1,,2,
Intensity Max,377.000,377.000,377.000,0.000,377.000,377.000,377.000,377.000,1,,Surface,1,,Image 1,,3,
Intensity Max,378.000,378.000,378.000,0.000,378.000,378.000,378.000,378.000,1,,Surface,1,,Image 1,,4,
Intensity Max,441.000,441.000,441.000,0.000,441.000,441.000,441.000,441.000,1,,Surface,1,,Image 1,,5,
Intensity Max,278.000,278.000,278.000,0.000,278.000,278.000,278.000,278.000,1,,Surface,1,,Image 1,,6,
Intensity Max,329.000,329.000,329.000,0.000,329.000,329.000,329.000,329.000,1,,Surface,1,,Image 1,,7,
Intensity Max,295.000,295.000,295.000,0.000,295.000,295.000,295.000,295.000,1,,Surface,1,,Image 1,,8,
Intensity Mean,129.123,129.123,129.123,0.000,129.123,129.123,129.123,129.123,1,,Surface,1,,Image 1,,1,
Intensity Mean,136.291,136.291,136.291,0.000,136.291,136.291,136.291,136.291,1,,Surface,1,,Image 1,,2,
Intensity Mean,148.095,148.095,148.095,0.000,148.095,148.095,148.095,148.095,1,,Surface,1,,Image 1,,3,
Intensity Mean,160.645,160.645,160.645,0.000,160.645,160.645,160.645,160.645,1,,Surface,1,,Image 1,,4,
Intensity Mean,159.844,159.844,159.844,0.000,159.844,159.844,159.844,159.844,1,,Surface,1,,Image 1,,5,
Intensity Mean,132.418,132.418,132.418,0.000,132.418,132.418,132.418,132.418,1,,Surface,1,,Image 1,,6,
Intensity Mean,134.539,134.539,134.539,0.000,134.539,134.539,134.539,134.539,1,,Surface,1,,Image 1,,7,
Intensity Mean,133.238,133.238,133.238,0.000,133.238,133.238,133.238,133.238,1,,Surface,1,,Image 1,,8,
Intensity Median,127.062,127.062,127.062,0.000,127.062,127.062,127.062,127.062,1,,Surface,1,,Image 1,,1,
Intensity Median,133.062,133.062,133.062,0.000,133.062,133.062,133.062,133.062,1,,Surface,1,,Image 1,,2,
Intensity Median,147.125,147.125,147.125,0.000,147.125,147.125,147.125,147.125,1,,Surface,1,,Image 1,,3,
Intensity Median,159.125,159.125,159.125,0.000,159.125,159.125,159.125,159.125,1,,Surface,1,,Image 1,,4,
Intensity Median,158.125,158.125,158.125,0.000,158.125,158.125,158.125,158.125,1,,Surface,1,,Image 1,,5,
Intensity Median,129.062,129.062,129.062,0.000,129.062,129.062,129.062,129.062,1,,Surface,1,,Image 1,,6,
Intensity Median,131.125,131.125,131.125,0.000,131.125,131.125,131.125,131.125,1,,Surface,1,,Image 1,,7,
Intensity Median,130.062,130.062,130.062,0.000,130.062,130.062,130.062,130.062,1,,Surface,1,,Image 1,,8,
Intensity Min,78.000,78.000,78.000,0.000,78.000,78.000,78.000,78.000,1,,Surface,1,,Image 1,,1,
Intensity Min,79.000,79.000,79.000,0.000,79.000,79.000,79.000,79.000,1,,Surface,1,,Image 1,,2,
Intensity Min,75.000,75.000,75.000,0.000,75.000,75.000,75.000,75.000,1,,Surface,1,,Image 1,,3,
Intensity Min,67.000,67.000,67.000,0.000,67.000,67.000,67.000,67.000,1,,Surface,1,,Image 1,,4,
Intensity Min,65.000,65.000,65.000,0.000,65.000,65.000,65.000,65.000,1,,Surface,1,,Image 1,,5,
Intensity Min,66.000,66.000,66.000,0.000,66.000,66.000,66.000,66.000,1,,Surface,1,,Image 1,,6,
Intensity Min,66.000,66.000,66.000,0.000,66.000,66.000,66.000,66.000,1,,Surface,1,,Image 1,,7,
Intensity Min,70.000,70.000,70.000,0.000,70.000,70.000,70.000,70.000,1,,Surface,1,,Image 1,,8,
Intensity StdDev,18.900,18.900,18.900,0.000,18.900,18.900,18.900,18.900,1,,Surface,1,,Image 1,,1,
Intensity StdDev,24.292,24.292,24.292,0.000,24.292,24.292,24.292,24.292,1,,Surface,1,,Image 1,,2,
Intensity StdDev,35.212,35.212,35.212,0.000,35.212,35.212,35.212,35.212,1,,Surface,1,,Image 1,,3,
Intensity StdDev,42.924,42.924,42.924,0.000,42.924,42.924,42.924,42.924,1,,Surface,1,,Image 1,,4,
Intensity StdDev,41.987,41.987,41.987,0.000,41.987,41.987,41.987,41.987,1,,Surface,1,,Image 1,,5,
Intensity StdDev,22.275,22.275,22.275,0.000,22.275,22.275,22.275,22.275,1,,Surface,1,,Image 1,,6,
Intensity StdDev,24.184,24.184,24.184,0.000,24.184,24.184,24.184,24.184,1,,Surface,1,,Image 1,,7,
Intensity StdDev,22.936,22.936,22.936,0.000,22.936,22.936,22.936,22.936,1,,Surface,1,,Image 1,,8,
Intensity Sum,1073787.000,1073787.000,1073787.000,0.000,1073787.000,1073787.000,1073787.000,1073787.000,1,,Surface,1,,Image 1,,1,
Intensity Sum,2249340.000,2249340.000,2249340.000,0.000,2249340.000,2249340.000,2249340.000,2249340.000,1,,Surface,1,,Image 1,,2,
Intensity Sum,3442319.000,3442319.000,3442319.000,0.000,3442319.000,3442319.000,3442319.000,3442319.000,1,,Surface,1,,Image 1,,3,
Intensity Sum,6071750.000,6071750.000,6071750.000,0.000,6071750.000,6071750.000,6071750.000,6071750.000,1,,Surface,1,,Image 1,,4,
Intensity Sum,7336195.000,7336195.000,7336195.000,0.000,7336195.000,7336195.000,7336195.000,7336195.000,1,,Surface,1,,Image 1,,5,
Intensity Sum,4778691.000,4778691.000,4778691.000,0.000,4778691.000,4778691.000,4778691.000,4778691.000,1,,Surface,1,,Image 1,,6,
Intensity Sum,4862776.000,4862776.000,4862776.000,0.000,4862776.000,4862776.000,4862776.000,4862776.000,1,,Surface,1,,Image 1,,7,
Intensity Sum,5340692.000,5340692.000,5340692.000,0.000,5340692.000,5340692.000,5340692.000,5340692.000,1,,Surface,1,,Image 1,,8,
Intensity Sum of Square,141621200.000,141621200.000,141621200.000,0.000,141621200.000,141621200.000,141621200.000,141621200.000,1,,Surface,1,,Image 1,,1,
Intensity Sum of Square,316303168.000,316303168.000,316303168.000,0.000,316303168.000,316303168.000,316303168.000,316303168.000,1,,Surface,1,,Image 1,,2,
Intensity Sum of Square,538609792.000,538609792.000,538609792.000,0.000,538609792.000,538609792.000,538609792.000,538609792.000,1,,Surface,1,,Image 1,,3,
Intensity Sum of Square,1045035008.000,1045035008.000,1045035008.000,0.000,1045035008.000,1045035008.000,1045035008.000,1045035008.000,1,,Surface,1,,Image 1,,4,
Intensity Sum of Square,1253558016.000,1253558016.000,1253558016.000,0.000,1253558016.000,1253558016.000,1253558016.000,1253558016.000,1,,Surface,1,,Image 1,,5,
Intensity Sum of Square,650688640.000,650688640.000,650688640.000,0.000,650688640.000,650688640.000,650688640.000,650688640.000,1,,Surface,1,,Image 1,,6,
Intensity Sum of Square,675371520.000,675371520.000,675371520.000,0.000,675371520.000,675371520.000,675371520.000,675371520.000,1,,Surface,1,,Image 1,,7,
Intensity Sum of Square,732666624.000,732666624.000,732666624.000,0.000,732666624.000,732666624.000,732666624.000,732666624.000,1,,Surface,1,,Image 1,,8,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,,1,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,,2,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,,3,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,,4,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,,5,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,,6,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,,7,
Number of Disconnected Components,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,,8,
Overlapped Volume Ratio to Surfaces,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,Surfaces 1,1,
Overlapped Volume Ratio to Surfaces,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,P1,1,
Overlapped Volume Ratio to Surfaces,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,Surfaces 1,2,
Overlapped Volume Ratio to Surfaces,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,P1,2,
Overlapped Volume Ratio to Surfaces,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,1,,Surface,,,,Surfaces 1,3,
