
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,80.792,80.792,80.792,0.000,80.792,80.792,80.792,80.792,1,µm^2,Surface,,,,,14,
Area,115.726,115.726,115.726,0.000,115.726,115.726,115.726,115.726,1,µm^2,Surface,,,,,15,
Area,139.807,139.807,139.807,0.000,139.807,139.807,139.807,139.807,1,µm^2,Surface,,,,,16,
Area,170.783,170.783,170.783,0.000,170.783,170.783,170.783,170.783,1,µm^2,Surface,,,,,17,
Area,209.055,209.055,209.055,0.000,209.055,209.055,209.055,209.055,1,µm^2,Surface,,,,,18,
Area,182.674,182.674,182.674,0.000,182.674,182.674,182.674,182.674,1,µm^2,Surface,,,,,19,
Area,175.916,175.916,175.916,0.000,175.916,175.916,175.916,175.916,1,µm^2,Surface,,,,,20,
Area,186.969,186.969,186.969,0.000,186.969,186.969,186.969,186.969,1,µm^2,Surface,,,,,21,
Area,194.168,194.168,194.168,0.000,194.168,194.168,194.168,194.168,1,µm^2,Surface,,,,,22,
Area,96.835,96.835,96.835,0.000,96.835,96.835,96.835,96.835,1,µm^2,Surface,,,,,23,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,14,
Displacement Delta Length,3.124,3.124,3.124,0.000,3.124,3.124,3.124,3.124,1,µm,Surface,,,,,15,
Displacement Delta Length,1.228,1.228,1.228,0.000,1.228,1.228,1.228,1.228,1,µm,Surface,,,,,16,
Displacement Delta Length,2.164,2.164,2.164,0.000,2.164,2.164,2.164,2.164,1,µm,Surface,,,,,17,
Displacement Delta Length,2.803,2.803,2.803,0.000,2.803,2.803,2.803,2.803,1,µm,Surface,,,,,18,
Displacement Delta Length,3.483,3.483,3.483,0.000,3.483,3.483,3.483,3.483,1,µm,Surface,,,,,19,
Displacement Delta Length,0.968,0.968,0.968,0.000,0.968,0.968,0.968,0.968,1,µm,Surface,,,,,20,
Displacement Delta Length,0.973,0.973,0.973,0.000,0.973,0.973,0.973,0.973,1,µm,Surface,,,,,21,
Displacement Delta Length,0.975,0.975,0.975,0.000,0.975,0.975,0.975,0.975,1,µm,Surface,,,,,22,
Displacement Delta Length,2.056,2.056,2.056,0.000,2.056,2.056,2.056,2.056,1,µm,Surface,,,,,23,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,-0.114,-0.114,-0.114,0.000,-0.114,-0.114,-0.114,-0.114,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,-0.961,-0.961,-0.961,0.000,-0.961,-0.961,-0.961,-0.961,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,-1.382,-1.382,-1.382,0.000,-1.382,-1.382,-1.382,-1.382,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,-0.812,-0.812,-0.812,0.000,-0.812,-0.812,-0.812,-0.812,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,1.143,1.143,1.143,0.000,1.143,1.143,1.143,1.143,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,0.141,0.141,0.141,0.000,0.141,0.141,0.141,0.141,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta X,-0.310,-0.310,-0.310,0.000,-0.310,-0.310,-0.310,-0.310,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta X,0.466,0.466,0.466,0.000,0.466,0.466,0.466,0.466,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta X,-0.363,-0.363,-0.363,0.000,-0.363,-0.363,-0.363,-0.363,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta Y,3.078,3.078,3.078,0.000,3.078,3.078,3.078,3.078,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta Y,0.700,0.700,0.700,0.000,0.700,0.700,0.700,0.700,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta Y,-0.093,-0.093,-0.093,0.000,-0.093,-0.093,-0.093,-0.093,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta Y,2.020,2.020,2.020,0.000,2.020,2.020,2.020,2.020,1,µm,Surface,,Displacement Delta,,,18,
