
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,23.816,23.816,23.816,0.000,23.816,23.816,23.816,23.816,1,µm^2,Surface,,,,,27,
Area,66.999,66.999,66.999,0.000,66.999,66.999,66.999,66.999,1,µm^2,Surface,,,,,28,
Area,89.636,89.636,89.636,0.000,89.636,89.636,89.636,89.636,1,µm^2,Surface,,,,,29,
Area,109.766,109.766,109.766,0.000,109.766,109.766,109.766,109.766,1,µm^2,Surface,,,,,30,
Area,120.946,120.946,120.946,0.000,120.946,120.946,120.946,120.946,1,µm^2,Surface,,,,,31,
Area,138.803,138.803,138.803,0.000,138.803,138.803,138.803,138.803,1,µm^2,Surface,,,,,32,
Area,144.870,144.870,144.870,0.000,144.870,144.870,144.870,144.870,1,µm^2,Surface,,,,,33,
Area,150.615,150.615,150.615,0.000,150.615,150.615,150.615,150.615,1,µm^2,Surface,,,,,34,
Area,153.129,153.129,153.129,0.000,153.129,153.129,153.129,153.129,1,µm^2,Surface,,,,,35,
Area,162.081,162.081,162.081,0.000,162.081,162.081,162.081,162.081,1,µm^2,Surface,,,,,36,
Area,166.737,166.737,166.737,0.000,166.737,166.737,166.737,166.737,1,µm^2,Surface,,,,,37,
Area,161.058,161.058,161.058,0.000,161.058,161.058,161.058,161.058,1,µm^2,Surface,,,,,38,
Area,158.754,158.754,158.754,0.000,158.754,158.754,158.754,158.754,1,µm^2,Surface,,,,,39,
Area,155.086,155.086,155.086,0.000,155.086,155.086,155.086,155.086,1,µm^2,Surface,,,,,40,
Area,153.379,153.379,153.379,0.000,153.379,153.379,153.379,153.379,1,µm^2,Surface,,,,,41,
Area,154.523,154.523,154.523,0.000,154.523,154.523,154.523,154.523,1,µm^2,Surface,,,,,42,
Area,156.498,156.498,156.498,0.000,156.498,156.498,156.498,156.498,1,µm^2,Surface,,,,,43,
Area,162.119,162.119,162.119,0.000,162.119,162.119,162.119,162.119,1,µm^2,Surface,,,,,44,
Area,152.307,152.307,152.307,0.000,152.307,152.307,152.307,152.307,1,µm^2,Surface,,,,,45,
Area,153.782,153.782,153.782,0.000,153.782,153.782,153.782,153.782,1,µm^2,Surface,,,,,46,
Area,138.874,138.874,138.874,0.000,138.874,138.874,138.874,138.874,1,µm^2,Surface,,,,,47,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,27,
Class Duration,300.017,300.017,300.017,0.000,300.017,300.017,300.017,300.017,1,s,Surface,,Set 1::Class B,,,28,
Class Duration,300.017,300.017,300.017,0.000,300.017,300.017,300.017,300.017,1,s,Surface,,Set 1::Class B,,,29,
Class Duration,300.017,300.017,300.017,0.000,300.017,300.017,300.017,300.017,1,s,Surface,,Set 1::Class B,,,30,
Class Duration,300.017,300.017,300.017,0.000,300.017,300.017,300.017,300.017,1,s,Surface,,Set 1::Class B,,,31,
Class Duration,300.017,300.017,300.017,0.000,300.017,300.017,300.017,300.017,1,s,Surface,,Set 1::Class B,,,32,
Class Duration,300.017,300.017,300.017,0.000,300.017,300.017,300.017,300.017,1,s,Surface,,Set 1::Class B,,,33,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,34,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,35,
Class Duration,60.009,60.009,60.009,0.000,60.009,60.009,60.009,60.009,1,s,Surface,,Set 1::Class A,,,36,
Class Duration,60.009,60.009,60.009,0.000,60.009,60.009,60.009,60.009,1,s,Surface,,Set 1::Class A,,,37,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,38,
Class Duration,299.957,299.957,299.957,0.000,299.957,299.957,299.957,299.957,1,s,Surface,,Set 1::Class A,,,39,
Class Duration,299.957,299.957,299.957,0.000,299.957,299.957,299.957,299.957,1,s,Surface,,Set 1::Class A,,,40,
Class Duration,299.957,299.957,299.957,0.000,299.957,299.957,299.957,299.957,1,s,Surface,,Set 1::Class A,,,41,
Class Duration,299.957,299.957,299.957,0.000,299.957,299.957,299.957,299.957,1,s,Surface,,Set 1::Class A,,,42,
Class Duration,299.957,299.957,299.957,0.000,299.957,299.957,299.957,299.957,1,s,Surface,,Set 1::Class A,,,43,
Class Duration,299.957,299.957,299.957,0.000,299.957,299.957,299.957,299.957,1,s,Surface,,Set 1::Class A,,,44,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,45,
Class Duration,59.957,59.957,59.957,0.000,59.957,59.957,59.957,59.957,1,s,Surface,,Set 1::Class A,,,46,
Class Duration,59.957,59.957,59.957,0.000,59.957,59.957,59.957,59.957,1,s,Surface,,Set 1::Class A,,,47,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,27,
Displacement Delta Length,1.497,1.497,1.497,0.000,1.497,1.497,1.497,1.497,1,µm,Surface,,,,,28,
Displacement Delta Length,1.106,1.106,1.106,0.000,1.106,1.106,1.106,1.106,1,µm,Surface,,,,,29,
Displacement Delta Length,1.828,1.828,1.828,0.000,1.828,1.828,1.828,1.828,1,µm,Surface,,,,,30,
Displacement Delta Length,0.877,0.877,0.877,0.000,0.877,0.877,0.877,0.877,1,µm,Surface,,,,,31,
Displacement Delta Length,1.749,1.749,1.749,0.000,1.749,1.749,1.749,1.749,1,µm,Surface,,,,,32,
Displacement Delta Length,2.232,2.232,2.232,0.000,2.232,2.232,2.232,2.232,1,µm,Surface,,,,,33,
Displacement Delta Length,0.488,0.488,0.488,0.000,0.488,0.488,0.488,0.488,1,µm,Surface,,,,,34,
Displacement Delta Length,0.767,0.767,0.767,0.000,0.767,0.767,0.767,0.767,1,µm,Surface,,,,,35,
Displacement Delta Length,0.297,0.297,0.297,0.000,0.297,0.297,0.297,0.297,1,µm,Surface,,,,,36,
Displacement Delta Length,0.732,0.732,0.732,0.000,0.732,0.732,0.732,0.732,1,µm,Surface,,,,,37,
Displacement Delta Length,0.854,0.854,0.854,0.000,0.854,0.854,0.854,0.854,1,µm,Surface,,,,,38,
Displacement Delta Length,0.622,0.622,0.622,0.000,0.622,0.622,0.622,0.622,1,µm,Surface,,,,,39,
Displacement Delta Length,0.648,0.648,0.648,0.000,0.648,0.648,0.648,0.648,1,µm,Surface,,,,,40,
Displacement Delta Length,0.616,0.616,0.616,0.000,0.616,0.616,0.616,0.616,1,µm,Surface,,,,,41,
Displacement Delta Length,0.377,0.377,0.377,0.000,0.377,0.377,0.377,0.377,1,µm,Surface,,,,,42,
Displacement Delta Length,0.500,0.500,0.500,0.000,0.500,0.500,0.500,0.500,1,µm,Surface,,,,,43,
Displacement Delta Length,0.461,0.461,0.461,0.000,0.461,0.461,0.461,0.461,1,µm,Surface,,,,,44,
Displacement Delta Length,0.910,0.910,0.910,0.000,0.910,0.910,0.910,0.910,1,µm,Surface,,,,,45,
