
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,55.901,55.901,55.901,0.000,55.901,55.901,55.901,55.901,1,µm^2,Surface,,,,,,28,
Area,89.012,89.012,89.012,0.000,89.012,89.012,89.012,89.012,1,µm^2,Surface,,,,,,29,
Area,102.755,102.755,102.755,0.000,102.755,102.755,102.755,102.755,1,µm^2,Surface,,,,,,30,
Area,124.919,124.919,124.919,0.000,124.919,124.919,124.919,124.919,1,µm^2,Surface,,,,,,31,
Area,142.961,142.961,142.961,0.000,142.961,142.961,142.961,142.961,1,µm^2,Surface,,,,,,32,
Area,138.914,138.914,138.914,0.000,138.914,138.914,138.914,138.914,1,µm^2,Surface,,,,,,33,
Area,161.294,161.294,161.294,0.000,161.294,161.294,161.294,161.294,1,µm^2,Surface,,,,,,34,
Area,144.263,144.263,144.263,0.000,144.263,144.263,144.263,144.263,1,µm^2,Surface,,,,,,35,
Area,147.084,147.084,147.084,0.000,147.084,147.084,147.084,147.084,1,µm^2,Surface,,,,,,36,
Area,165.063,165.063,165.063,0.000,165.063,165.063,165.063,165.063,1,µm^2,Surface,,,,,,37,
Area,143.537,143.537,143.537,0.000,143.537,143.537,143.537,143.537,1,µm^2,Surface,,,,,,38,
Area,177.043,177.043,177.043,0.000,177.043,177.043,177.043,177.043,1,µm^2,Surface,,,,,,39,
Area,169.190,169.190,169.190,0.000,169.190,169.190,169.190,169.190,1,µm^2,Surface,,,,,,40,
Area,150.325,150.325,150.325,0.000,150.325,150.325,150.325,150.325,1,µm^2,Surface,,,,,,41,
Area,165.512,165.512,165.512,0.000,165.512,165.512,165.512,165.512,1,µm^2,Surface,,,,,,42,
Area,153.348,153.348,153.348,0.000,153.348,153.348,153.348,153.348,1,µm^2,Surface,,,,,,43,
Area,171.759,171.759,171.759,0.000,171.759,171.759,171.759,171.759,1,µm^2,Surface,,,,,,44,
Area,189.206,189.206,189.206,0.000,189.206,189.206,189.206,189.206,1,µm^2,Surface,,,,,,45,
Area,153.001,153.001,153.001,0.000,153.001,153.001,153.001,153.001,1,µm^2,Surface,,,,,,46,
Area,174.849,174.849,174.849,0.000,174.849,174.849,174.849,174.849,1,µm^2,Surface,,,,,,47,
Area,183.694,183.694,183.694,0.000,183.694,183.694,183.694,183.694,1,µm^2,Surface,,,,,,48,
Area,156.509,156.509,156.509,0.000,156.509,156.509,156.509,156.509,1,µm^2,Surface,,,,,,49,
Area,112.001,112.001,112.001,0.000,112.001,112.001,112.001,112.001,1,µm^2,Surface,,,,,,50,
Class Duration,1320.050,1320.050,1320.050,0.000,1320.050,1320.050,1320.050,1320.050,1,s,Surface,,Set 1::Class A,,,,28,
Class Duration,1320.050,1320.050,1320.050,0.000,1320.050,1320.050,1320.050,1320.050,1,s,Surface,,Set 1::Class A,,,,29,
