
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,63.325,63.325,63.325,0.000,63.325,63.325,63.325,63.325,1,µm^2,Surface,,,,,13,
Area,109.087,109.087,109.087,0.000,109.087,109.087,109.087,109.087,1,µm^2,Surface,,,,,14,
Area,134.863,134.863,134.863,0.000,134.863,134.863,134.863,134.863,1,µm^2,Surface,,,,,15,
Area,140.033,140.033,140.033,0.000,140.033,140.033,140.033,140.033,1,µm^2,Surface,,,,,16,
Area,144.447,144.447,144.447,0.000,144.447,144.447,144.447,144.447,1,µm^2,Surface,,,,,17,
Area,181.825,181.825,181.825,0.000,181.825,181.825,181.825,181.825,1,µm^2,Surface,,,,,18,
Area,201.955,201.955,201.955,0.000,201.955,201.955,201.955,201.955,1,µm^2,Surface,,,,,19,
Area,194.772,194.772,194.772,0.000,194.772,194.772,194.772,194.772,1,µm^2,Surface,,,,,20,
Area,210.219,210.219,210.219,0.000,210.219,210.219,210.219,210.219,1,µm^2,Surface,,,,,21,
Area,224.702,224.702,224.702,0.000,224.702,224.702,224.702,224.702,1,µm^2,Surface,,,,,22,
Area,74.863,74.863,74.863,0.000,74.863,74.863,74.863,74.863,1,µm^2,Surface,,,,,23,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,13,
Displacement Delta Length,2.624,2.624,2.624,0.000,2.624,2.624,2.624,2.624,1,µm,Surface,,,,,14,
Displacement Delta Length,2.299,2.299,2.299,0.000,2.299,2.299,2.299,2.299,1,µm,Surface,,,,,15,
Displacement Delta Length,2.845,2.845,2.845,0.000,2.845,2.845,2.845,2.845,1,µm,Surface,,,,,16,
Displacement Delta Length,3.493,3.493,3.493,0.000,3.493,3.493,3.493,3.493,1,µm,Surface,,,,,17,
Displacement Delta Length,2.379,2.379,2.379,0.000,2.379,2.379,2.379,2.379,1,µm,Surface,,,,,18,
Displacement Delta Length,1.870,1.870,1.870,0.000,1.870,1.870,1.870,1.870,1,µm,Surface,,,,,19,
Displacement Delta Length,1.613,1.613,1.613,0.000,1.613,1.613,1.613,1.613,1,µm,Surface,,,,,20,
Displacement Delta Length,0.661,0.661,0.661,0.000,0.661,0.661,0.661,0.661,1,µm,Surface,,,,,21,
Displacement Delta Length,0.442,0.442,0.442,0.000,0.442,0.442,0.442,0.442,1,µm,Surface,,,,,22,
Displacement Delta Length,2.285,2.285,2.285,0.000,2.285,2.285,2.285,2.285,1,µm,Surface,,,,,23,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,0.517,0.517,0.517,0.000,0.517,0.517,0.517,0.517,1,µm,Surface,,Displacement Delta,,,14,
Displacement Delta X,-1.561,-1.561,-1.561,0.000,-1.561,-1.561,-1.561,-1.561,1,µm,Surface,,Displacement Delta,,,15,
Displacement Delta X,-0.544,-0.544,-0.544,0.000,-0.544,-0.544,-0.544,-0.544,1,µm,Surface,,Displacement Delta,,,16,
Displacement Delta X,0.268,0.268,0.268,0.000,0.268,0.268,0.268,0.268,1,µm,Surface,,Displacement Delta,,,17,
Displacement Delta X,-0.916,-0.916,-0.916,0.000,-0.916,-0.916,-0.916,-0.916,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,0.956,0.956,0.956,0.000,0.956,0.956,0.956,0.956,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,0.769,0.769,0.769,0.000,0.769,0.769,0.769,0.769,1,µm,Surface,,Displacement Delta,,,20,
