
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,29.066,29.066,29.066,0.000,29.066,29.066,29.066,29.066,1,µm^2,Surface,,,,,23,
Area,42.532,42.532,42.532,0.000,42.532,42.532,42.532,42.532,1,µm^2,Surface,,,,,27,
Area,80.975,80.975,80.975,0.000,80.975,80.975,80.975,80.975,1,µm^2,Surface,,,,,28,
Area,108.190,108.190,108.190,0.000,108.190,108.190,108.190,108.190,1,µm^2,Surface,,,,,29,
Area,129.660,129.660,129.660,0.000,129.660,129.660,129.660,129.660,1,µm^2,Surface,,,,,30,
Area,138.929,138.929,138.929,0.000,138.929,138.929,138.929,138.929,1,µm^2,Surface,,,,,31,
Area,145.266,145.266,145.266,0.000,145.266,145.266,145.266,145.266,1,µm^2,Surface,,,,,32,
Area,154.184,154.184,154.184,0.000,154.184,154.184,154.184,154.184,1,µm^2,Surface,,,,,33,
Area,159.149,159.149,159.149,0.000,159.149,159.149,159.149,159.149,1,µm^2,Surface,,,,,34,
Area,164.312,164.312,164.312,0.000,164.312,164.312,164.312,164.312,1,µm^2,Surface,,,,,35,
Area,171.659,171.659,171.659,0.000,171.659,171.659,171.659,171.659,1,µm^2,Surface,,,,,36,
Area,175.221,175.221,175.221,0.000,175.221,175.221,175.221,175.221,1,µm^2,Surface,,,,,37,
Area,177.389,177.389,177.389,0.000,177.389,177.389,177.389,177.389,1,µm^2,Surface,,,,,38,
Area,176.401,176.401,176.401,0.000,176.401,176.401,176.401,176.401,1,µm^2,Surface,,,,,39,
Area,177.117,177.117,177.117,0.000,177.117,177.117,177.117,177.117,1,µm^2,Surface,,,,,40,
Area,180.007,180.007,180.007,0.000,180.007,180.007,180.007,180.007,1,µm^2,Surface,,,,,41,
Area,182.128,182.128,182.128,0.000,182.128,182.128,182.128,182.128,1,µm^2,Surface,,,,,42,
Area,182.753,182.753,182.753,0.000,182.753,182.753,182.753,182.753,1,µm^2,Surface,,,,,43,
Area,183.305,183.305,183.305,0.000,183.305,183.305,183.305,183.305,1,µm^2,Surface,,,,,44,
Area,187.745,187.745,187.745,0.000,187.745,187.745,187.745,187.745,1,µm^2,Surface,,,,,45,
Area,189.310,189.310,189.310,0.000,189.310,189.310,189.310,189.310,1,µm^2,Surface,,,,,46,
Area,184.700,184.700,184.700,0.000,184.700,184.700,184.700,184.700,1,µm^2,Surface,,,,,47,
Area,183.225,183.225,183.225,0.000,183.225,183.225,183.225,183.225,1,µm^2,Surface,,,,,48,
Area,131.604,131.604,131.604,0.000,131.604,131.604,131.604,131.604,1,µm^2,Surface,,,,,49,
