
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,25.407,25.407,25.407,0.000,25.407,25.407,25.407,25.407,1,µm^2,Surface,,,,,41,
Area,47.321,47.321,47.321,0.000,47.321,47.321,47.321,47.321,1,µm^2,Surface,,,,,42,
Area,57.097,57.097,57.097,0.000,57.097,57.097,57.097,57.097,1,µm^2,Surface,,,,,43,
Area,57.898,57.898,57.898,0.000,57.898,57.898,57.898,57.898,1,µm^2,Surface,,,,,44,
Area,55.928,55.928,55.928,0.000,55.928,55.928,55.928,55.928,1,µm^2,Surface,,,,,45,
Area,57.206,57.206,57.206,0.000,57.206,57.206,57.206,57.206,1,µm^2,Surface,,,,,46,
Area,56.106,56.106,56.106,0.000,56.106,56.106,56.106,56.106,1,µm^2,Surface,,,,,47,
Area,57.703,57.703,57.703,0.000,57.703,57.703,57.703,57.703,1,µm^2,Surface,,,,,48,
Area,61.441,61.441,61.441,0.000,61.441,61.441,61.441,61.441,1,µm^2,Surface,,,,,49,
Area,61.430,61.430,61.430,0.000,61.430,61.430,61.430,61.430,1,µm^2,Surface,,,,,50,
Area,53.926,53.926,53.926,0.000,53.926,53.926,53.926,53.926,1,µm^2,Surface,,,,,51,
Area,9.044,55.042,32.043,22.999,32.043,20.547,43.547,64.086,2,µm^2,Surface,,,,,52,
Area,60.503,60.503,60.503,0.000,60.503,60.503,60.503,60.503,1,µm^2,Surface,,,,,53,
Area,8.683,53.325,31.004,22.321,31.004,19.836,42.164,62.008,2,µm^2,Surface,,,,,54,
Area,32.136,73.072,52.604,20.468,52.604,42.375,62.844,105.208,2,µm^2,Surface,,,,,55,
Area,26.539,78.417,52.478,25.939,52.478,39.516,65.453,104.957,2,µm^2,Surface,,,,,56,
Area,28.531,73.487,51.009,22.478,51.009,39.758,62.242,102.018,2,µm^2,Surface,,,,,57,
Area,26.953,61.310,44.131,17.179,44.131,35.539,52.711,88.263,2,µm^2,Surface,,,,,58,
Area,20.292,77.961,49.127,28.834,49.127,34.711,63.539,98.254,2,µm^2,Surface,,,,,59,
Area,18.705,77.640,48.172,29.467,48.172,33.438,62.906,96.345,2,µm^2,Surface,,,,,60,
Area,19.819,72.573,46.196,26.377,46.196,33.016,59.391,92.392,2,µm^2,Surface,,,,,61,
Area,23.070,60.072,41.571,18.501,41.571,32.328,50.828,83.142,2,µm^2,Surface,,,,,62,
Area,22.798,69.828,46.313,23.515,46.313,34.555,58.070,92.626,2,µm^2,Surface,,,,,63,
Area,24.740,57.500,41.120,16.380,41.120,32.930,49.320,82.240,2,µm^2,Surface,,,,,64,
Area,22.789,60.951,41.870,19.081,41.870,32.336,51.414,83.740,2,µm^2,Surface,,,,,65,
Area,25.614,61.825,43.720,18.106,43.720,34.664,52.773,87.439,2,µm^2,Surface,,,,,66,
Area,21.463,61.982,41.723,20.260,41.723,31.586,51.852,83.446,2,µm^2,Surface,,,,,67,
Area,23.054,58.692,40.873,17.819,40.873,31.961,49.789,81.745,2,µm^2,Surface,,,,,68,
Area,21.619,65.525,43.572,21.953,43.572,32.586,54.539,87.143,2,µm^2,Surface,,,,,69,
Area,20.997,61.093,41.045,20.048,41.045,31.008,51.055,82.090,2,µm^2,Surface,,,,,70,
Area,21.745,67.711,44.728,22.983,44.728,33.227,56.211,89.456,2,µm^2,Surface,,,,,71,
Area,20.618,60.882,40.750,20.132,40.750,30.680,50.820,81.500,2,µm^2,Surface,,,,,72,
Area,21.402,61.177,41.289,19.888,41.289,31.336,51.227,82.579,2,µm^2,Surface,,,,,73,
Area,20.592,79.038,49.815,29.223,49.815,35.195,64.430,99.630,2,µm^2,Surface,,,,,74,
Area,19.747,71.987,45.867,26.120,45.867,32.797,58.922,91.734,2,µm^2,Surface,,,,,75,
Area,26.833,64.412,45.623,18.789,45.623,36.227,55.023,91.245,2,µm^2,Surface,,,,,76,
Area,19.552,67.517,43.535,23.983,43.535,31.539,55.523,87.069,2,µm^2,Surface,,,,,77,
Area,18.975,83.196,51.085,32.110,51.085,35.031,67.156,102.171,2,µm^2,Surface,,,,,78,
Area,16.609,85.479,51.044,34.435,51.044,33.812,68.250,102.088,2,µm^2,Surface,,,,,79,
Area,17.661,69.843,43.752,26.091,43.752,30.711,56.789,87.504,2,µm^2,Surface,,,,,80,
Area,18.271,84.151,51.211,32.940,51.211,34.750,67.688,102.422,2,µm^2,Surface,,,,,81,
Area,16.629,78.401,47.515,30.886,47.515,32.078,62.953,95.030,2,µm^2,Surface,,,,,82,
Area,16.224,87.921,52.073,35.849,52.073,34.141,69.984,104.145,2,µm^2,Surface,,,,,83,
Area,17.526,94.955,56.240,38.715,56.240,36.891,75.609,112.481,2,µm^2,Surface,,,,,84,
Area,14.473,88.315,51.394,36.921,51.394,32.938,69.875,102.787,2,µm^2,Surface,,,,,85,
Area,13.817,96.444,55.130,41.313,55.130,34.500,75.812,110.260,2,µm^2,Surface,,,,,86,
Area,14.265,96.692,55.478,41.214,55.478,34.891,76.109,110.957,2,µm^2,Surface,,,,,87,
Area,14.929,101.739,58.334,43.405,58.334,36.609,80.016,116.668,2,µm^2,Surface,,,,,88,
Area,15.098,81.955,48.526,33.429,48.526,31.812,65.250,97.053,2,µm^2,Surface,,,,,89,
Area,13.211,113.614,63.413,50.201,63.413,38.312,88.500,126.825,2,µm^2,Surface,,,,,90,
Area,14.452,94.410,54.431,39.979,54.431,34.453,74.422,108.861,2,µm^2,Surface,,,,,91,
Area,13.071,108.144,60.608,47.536,60.608,36.859,84.391,121.216,2,µm^2,Surface,,,,,92,
Area,13.649,101.663,57.656,44.007,57.656,35.656,79.656,115.312,2,µm^2,Surface,,,,,93,
Area,13.101,101.304,57.203,44.102,57.203,35.141,79.234,114.405,2,µm^2,Surface,,,,,94,
Area,12.822,99.341,56.082,43.260,56.082,34.469,77.719,112.163,2,µm^2,Surface,,,,,95,
Area,13.842,75.677,44.759,30.918,44.759,29.289,60.211,89.518,2,µm^2,Surface,,,,,96,
Area,12.709,97.449,55.079,42.370,55.079,33.906,76.281,110.158,2,µm^2,Surface,,,,,97,
Area,12.570,93.909,53.240,40.669,53.240,32.922,73.578,106.479,2,µm^2,Surface,,,,,98,
Area,11.692,86.789,49.241,37.549,49.241,30.484,68.016,98.481,2,µm^2,Surface,,,,,99,
Area,11.309,92.109,51.709,40.400,51.709,31.484,71.891,103.418,2,µm^2,Surface,,,,,100,
Area,11.949,79.176,45.563,33.614,45.563,28.766,62.359,91.126,2,µm^2,Surface,,,,,101,
Area,11.226,86.378,48.802,37.576,48.802,30.016,67.609,97.604,2,µm^2,Surface,,,,,102,
Area,10.028,90.237,50.133,40.104,50.133,30.078,70.172,100.265,2,µm^2,Surface,,,,,103,
Class Duration,119.960,119.960,119.960,0.000,119.960,119.960,119.960,119.960,1,s,Surface,,Set 1::Class A,,,41,
Class Duration,119.960,119.960,119.960,0.000,119.960,119.960,119.960,119.960,1,s,Surface,,Set 1::Class A,,,42,
Class Duration,119.960,119.960,119.960,0.000,119.960,119.960,119.960,119.960,1,s,Surface,,Set 1::Class A,,,43,
Class Duration,300.065,300.065,300.065,0.000,300.065,300.065,300.065,300.065,1,s,Surface,,Set 1::Class B,,,44,
Class Duration,300.065,300.065,300.065,0.000,300.065,300.065,300.065,300.065,1,s,Surface,,Set 1::Class B,,,45,
Class Duration,300.065,300.065,300.065,0.000,300.065,300.065,300.065,300.065,1,s,Surface,,Set 1::Class B,,,46,
Class Duration,300.065,300.065,300.065,0.000,300.065,300.065,300.065,300.065,1,s,Surface,,Set 1::Class B,,,47,
Class Duration,300.065,300.065,300.065,0.000,300.065,300.065,300.065,300.065,1,s,Surface,,Set 1::Class B,,,48,
Class Duration,300.065,300.065,300.065,0.000,300.065,300.065,300.065,300.065,1,s,Surface,,Set 1::Class B,,,49,
Class Duration,180.007,180.007,180.007,0.000,180.007,180.007,180.007,180.007,1,s,Surface,,Set 1::Class A,,,50,
Class Duration,180.007,180.007,180.007,0.000,180.007,180.007,180.007,180.007,1,s,Surface,,Set 1::Class A,,,51,
Class Duration,180.007,3060.076,1620.042,1440.034,1620.042,901.000,2341.000,3240.083,2,s,Surface,,Set 1::Class A,,,52,
Class Duration,180.007,180.007,180.007,0.000,180.007,180.007,180.007,180.007,1,s,Surface,,Set 1::Class A,,,53,
Class Duration,3060.076,3060.076,3060.076,0.000,3060.076,3060.076,3060.076,3060.076,1,s,Surface,,Set 1::Class A,,,54,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,54,
Class Duration,0.000,3060.076,1530.038,1530.038,1530.038,766.000,2296.000,3060.076,2,s,Surface,,Set 1::Class A,,,55,
Class Duration,3060.076,3060.076,3060.076,0.000,3060.076,3060.076,3060.076,3060.076,1,s,Surface,,Set 1::Class A,,,56,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,56,
Class Duration,180.070,3060.076,1620.073,1440.003,1620.073,901.000,2341.000,3240.146,2,s,Surface,,Set 1::Class A,,,57,
