
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,78.396,78.396,78.396,0.000,78.396,78.396,78.396,78.396,1,µm^2,Surface,,,,,34,
Area,97.973,97.973,97.973,0.000,97.973,97.973,97.973,97.973,1,µm^2,Surface,,,,,35,
Area,110.083,110.083,110.083,0.000,110.083,110.083,110.083,110.083,1,µm^2,Surface,,,,,36,
Area,116.346,116.346,116.346,0.000,116.346,116.346,116.346,116.346,1,µm^2,Surface,,,,,37,
Area,120.080,120.080,120.080,0.000,120.080,120.080,120.080,120.080,1,µm^2,Surface,,,,,38,
Area,124.455,124.455,124.455,0.000,124.455,124.455,124.455,124.455,1,µm^2,Surface,,,,,39,
Area,125.275,125.275,125.275,0.000,125.275,125.275,125.275,125.275,1,µm^2,Surface,,,,,40,
Area,125.320,125.320,125.320,0.000,125.320,125.320,125.320,125.320,1,µm^2,Surface,,,,,41,
Area,129.213,129.213,129.213,0.000,129.213,129.213,129.213,129.213,1,µm^2,Surface,,,,,42,
Area,129.468,129.468,129.468,0.000,129.468,129.468,129.468,129.468,1,µm^2,Surface,,,,,43,
Area,134.003,134.003,134.003,0.000,134.003,134.003,134.003,134.003,1,µm^2,Surface,,,,,44,
Area,137.391,137.391,137.391,0.000,137.391,137.391,137.391,137.391,1,µm^2,Surface,,,,,45,
Area,141.228,141.228,141.228,0.000,141.228,141.228,141.228,141.228,1,µm^2,Surface,,,,,46,
Area,139.191,139.191,139.191,0.000,139.191,139.191,139.191,139.191,1,µm^2,Surface,,,,,47,
Area,147.881,147.881,147.881,0.000,147.881,147.881,147.881,147.881,1,µm^2,Surface,,,,,48,
Area,148.663,148.663,148.663,0.000,148.663,148.663,148.663,148.663,1,µm^2,Surface,,,,,49,
Area,145.157,145.157,145.157,0.000,145.157,145.157,145.157,145.157,1,µm^2,Surface,,,,,50,
Area,147.920,147.920,147.920,0.000,147.920,147.920,147.920,147.920,1,µm^2,Surface,,,,,51,
Area,150.355,150.355,150.355,0.000,150.355,150.355,150.355,150.355,1,µm^2,Surface,,,,,52,
Area,150.440,150.440,150.440,0.000,150.440,150.440,150.440,150.440,1,µm^2,Surface,,,,,53,
Area,152.822,152.822,152.822,0.000,152.822,152.822,152.822,152.822,1,µm^2,Surface,,,,,54,
Area,154.121,154.121,154.121,0.000,154.121,154.121,154.121,154.121,1,µm^2,Surface,,,,,55,
Area,150.892,150.892,150.892,0.000,150.892,150.892,150.892,150.892,1,µm^2,Surface,,,,,56,
Area,155.965,155.965,155.965,0.000,155.965,155.965,155.965,155.965,1,µm^2,Surface,,,,,57,
Area,159.275,159.275,159.275,0.000,159.275,159.275,159.275,159.275,1,µm^2,Surface,,,,,58,
