
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,80.544,80.544,80.544,0.000,80.544,80.544,80.544,80.544,1,µm^2,Surface,,,,,34,
Area,93.511,93.511,93.511,0.000,93.511,93.511,93.511,93.511,1,µm^2,Surface,,,,,35,
Area,99.298,99.298,99.298,0.000,99.298,99.298,99.298,99.298,1,µm^2,Surface,,,,,36,
Area,103.690,103.690,103.690,0.000,103.690,103.690,103.690,103.690,1,µm^2,Surface,,,,,37,
Area,108.920,108.920,108.920,0.000,108.920,108.920,108.920,108.920,1,µm^2,Surface,,,,,38,
Area,114.902,114.902,114.902,0.000,114.902,114.902,114.902,114.902,1,µm^2,Surface,,,,,39,
Area,119.586,119.586,119.586,0.000,119.586,119.586,119.586,119.586,1,µm^2,Surface,,,,,40,
Area,126.422,126.422,126.422,0.000,126.422,126.422,126.422,126.422,1,µm^2,Surface,,,,,41,
Area,135.321,135.321,135.321,0.000,135.321,135.321,135.321,135.321,1,µm^2,Surface,,,,,42,
Area,141.337,141.337,141.337,0.000,141.337,141.337,141.337,141.337,1,µm^2,Surface,,,,,43,
Area,137.670,137.670,137.670,0.000,137.670,137.670,137.670,137.670,1,µm^2,Surface,,,,,44,
Area,147.002,147.002,147.002,0.000,147.002,147.002,147.002,147.002,1,µm^2,Surface,,,,,45,
Area,153.865,153.865,153.865,0.000,153.865,153.865,153.865,153.865,1,µm^2,Surface,,,,,46,
Area,152.766,152.766,152.766,0.000,152.766,152.766,152.766,152.766,1,µm^2,Surface,,,,,47,
Area,158.779,158.779,158.779,0.000,158.779,158.779,158.779,158.779,1,µm^2,Surface,,,,,48,
Area,162.030,162.030,162.030,0.000,162.030,162.030,162.030,162.030,1,µm^2,Surface,,,,,49,
Area,163.429,163.429,163.429,0.000,163.429,163.429,163.429,163.429,1,µm^2,Surface,,,,,50,
Area,162.347,162.347,162.347,0.000,162.347,162.347,162.347,162.347,1,µm^2,Surface,,,,,51,
Area,163.519,163.519,163.519,0.000,163.519,163.519,163.519,163.519,1,µm^2,Surface,,,,,52,
Area,165.905,165.905,165.905,0.000,165.905,165.905,165.905,165.905,1,µm^2,Surface,,,,,53,
Area,166.069,166.069,166.069,0.000,166.069,166.069,166.069,166.069,1,µm^2,Surface,,,,,54,
Area,168.690,168.690,168.690,0.000,168.690,168.690,168.690,168.690,1,µm^2,Surface,,,,,55,
Area,168.670,168.670,168.670,0.000,168.670,168.670,168.670,168.670,1,µm^2,Surface,,,,,56,
Area,172.818,172.818,172.818,0.000,172.818,172.818,172.818,172.818,1,µm^2,Surface,,,,,57,
Area,172.099,172.099,172.099,0.000,172.099,172.099,172.099,172.099,1,µm^2,Surface,,,,,58,
Area,172.174,172.174,172.174,0.000,172.174,172.174,172.174,172.174,1,µm^2,Surface,,,,,59,
Area,174.018,174.018,174.018,0.000,174.018,174.018,174.018,174.018,1,µm^2,Surface,,,,,60,
Area,172.905,172.905,172.905,0.000,172.905,172.905,172.905,172.905,1,µm^2,Surface,,,,,61,
Area,174.694,174.694,174.694,0.000,174.694,174.694,174.694,174.694,1,µm^2,Surface,,,,,62,
Area,174.867,174.867,174.867,0.000,174.867,174.867,174.867,174.867,1,µm^2,Surface,,,,,63,
Area,175.121,175.121,175.121,0.000,175.121,175.121,175.121,175.121,1,µm^2,Surface,,,,,64,
Area,176.162,176.162,176.162,0.000,176.162,176.162,176.162,176.162,1,µm^2,Surface,,,,,65,
Area,176.261,176.261,176.261,0.000,176.261,176.261,176.261,176.261,1,µm^2,Surface,,,,,66,
Area,176.978,176.978,176.978,0.000,176.978,176.978,176.978,176.978,1,µm^2,Surface,,,,,67,
Area,177.970,177.970,177.970,0.000,177.970,177.970,177.970,177.970,1,µm^2,Surface,,,,,68,
Area,178.548,178.548,178.548,0.000,178.548,178.548,178.548,178.548,1,µm^2,Surface,,,,,69,
Area,176.495,176.495,176.495,0.000,176.495,176.495,176.495,176.495,1,µm^2,Surface,,,,,70,
Area,177.975,177.975,177.975,0.000,177.975,177.975,177.975,177.975,1,µm^2,Surface,,,,,71,
Area,177.302,177.302,177.302,0.000,177.302,177.302,177.302,177.302,1,µm^2,Surface,,,,,72,
Area,177.021,177.021,177.021,0.000,177.021,177.021,177.021,177.021,1,µm^2,Surface,,,,,73,
Area,177.458,177.458,177.458,0.000,177.458,177.458,177.458,177.458,1,µm^2,Surface,,,,,74,
Area,175.494,175.494,175.494,0.000,175.494,175.494,175.494,175.494,1,µm^2,Surface,,,,,75,
Area,175.712,175.712,175.712,0.000,175.712,175.712,175.712,175.712,1,µm^2,Surface,,,,,76,
Area,176.243,176.243,176.243,0.000,176.243,176.243,176.243,176.243,1,µm^2,Surface,,,,,77,
Area,174.870,174.870,174.870,0.000,174.870,174.870,174.870,174.870,1,µm^2,Surface,,,,,78,
Area,174.654,174.654,174.654,0.000,174.654,174.654,174.654,174.654,1,µm^2,Surface,,,,,79,
Area,175.184,175.184,175.184,0.000,175.184,175.184,175.184,175.184,1,µm^2,Surface,,,,,80,
Area,172.867,172.867,172.867,0.000,172.867,172.867,172.867,172.867,1,µm^2,Surface,,,,,81,
Area,172.974,172.974,172.974,0.000,172.974,172.974,172.974,172.974,1,µm^2,Surface,,,,,82,
Area,171.705,171.705,171.705,0.000,171.705,171.705,171.705,171.705,1,µm^2,Surface,,,,,83,
Area,171.867,171.867,171.867,0.000,171.867,171.867,171.867,171.867,1,µm^2,Surface,,,,,84,
Area,170.957,170.957,170.957,0.000,170.957,170.957,170.957,170.957,1,µm^2,Surface,,,,,85,
Area,169.259,169.259,169.259,0.000,169.259,169.259,169.259,169.259,1,µm^2,Surface,,,,,86,
Area,170.085,170.085,170.085,0.000,170.085,170.085,170.085,170.085,1,µm^2,Surface,,,,,87,
Area,169.268,169.268,169.268,0.000,169.268,169.268,169.268,169.268,1,µm^2,Surface,,,,,88,
Area,168.487,168.487,168.487,0.000,168.487,168.487,168.487,168.487,1,µm^2,Surface,,,,,89,
Area,168.607,168.607,168.607,0.000,168.607,168.607,168.607,168.607,1,µm^2,Surface,,,,,90,
Area,167.587,167.587,167.587,0.000,167.587,167.587,167.587,167.587,1,µm^2,Surface,,,,,91,
Area,166.916,166.916,166.916,0.000,166.916,166.916,166.916,166.916,1,µm^2,Surface,,,,,92,
Area,166.736,166.736,166.736,0.000,166.736,166.736,166.736,166.736,1,µm^2,Surface,,,,,93,
Area,166.721,166.721,166.721,0.000,166.721,166.721,166.721,166.721,1,µm^2,Surface,,,,,94,
Area,165.594,165.594,165.594,0.000,165.594,165.594,165.594,165.594,1,µm^2,Surface,,,,,95,
Area,164.557,164.557,164.557,0.000,164.557,164.557,164.557,164.557,1,µm^2,Surface,,,,,96,
Area,163.670,163.670,163.670,0.000,163.670,163.670,163.670,163.670,1,µm^2,Surface,,,,,97,
Area,162.688,162.688,162.688,0.000,162.688,162.688,162.688,162.688,1,µm^2,Surface,,,,,98,
Area,163.296,163.296,163.296,0.000,163.296,163.296,163.296,163.296,1,µm^2,Surface,,,,,99,
Area,161.605,161.605,161.605,0.000,161.605,161.605,161.605,161.605,1,µm^2,Surface,,,,,100,
Area,159.975,159.975,159.975,0.000,159.975,159.975,159.975,159.975,1,µm^2,Surface,,,,,101,
Area,160.358,160.358,160.358,0.000,160.358,160.358,160.358,160.358,1,µm^2,Surface,,,,,102,
Area,159.198,159.198,159.198,0.000,159.198,159.198,159.198,159.198,1,µm^2,Surface,,,,,103,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,34,
Displacement Delta Length,3.120,3.120,3.120,0.000,3.120,3.120,3.120,3.120,1,µm,Surface,,,,,35,
Displacement Delta Length,2.232,2.232,2.232,0.000,2.232,2.232,2.232,2.232,1,µm,Surface,,,,,36,
Displacement Delta Length,1.263,1.263,1.263,0.000,1.263,1.263,1.263,1.263,1,µm,Surface,,,,,37,
Displacement Delta Length,0.721,0.721,0.721,0.000,0.721,0.721,0.721,0.721,1,µm,Surface,,,,,38,
Displacement Delta Length,0.789,0.789,0.789,0.000,0.789,0.789,0.789,0.789,1,µm,Surface,,,,,39,
Displacement Delta Length,0.393,0.393,0.393,0.000,0.393,0.393,0.393,0.393,1,µm,Surface,,,,,40,
Displacement Delta Length,0.529,0.529,0.529,0.000,0.529,0.529,0.529,0.529,1,µm,Surface,,,,,41,
Displacement Delta Length,1.267,1.267,1.267,0.000,1.267,1.267,1.267,1.267,1,µm,Surface,,,,,42,
Displacement Delta Length,0.947,0.947,0.947,0.000,0.947,0.947,0.947,0.947,1,µm,Surface,,,,,43,
Displacement Delta Length,0.193,0.193,0.193,0.000,0.193,0.193,0.193,0.193,1,µm,Surface,,,,,44,
Displacement Delta Length,0.701,0.701,0.701,0.000,0.701,0.701,0.701,0.701,1,µm,Surface,,,,,45,
Displacement Delta Length,0.520,0.520,0.520,0.000,0.520,0.520,0.520,0.520,1,µm,Surface,,,,,46,
Displacement Delta Length,0.276,0.276,0.276,0.000,0.276,0.276,0.276,0.276,1,µm,Surface,,,,,47,
Displacement Delta Length,0.729,0.729,0.729,0.000,0.729,0.729,0.729,0.729,1,µm,Surface,,,,,48,
Displacement Delta Length,0.828,0.828,0.828,0.000,0.828,0.828,0.828,0.828,1,µm,Surface,,,,,49,
Displacement Delta Length,0.465,0.465,0.465,0.000,0.465,0.465,0.465,0.465,1,µm,Surface,,,,,50,
Displacement Delta Length,0.759,0.759,0.759,0.000,0.759,0.759,0.759,0.759,1,µm,Surface,,,,,51,
Displacement Delta Length,0.378,0.378,0.378,0.000,0.378,0.378,0.378,0.378,1,µm,Surface,,,,,52,
Displacement Delta Length,0.376,0.376,0.376,0.000,0.376,0.376,0.376,0.376,1,µm,Surface,,,,,53,
Displacement Delta Length,0.547,0.547,0.547,0.000,0.547,0.547,0.547,0.547,1,µm,Surface,,,,,54,
Displacement Delta Length,0.260,0.260,0.260,0.000,0.260,0.260,0.260,0.260,1,µm,Surface,,,,,55,
Displacement Delta Length,0.614,0.614,0.614,0.000,0.614,0.614,0.614,0.614,1,µm,Surface,,,,,56,
Displacement Delta Length,0.606,0.606,0.606,0.000,0.606,0.606,0.606,0.606,1,µm,Surface,,,,,57,
Displacement Delta Length,0.282,0.282,0.282,0.000,0.282,0.282,0.282,0.282,1,µm,Surface,,,,,58,
Displacement Delta Length,0.451,0.451,0.451,0.000,0.451,0.451,0.451,0.451,1,µm,Surface,,,,,59,
Displacement Delta Length,0.906,0.906,0.906,0.000,0.906,0.906,0.906,0.906,1,µm,Surface,,,,,60,
Displacement Delta Length,0.685,0.685,0.685,0.000,0.685,0.685,0.685,0.685,1,µm,Surface,,,,,61,
Displacement Delta Length,0.197,0.197,0.197,0.000,0.197,0.197,0.197,0.197,1,µm,Surface,,,,,62,
Displacement Delta Length,0.268,0.268,0.268,0.000,0.268,0.268,0.268,0.268,1,µm,Surface,,,,,63,
Displacement Delta Length,0.216,0.216,0.216,0.000,0.216,0.216,0.216,0.216,1,µm,Surface,,,,,64,
Displacement Delta Length,0.215,0.215,0.215,0.000,0.215,0.215,0.215,0.215,1,µm,Surface,,,,,65,
Displacement Delta Length,0.244,0.244,0.244,0.000,0.244,0.244,0.244,0.244,1,µm,Surface,,,,,66,
Displacement Delta Length,0.165,0.165,0.165,0.000,0.165,0.165,0.165,0.165,1,µm,Surface,,,,,67,
Displacement Delta Length,0.133,0.133,0.133,0.000,0.133,0.133,0.133,0.133,1,µm,Surface,,,,,68,
Displacement Delta Length,0.100,0.100,0.100,0.000,0.100,0.100,0.100,0.100,1,µm,Surface,,,,,69,
Displacement Delta Length,0.134,0.134,0.134,0.000,0.134,0.134,0.134,0.134,1,µm,Surface,,,,,70,
Displacement Delta Length,0.106,0.106,0.106,0.000,0.106,0.106,0.106,0.106,1,µm,Surface,,,,,71,
Displacement Delta Length,0.158,0.158,0.158,0.000,0.158,0.158,0.158,0.158,1,µm,Surface,,,,,72,
Displacement Delta Length,0.099,0.099,0.099,0.000,0.099,0.099,0.099,0.099,1,µm,Surface,,,,,73,
Displacement Delta Length,0.180,0.180,0.180,0.000,0.180,0.180,0.180,0.180,1,µm,Surface,,,,,74,
Displacement Delta Length,0.069,0.069,0.069,0.000,0.069,0.069,0.069,0.069,1,µm,Surface,,,,,75,
Displacement Delta Length,0.127,0.127,0.127,0.000,0.127,0.127,0.127,0.127,1,µm,Surface,,,,,76,
Displacement Delta Length,0.085,0.085,0.085,0.000,0.085,0.085,0.085,0.085,1,µm,Surface,,,,,77,
Displacement Delta Length,0.071,0.071,0.071,0.000,0.071,0.071,0.071,0.071,1,µm,Surface,,,,,78,
Displacement Delta Length,0.123,0.123,0.123,0.000,0.123,0.123,0.123,0.123,1,µm,Surface,,,,,79,
Displacement Delta Length,0.089,0.089,0.089,0.000,0.089,0.089,0.089,0.089,1,µm,Surface,,,,,80,
Displacement Delta Length,0.112,0.112,0.112,0.000,0.112,0.112,0.112,0.112,1,µm,Surface,,,,,81,
Displacement Delta Length,0.103,0.103,0.103,0.000,0.103,0.103,0.103,0.103,1,µm,Surface,,,,,82,
Displacement Delta Length,0.061,0.061,0.061,0.000,0.061,0.061,0.061,0.061,1,µm,Surface,,,,,83,
