
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,32.110,32.110,32.110,0.000,32.110,32.110,32.110,32.110,1,µm^2,Surface,,,,,,41,
Area,49.450,49.450,49.450,0.000,49.450,49.450,49.450,49.450,1,µm^2,Surface,,,,,,42,
Area,55.167,64.122,59.645,4.478,59.645,57.406,61.883,119.289,2,µm^2,Surface,,,,,,43,
Area,58.859,67.803,63.331,4.472,63.331,61.098,65.566,126.663,2,µm^2,Surface,,,,,,44,
Area,63.529,73.121,68.325,4.796,68.325,65.926,70.723,136.650,2,µm^2,Surface,,,,,,45,
Area,67.032,76.696,71.864,4.832,71.864,69.451,74.283,143.729,2,µm^2,Surface,,,,,,46,
Area,69.173,79.425,74.299,5.126,74.299,71.738,76.863,148.598,2,µm^2,Surface,,,,,,47,
Area,69.181,79.451,74.316,5.135,74.316,71.750,76.883,148.632,2,µm^2,Surface,,,,,,48,
Area,70.466,81.316,75.891,5.425,75.891,73.178,78.604,151.783,2,µm^2,Surface,,,,,,49,
Area,71.165,81.920,76.542,5.378,76.542,73.855,79.230,153.085,2,µm^2,Surface,,,,,,50,
Area,67.929,79.355,73.642,5.713,73.642,70.783,76.498,147.284,2,µm^2,Surface,,,,,,51,
Area,69.025,81.042,75.034,6.008,75.034,72.031,78.039,150.067,2,µm^2,Surface,,,,,,52,
Area,66.521,78.631,72.576,6.055,72.576,69.547,75.602,145.152,2,µm^2,Surface,,,,,,53,
Area,66.091,78.367,72.229,6.138,72.229,69.160,75.301,144.458,2,µm^2,Surface,,,,,,54,
Area,67.961,80.462,74.212,6.251,74.212,71.084,77.338,148.423,2,µm^2,Surface,,,,,,55,
Area,68.756,81.817,75.287,6.531,75.287,72.020,78.551,150.574,2,µm^2,Surface,,,,,,56,
Area,64.164,78.459,71.312,7.147,71.312,67.740,74.885,142.623,2,µm^2,Surface,,,,,,57,
Area,59.408,74.372,66.890,7.482,66.890,63.150,70.631,133.781,2,µm^2,Surface,,,,,,58,
Area,60.371,74.154,67.262,6.891,67.262,63.816,70.707,134.525,2,µm^2,Surface,,,,,,59,
Area,60.877,73.904,67.390,6.514,67.390,64.135,70.646,134.781,2,µm^2,Surface,,,,,,60,
Area,54.225,70.208,62.217,7.992,62.217,58.223,66.215,124.433,2,µm^2,Surface,,,,,,61,
Area,55.894,69.404,62.649,6.755,62.649,59.271,66.025,125.297,2,µm^2,Surface,,,,,,62,
Area,52.926,69.084,61.005,8.079,61.005,56.969,65.047,122.010,2,µm^2,Surface,,,,,,63,
Area,47.690,66.862,57.276,9.586,57.276,52.488,62.074,114.552,2,µm^2,Surface,,,,,,64,
Area,54.519,70.611,62.565,8.046,62.565,58.547,66.594,125.130,2,µm^2,Surface,,,,,,65,
Area,48.312,66.376,57.344,9.032,57.344,52.824,61.863,114.688,2,µm^2,Surface,,,,,,66,
Area,45.979,65.725,55.852,9.873,55.852,50.914,60.789,111.705,2,µm^2,Surface,,,,,,67,
Area,42.441,62.229,52.335,9.894,52.335,47.391,57.281,104.670,2,µm^2,Surface,,,,,,68,
Area,44.861,63.051,53.956,9.095,53.956,49.414,58.508,107.912,2,µm^2,Surface,,,,,,69,
Area,44.153,64.705,54.429,10.276,54.429,49.289,59.570,108.857,2,µm^2,Surface,,,,,,70,
Area,42.084,64.752,53.418,11.334,53.418,47.754,59.090,106.836,2,µm^2,Surface,,,,,,71,
Area,37.299,62.743,50.021,12.722,50.021,43.664,56.383,100.042,2,µm^2,Surface,,,,,,72,
Area,33.560,65.425,49.493,15.932,49.493,41.516,57.453,98.986,2,µm^2,Surface,,,,,,73,
Area,29.430,63.278,46.354,16.924,46.354,37.883,54.805,92.708,2,µm^2,Surface,,,,,,74,
Area,31.037,31.037,31.037,0.000,31.037,31.037,31.037,31.037,1,µm^2,Surface,,,,,,75,
Area,30.970,30.970,30.970,0.000,30.970,30.970,30.970,30.970,1,µm^2,Surface,,,,,,76,
Area,32.973,32.973,32.973,0.000,32.973,32.973,32.973,32.973,1,µm^2,Surface,,,,,,77,
Area,36.069,36.069,36.069,0.000,36.069,36.069,36.069,36.069,1,µm^2,Surface,,,,,,78,
Area,32.030,32.030,32.030,0.000,32.030,32.030,32.030,32.030,1,µm^2,Surface,,,,,,79,
Area,33.921,33.921,33.921,0.000,33.921,33.921,33.921,33.921,1,µm^2,Surface,,,,,,80,
Area,30.769,30.769,30.769,0.000,30.769,30.769,30.769,30.769,1,µm^2,Surface,,,,,,81,
Area,34.640,34.640,34.640,0.000,34.640,34.640,34.640,34.640,1,µm^2,Surface,,,,,,82,
Area,28.529,28.529,28.529,0.000,28.529,28.529,28.529,28.529,1,µm^2,Surface,,,,,,83,
Area,23.207,23.207,23.207,0.000,23.207,23.207,23.207,23.207,1,µm^2,Surface,,,,,,84,
Area,26.168,26.168,26.168,0.000,26.168,26.168,26.168,26.168,1,µm^2,Surface,,,,,,85,
Area,27.308,27.308,27.308,0.000,27.308,27.308,27.308,27.308,1,µm^2,Surface,,,,,,86,
Area,27.409,27.409,27.409,0.000,27.409,27.409,27.409,27.409,1,µm^2,Surface,,,,,,87,
Area,22.719,22.719,22.719,0.000,22.719,22.719,22.719,22.719,1,µm^2,Surface,,,,,,88,
Area,24.538,24.538,24.538,0.000,24.538,24.538,24.538,24.538,1,µm^2,Surface,,,,,,89,
Area,23.211,23.211,23.211,0.000,23.211,23.211,23.211,23.211,1,µm^2,Surface,,,,,,90,
