
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,243.158,243.158,243.158,0.000,243.158,243.158,243.158,243.158,1,µm^2,Surface,,,,,,1,
Area,263.878,263.878,263.878,0.000,263.878,263.878,263.878,263.878,1,µm^2,Surface,,,,,,2,
Area,262.736,262.736,262.736,0.000,262.736,262.736,262.736,262.736,1,µm^2,Surface,,,,,,3,
Area,278.433,278.433,278.433,0.000,278.433,278.433,278.433,278.433,1,µm^2,Surface,,,,,,4,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,1,
Class Duration,119.963,119.963,119.963,0.000,119.963,119.963,119.963,119.963,1,s,Surface,,Set 1::Class B,,,,2,
Class Duration,119.963,119.963,119.963,0.000,119.963,119.963,119.963,119.963,1,s,Surface,,Set 1::Class B,,,,3,
Class Duration,119.963,119.963,119.963,0.000,119.963,119.963,119.963,119.963,1,s,Surface,,Set 1::Class B,,,,4,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,1,
Displacement Delta Length,1.890,1.890,1.890,0.000,1.890,1.890,1.890,1.890,1,µm,Surface,,,,,,2,
Displacement Delta Length,1.404,1.404,1.404,0.000,1.404,1.404,1.404,1.404,1,µm,Surface,,,,,,3,
Displacement Delta Length,1.024,1.024,1.024,0.000,1.024,1.024,1.024,1.024,1,µm,Surface,,,,,,4,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,1,
Displacement Delta X,-0.299,-0.299,-0.299,0.000,-0.299,-0.299,-0.299,-0.299,1,µm,Surface,,,Displacement Delta,,,2,
Displacement Delta X,-0.683,-0.683,-0.683,0.000,-0.683,-0.683,-0.683,-0.683,1,µm,Surface,,,Displacement Delta,,,3,
Displacement Delta X,-0.524,-0.524,-0.524,0.000,-0.524,-0.524,-0.524,-0.524,1,µm,Surface,,,Displacement Delta,,,4,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,1,
Displacement Delta Y,0.669,0.669,0.669,0.000,0.669,0.669,0.669,0.669,1,µm,Surface,,,Displacement Delta,,,2,
Displacement Delta Y,-0.670,-0.670,-0.670,0.000,-0.670,-0.670,-0.670,-0.670,1,µm,Surface,,,Displacement Delta,,,3,
Displacement Delta Y,-0.737,-0.737,-0.737,0.000,-0.737,-0.737,-0.737,-0.737,1,µm,Surface,,,Displacement Delta,,,4,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,1,
Displacement Delta Z,1.742,1.742,1.742,0.000,1.742,1.742,1.742,1.742,1,µm,Surface,,,Displacement Delta,,,2,
Displacement Delta Z,1.027,1.027,1.027,0.000,1.027,1.027,1.027,1.027,1,µm,Surface,,,Displacement Delta,,,3,
Displacement Delta Z,0.480,0.480,0.480,0.000,0.480,0.480,0.480,0.480,1,µm,Surface,,,Displacement Delta,,,4,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,1,
Displacement Length,1.890,1.890,1.890,0.000,1.890,1.890,1.890,1.890,1,µm,Surface,,,,,,2,
Displacement Length,2.938,2.938,2.938,0.000,2.938,2.938,2.938,2.938,1,µm,Surface,,,,,,3,
Displacement Length,3.657,3.657,3.657,0.000,3.657,3.657,3.657,3.657,1,µm,Surface,,,,,,4,
Distance from Origin,17303.131,17303.131,17303.131,0.000,17303.131,17303.131,17303.131,17303.131,1,µm,Surface,,,Distance from Origin,,,1,
Distance from Origin,17303.859,17303.859,17303.859,0.000,17303.859,17303.859,17303.859,17303.859,1,µm,Surface,,,Distance from Origin,,,2,
Distance from Origin,17303.709,17303.709,17303.709,0.000,17303.709,17303.709,17303.709,17303.709,1,µm,Surface,,,Distance from Origin,,,3,
Distance from Origin,17303.404,17303.404,17303.404,0.000,17303.404,17303.404,17303.404,17303.404,1,µm,Surface,,,Distance from Origin,,,4,
Distance to Image Border XY,13.655,13.655,13.655,0.000,13.655,13.655,13.655,13.655,1,µm,Surface,,,,Image 1,,1,
Distance to Image Border XY,14.011,14.011,14.011,0.000,14.011,14.011,14.011,14.011,1,µm,Surface,,,,Image 1,,2,
Distance to Image Border XY,13.132,13.132,13.132,0.000,13.132,13.132,13.132,13.132,1,µm,Surface,,,,Image 1,,3,
Distance to Image Border XY,12.290,12.290,12.290,0.000,12.290,12.290,12.290,12.290,1,µm,Surface,,,,Image 1,,4,
Ellipticity (oblate),0.190,0.190,0.190,0.000,0.190,0.190,0.190,0.190,1,,Surface,,,,,,1,
Ellipticity (oblate),0.115,0.115,0.115,0.000,0.115,0.115,0.115,0.115,1,,Surface,,,,,,2,
Ellipticity (oblate),0.060,0.060,0.060,0.000,0.060,0.060,0.060,0.060,1,,Surface,,,,,,3,
Ellipticity (oblate),0.085,0.085,0.085,0.000,0.085,0.085,0.085,0.085,1,,Surface,,,,,,4,
Ellipticity (prolate),0.258,0.258,0.258,0.000,0.258,0.258,0.258,0.258,1,,Surface,,,,,,1,
Ellipticity (prolate),0.181,0.181,0.181,0.000,0.181,0.181,0.181,0.181,1,,Surface,,,,,,2,
Ellipticity (prolate),0.095,0.095,0.095,0.000,0.095,0.095,0.095,0.095,1,,Surface,,,,,,3,
Ellipticity (prolate),0.060,0.060,0.060,0.000,0.060,0.060,0.060,0.060,1,,Surface,,,,,,4,
