
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,238.841,238.841,238.841,0.000,238.841,238.841,238.841,238.841,1,µm^2,Surface,,,,,,1,
Area,278.182,278.182,278.182,0.000,278.182,278.182,278.182,278.182,1,µm^2,Surface,,,,,,2,
Area,222.680,222.680,222.680,0.000,222.680,222.680,222.680,222.680,1,µm^2,Surface,,,,,,3,
Area,241.753,241.753,241.753,0.000,241.753,241.753,241.753,241.753,1,µm^2,Surface,,,,,,4,
Area,252.828,252.828,252.828,0.000,252.828,252.828,252.828,252.828,1,µm^2,Surface,,,,,,5,
Area,242.044,242.044,242.044,0.000,242.044,242.044,242.044,242.044,1,µm^2,Surface,,,,,,6,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,1,
Class Duration,59.997,59.997,59.997,0.000,59.997,59.997,59.997,59.997,1,s,Surface,,Set 1::Class B,,,,2,
Class Duration,59.997,59.997,59.997,0.000,59.997,59.997,59.997,59.997,1,s,Surface,,Set 1::Class B,,,,3,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,4,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,5,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,6,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,1,
Displacement Delta Length,1.650,1.650,1.650,0.000,1.650,1.650,1.650,1.650,1,µm,Surface,,,,,,2,
Displacement Delta Length,1.889,1.889,1.889,0.000,1.889,1.889,1.889,1.889,1,µm,Surface,,,,,,3,
Displacement Delta Length,0.175,0.175,0.175,0.000,0.175,0.175,0.175,0.175,1,µm,Surface,,,,,,4,
Displacement Delta Length,1.003,1.003,1.003,0.000,1.003,1.003,1.003,1.003,1,µm,Surface,,,,,,5,
Displacement Delta Length,0.710,0.710,0.710,0.000,0.710,0.710,0.710,0.710,1,µm,Surface,,,,,,6,
