
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,96.594,96.594,96.594,0.000,96.594,96.594,96.594,96.594,1,µm^2,Surface,,,,,,9,
Area,155.717,155.717,155.717,0.000,155.717,155.717,155.717,155.717,1,µm^2,Surface,,,,,,10,
Area,173.642,173.642,173.642,0.000,173.642,173.642,173.642,173.642,1,µm^2,Surface,,,,,,11,
Area,174.939,174.939,174.939,0.000,174.939,174.939,174.939,174.939,1,µm^2,Surface,,,,,,12,
Area,197.439,197.439,197.439,0.000,197.439,197.439,197.439,197.439,1,µm^2,Surface,,,,,,13,
Area,231.147,231.147,231.147,0.000,231.147,231.147,231.147,231.147,1,µm^2,Surface,,,,,,14,
Area,266.643,266.643,266.643,0.000,266.643,266.643,266.643,266.643,1,µm^2,Surface,,,,,,15,
Area,271.346,271.346,271.346,0.000,271.346,271.346,271.346,271.346,1,µm^2,Surface,,,,,,16,
Area,274.917,274.917,274.917,0.000,274.917,274.917,274.917,274.917,1,µm^2,Surface,,,,,,17,
Area,285.328,285.328,285.328,0.000,285.328,285.328,285.328,285.328,1,µm^2,Surface,,,,,,18,
Area,188.931,188.931,188.931,0.000,188.931,188.931,188.931,188.931,1,µm^2,Surface,,,,,,19,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,9,
Class Duration,60.100,60.100,60.100,0.000,60.100,60.100,60.100,60.100,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,60.100,60.100,60.100,0.000,60.100,60.100,60.100,60.100,1,s,Surface,,Set 1::Class B,,,,11,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,12,
Class Duration,120.015,120.015,120.015,0.000,120.015,120.015,120.015,120.015,1,s,Surface,,Set 1::Class B,,,,13,
Class Duration,120.015,120.015,120.015,0.000,120.015,120.015,120.015,120.015,1,s,Surface,,Set 1::Class B,,,,14,
Class Duration,120.015,120.015,120.015,0.000,120.015,120.015,120.015,120.015,1,s,Surface,,Set 1::Class B,,,,15,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,16,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,17,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,18,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,19,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,9,
Displacement Delta Length,1.664,1.664,1.664,0.000,1.664,1.664,1.664,1.664,1,µm,Surface,,,,,,10,
Displacement Delta Length,1.300,1.300,1.300,0.000,1.300,1.300,1.300,1.300,1,µm,Surface,,,,,,11,
Displacement Delta Length,0.363,0.363,0.363,0.000,0.363,0.363,0.363,0.363,1,µm,Surface,,,,,,12,
Displacement Delta Length,0.979,0.979,0.979,0.000,0.979,0.979,0.979,0.979,1,µm,Surface,,,,,,13,
Displacement Delta Length,0.896,0.896,0.896,0.000,0.896,0.896,0.896,0.896,1,µm,Surface,,,,,,14,
Displacement Delta Length,0.809,0.809,0.809,0.000,0.809,0.809,0.809,0.809,1,µm,Surface,,,,,,15,
Displacement Delta Length,0.530,0.530,0.530,0.000,0.530,0.530,0.530,0.530,1,µm,Surface,,,,,,16,
Displacement Delta Length,0.793,0.793,0.793,0.000,0.793,0.793,0.793,0.793,1,µm,Surface,,,,,,17,
