
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,83.657,83.657,83.657,0.000,83.657,83.657,83.657,83.657,1,µm^2,Surface,,,,,,25,
Area,122.112,122.112,122.112,0.000,122.112,122.112,122.112,122.112,1,µm^2,Surface,,,,,,26,
Area,138.099,138.099,138.099,0.000,138.099,138.099,138.099,138.099,1,µm^2,Surface,,,,,,27,
Area,152.338,152.338,152.338,0.000,152.338,152.338,152.338,152.338,1,µm^2,Surface,,,,,,28,
Area,146.562,146.562,146.562,0.000,146.562,146.562,146.562,146.562,1,µm^2,Surface,,,,,,29,
Area,127.772,127.772,127.772,0.000,127.772,127.772,127.772,127.772,1,µm^2,Surface,,,,,,30,
Area,123.997,123.997,123.997,0.000,123.997,123.997,123.997,123.997,1,µm^2,Surface,,,,,,31,
Area,110.451,110.451,110.451,0.000,110.451,110.451,110.451,110.451,1,µm^2,Surface,,,,,,32,
Area,123.538,123.538,123.538,0.000,123.538,123.538,123.538,123.538,1,µm^2,Surface,,,,,,33,
Area,138.650,138.650,138.650,0.000,138.650,138.650,138.650,138.650,1,µm^2,Surface,,,,,,34,
Area,129.012,129.012,129.012,0.000,129.012,129.012,129.012,129.012,1,µm^2,Surface,,,,,,35,
Area,142.133,142.133,142.133,0.000,142.133,142.133,142.133,142.133,1,µm^2,Surface,,,,,,36,
Area,68.406,68.406,68.406,0.000,68.406,68.406,68.406,68.406,1,µm^2,Surface,,,,,,37,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,25,
Class Duration,120.075,120.075,120.075,0.000,120.075,120.075,120.075,120.075,1,s,Surface,,Set 1::Class B,,,,26,
Class Duration,120.075,120.075,120.075,0.000,120.075,120.075,120.075,120.075,1,s,Surface,,Set 1::Class B,,,,27,
Class Duration,120.075,120.075,120.075,0.000,120.075,120.075,120.075,120.075,1,s,Surface,,Set 1::Class B,,,,28,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,29,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,31,
Class Duration,119.978,119.978,119.978,0.000,119.978,119.978,119.978,119.978,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,119.978,119.978,119.978,0.000,119.978,119.978,119.978,119.978,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,119.978,119.978,119.978,0.000,119.978,119.978,119.978,119.978,1,s,Surface,,Set 1::Class B,,,,34,
Class Duration,60.046,60.046,60.046,0.000,60.046,60.046,60.046,60.046,1,s,Surface,,Set 1::Class A,,,,35,
Class Duration,60.046,60.046,60.046,0.000,60.046,60.046,60.046,60.046,1,s,Surface,,Set 1::Class A,,,,36,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,37,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,25,
Displacement Delta Length,1.345,1.345,1.345,0.000,1.345,1.345,1.345,1.345,1,µm,Surface,,,,,,26,
Displacement Delta Length,1.600,1.600,1.600,0.000,1.600,1.600,1.600,1.600,1,µm,Surface,,,,,,27,
Displacement Delta Length,1.007,1.007,1.007,0.000,1.007,1.007,1.007,1.007,1,µm,Surface,,,,,,28,
Displacement Delta Length,0.682,0.682,0.682,0.000,0.682,0.682,0.682,0.682,1,µm,Surface,,,,,,29,
Displacement Delta Length,1.039,1.039,1.039,0.000,1.039,1.039,1.039,1.039,1,µm,Surface,,,,,,30,
Displacement Delta Length,0.492,0.492,0.492,0.000,0.492,0.492,0.492,0.492,1,µm,Surface,,,,,,31,
Displacement Delta Length,0.872,0.872,0.872,0.000,0.872,0.872,0.872,0.872,1,µm,Surface,,,,,,32,
Displacement Delta Length,1.083,1.083,1.083,0.000,1.083,1.083,1.083,1.083,1,µm,Surface,,,,,,33,
Displacement Delta Length,1.259,1.259,1.259,0.000,1.259,1.259,1.259,1.259,1,µm,Surface,,,,,,34,
Displacement Delta Length,0.571,0.571,0.571,0.000,0.571,0.571,0.571,0.571,1,µm,Surface,,,,,,35,
Displacement Delta Length,0.548,0.548,0.548,0.000,0.548,0.548,0.548,0.548,1,µm,Surface,,,,,,36,
Displacement Delta Length,1.118,1.118,1.118,0.000,1.118,1.118,1.118,1.118,1,µm,Surface,,,,,,37,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta X,1.112,1.112,1.112,0.000,1.112,1.112,1.112,1.112,1,µm,Surface,,,Displacement Delta,,,26,
Displacement Delta X,-0.778,-0.778,-0.778,0.000,-0.778,-0.778,-0.778,-0.778,1,µm,Surface,,,Displacement Delta,,,27,
Displacement Delta X,-0.562,-0.562,-0.562,0.000,-0.562,-0.562,-0.562,-0.562,1,µm,Surface,,,Displacement Delta,,,28,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,29,
Displacement Delta X,-0.202,-0.202,-0.202,0.000,-0.202,-0.202,-0.202,-0.202,1,µm,Surface,,,Displacement Delta,,,30,
Displacement Delta X,0.141,0.141,0.141,0.000,0.141,0.141,0.141,0.141,1,µm,Surface,,,Displacement Delta,,,31,
