
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,86.104,86.104,86.104,0.000,86.104,86.104,86.104,86.104,1,µm^2,Surface,,,,,,24,
Area,128.097,128.097,128.097,0.000,128.097,128.097,128.097,128.097,1,µm^2,Surface,,,,,,25,
Area,171.736,171.736,171.736,0.000,171.736,171.736,171.736,171.736,1,µm^2,Surface,,,,,,26,
Area,199.834,199.834,199.834,0.000,199.834,199.834,199.834,199.834,1,µm^2,Surface,,,,,,27,
Area,217.896,217.896,217.896,0.000,217.896,217.896,217.896,217.896,1,µm^2,Surface,,,,,,28,
Area,220.390,220.390,220.390,0.000,220.390,220.390,220.390,220.390,1,µm^2,Surface,,,,,,29,
Area,223.678,223.678,223.678,0.000,223.678,223.678,223.678,223.678,1,µm^2,Surface,,,,,,30,
Area,228.138,228.138,228.138,0.000,228.138,228.138,228.138,228.138,1,µm^2,Surface,,,,,,31,
Area,222.177,222.177,222.177,0.000,222.177,222.177,222.177,222.177,1,µm^2,Surface,,,,,,32,
Area,234.865,234.865,234.865,0.000,234.865,234.865,234.865,234.865,1,µm^2,Surface,,,,,,33,
Area,212.992,212.992,212.992,0.000,212.992,212.992,212.992,212.992,1,µm^2,Surface,,,,,,34,
Area,207.022,207.022,207.022,0.000,207.022,207.022,207.022,207.022,1,µm^2,Surface,,,,,,35,
Area,208.573,208.573,208.573,0.000,208.573,208.573,208.573,208.573,1,µm^2,Surface,,,,,,36,
Area,186.374,186.374,186.374,0.000,186.374,186.374,186.374,186.374,1,µm^2,Surface,,,,,,37,
Class Duration,60.014,60.014,60.014,0.000,60.014,60.014,60.014,60.014,1,s,Surface,,Set 1::Class A,,,,24,
Class Duration,60.014,60.014,60.014,0.000,60.014,60.014,60.014,60.014,1,s,Surface,,Set 1::Class A,,,,25,
Class Duration,120.075,120.075,120.075,0.000,120.075,120.075,120.075,120.075,1,s,Surface,,Set 1::Class B,,,,26,
