
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,66.162,66.162,66.162,0.000,66.162,66.162,66.162,66.162,1,µm^2,Surface,,,,,,9,
Area,152.424,152.424,152.424,0.000,152.424,152.424,152.424,152.424,1,µm^2,Surface,,,,,,10,
Area,146.541,146.541,146.541,0.000,146.541,146.541,146.541,146.541,1,µm^2,Surface,,,,,,11,
Area,169.764,169.764,169.764,0.000,169.764,169.764,169.764,169.764,1,µm^2,Surface,,,,,,12,
Area,199.877,199.877,199.877,0.000,199.877,199.877,199.877,199.877,1,µm^2,Surface,,,,,,13,
Area,223.085,223.085,223.085,0.000,223.085,223.085,223.085,223.085,1,µm^2,Surface,,,,,,14,
Area,247.257,247.257,247.257,0.000,247.257,247.257,247.257,247.257,1,µm^2,Surface,,,,,,15,
Area,247.955,247.955,247.955,0.000,247.955,247.955,247.955,247.955,1,µm^2,Surface,,,,,,16,
Area,240.491,240.491,240.491,0.000,240.491,240.491,240.491,240.491,1,µm^2,Surface,,,,,,17,
Area,226.462,226.462,226.462,0.000,226.462,226.462,226.462,226.462,1,µm^2,Surface,,,,,,18,
Area,0.768,0.768,0.768,0.000,0.768,0.768,0.768,0.768,1,µm^2,Surface,,,,,,19,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,9,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,10,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,11,
Class Duration,420.036,420.036,420.036,0.000,420.036,420.036,420.036,420.036,1,s,Surface,,Set 1::Class B,,,,12,
Class Duration,420.036,420.036,420.036,0.000,420.036,420.036,420.036,420.036,1,s,Surface,,Set 1::Class B,,,,13,
Class Duration,420.036,420.036,420.036,0.000,420.036,420.036,420.036,420.036,1,s,Surface,,Set 1::Class B,,,,14,
Class Duration,420.036,420.036,420.036,0.000,420.036,420.036,420.036,420.036,1,s,Surface,,Set 1::Class B,,,,15,
Class Duration,420.036,420.036,420.036,0.000,420.036,420.036,420.036,420.036,1,s,Surface,,Set 1::Class B,,,,16,
Class Duration,420.036,420.036,420.036,0.000,420.036,420.036,420.036,420.036,1,s,Surface,,Set 1::Class B,,,,17,
Class Duration,420.036,420.036,420.036,0.000,420.036,420.036,420.036,420.036,1,s,Surface,,Set 1::Class B,,,,18,
Class Duration,420.036,420.036,420.036,0.000,420.036,420.036,420.036,420.036,1,s,Surface,,Set 1::Class B,,,,19,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,9,
Displacement Delta Length,1.405,1.405,1.405,0.000,1.405,1.405,1.405,1.405,1,µm,Surface,,,,,,10,
Displacement Delta Length,0.698,0.698,0.698,0.000,0.698,0.698,0.698,0.698,1,µm,Surface,,,,,,11,
Displacement Delta Length,0.998,0.998,0.998,0.000,0.998,0.998,0.998,0.998,1,µm,Surface,,,,,,12,
Displacement Delta Length,1.190,1.190,1.190,0.000,1.190,1.190,1.190,1.190,1,µm,Surface,,,,,,13,
Displacement Delta Length,1.895,1.895,1.895,0.000,1.895,1.895,1.895,1.895,1,µm,Surface,,,,,,14,
Displacement Delta Length,1.143,1.143,1.143,0.000,1.143,1.143,1.143,1.143,1,µm,Surface,,,,,,15,
Displacement Delta Length,1.564,1.564,1.564,0.000,1.564,1.564,1.564,1.564,1,µm,Surface,,,,,,16,
Displacement Delta Length,0.889,0.889,0.889,0.000,0.889,0.889,0.889,0.889,1,µm,Surface,,,,,,17,
Displacement Delta Length,1.266,1.266,1.266,0.000,1.266,1.266,1.266,1.266,1,µm,Surface,,,,,,18,
Displacement Delta Length,1.852,1.852,1.852,0.000,1.852,1.852,1.852,1.852,1,µm,Surface,,,,,,19,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta X,0.627,0.627,0.627,0.000,0.627,0.627,0.627,0.627,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta X,-0.188,-0.188,-0.188,0.000,-0.188,-0.188,-0.188,-0.188,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta X,0.504,0.504,0.504,0.000,0.504,0.504,0.504,0.504,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta X,-0.318,-0.318,-0.318,0.000,-0.318,-0.318,-0.318,-0.318,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta X,0.146,0.146,0.146,0.000,0.146,0.146,0.146,0.146,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta X,0.848,0.848,0.848,0.000,0.848,0.848,0.848,0.848,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta X,1.194,1.194,1.194,0.000,1.194,1.194,1.194,1.194,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta X,0.669,0.669,0.669,0.000,0.669,0.669,0.669,0.669,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta X,0.937,0.937,0.937,0.000,0.937,0.937,0.937,0.937,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta X,-0.074,-0.074,-0.074,0.000,-0.074,-0.074,-0.074,-0.074,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta Y,-0.178,-0.178,-0.178,0.000,-0.178,-0.178,-0.178,-0.178,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta Y,0.186,0.186,0.186,0.000,0.186,0.186,0.186,0.186,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta Y,-0.520,-0.520,-0.520,0.000,-0.520,-0.520,-0.520,-0.520,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta Y,0.504,0.504,0.504,0.000,0.504,0.504,0.504,0.504,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta Y,1.443,1.443,1.443,0.000,1.443,1.443,1.443,1.443,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta Y,0.708,0.708,0.708,0.000,0.708,0.708,0.708,0.708,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta Y,-0.735,-0.735,-0.735,0.000,-0.735,-0.735,-0.735,-0.735,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta Y,-0.583,-0.583,-0.583,0.000,-0.583,-0.583,-0.583,-0.583,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta Y,-0.781,-0.781,-0.781,0.000,-0.781,-0.781,-0.781,-0.781,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta Y,1.096,1.096,1.096,0.000,1.096,1.096,1.096,1.096,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,9,
Displacement Delta Z,-1.244,-1.244,-1.244,0.000,-1.244,-1.244,-1.244,-1.244,1,µm,Surface,,,Displacement Delta,,,10,
Displacement Delta Z,-0.646,-0.646,-0.646,0.000,-0.646,-0.646,-0.646,-0.646,1,µm,Surface,,,Displacement Delta,,,11,
Displacement Delta Z,-0.687,-0.687,-0.687,0.000,-0.687,-0.687,-0.687,-0.687,1,µm,Surface,,,Displacement Delta,,,12,
Displacement Delta Z,-1.030,-1.030,-1.030,0.000,-1.030,-1.030,-1.030,-1.030,1,µm,Surface,,,Displacement Delta,,,13,
Displacement Delta Z,-1.220,-1.220,-1.220,0.000,-1.220,-1.220,-1.220,-1.220,1,µm,Surface,,,Displacement Delta,,,14,
Displacement Delta Z,0.297,0.297,0.297,0.000,0.297,0.297,0.297,0.297,1,µm,Surface,,,Displacement Delta,,,15,
Displacement Delta Z,0.693,0.693,0.693,0.000,0.693,0.693,0.693,0.693,1,µm,Surface,,,Displacement Delta,,,16,
Displacement Delta Z,0.041,0.041,0.041,0.000,0.041,0.041,0.041,0.041,1,µm,Surface,,,Displacement Delta,,,17,
Displacement Delta Z,0.340,0.340,0.340,0.000,0.340,0.340,0.340,0.340,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta Z,-1.490,-1.490,-1.490,0.000,-1.490,-1.490,-1.490,-1.490,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,9,
Displacement Length,1.405,1.405,1.405,0.000,1.405,1.405,1.405,1.405,1,µm,Surface,,,,,,10,
Displacement Length,1.940,1.940,1.940,0.000,1.940,1.940,1.940,1.940,1,µm,Surface,,,,,,11,
Displacement Length,2.791,2.791,2.791,0.000,2.791,2.791,2.791,2.791,1,µm,Surface,,,,,,12,
Displacement Length,3.660,3.660,3.660,0.000,3.660,3.660,3.660,3.660,1,µm,Surface,,,,,,13,
Displacement Length,5.093,5.093,5.093,0.000,5.093,5.093,5.093,5.093,1,µm,Surface,,,,,,14,
Displacement Length,5.265,5.265,5.265,0.000,5.265,5.265,5.265,5.265,1,µm,Surface,,,,,,15,
Displacement Length,4.960,4.960,4.960,0.000,4.960,4.960,4.960,4.960,1,µm,Surface,,,,,,16,
Displacement Length,5.215,5.215,5.215,0.000,5.215,5.215,5.215,5.215,1,µm,Surface,,,,,,17,
Displacement Length,5.608,5.608,5.608,0.000,5.608,5.608,5.608,5.608,1,µm,Surface,,,,,,18,
Displacement Length,6.679,6.679,6.679,0.000,6.679,6.679,6.679,6.679,1,µm,Surface,,,,,,19,
Distance from Origin,17300.383,17300.383,17300.383,0.000,17300.383,17300.383,17300.383,17300.383,1,µm,Surface,,,Distance from Origin,,,9,
Distance from Origin,17300.254,17300.254,17300.254,0.000,17300.254,17300.254,17300.254,17300.254,1,µm,Surface,,,Distance from Origin,,,10,
Distance from Origin,17299.793,17299.793,17299.793,0.000,17299.793,17299.793,17299.793,17299.793,1,µm,Surface,,,Distance from Origin,,,11,
Distance from Origin,17299.795,17299.795,17299.795,0.000,17299.795,17299.795,17299.795,17299.795,1,µm,Surface,,,Distance from Origin,,,12,
Distance from Origin,17299.070,17299.070,17299.070,0.000,17299.070,17299.070,17299.070,17299.070,1,µm,Surface,,,Distance from Origin,,,13,
Distance from Origin,17298.777,17298.777,17298.777,0.000,17298.777,17298.777,17298.777,17298.777,1,µm,Surface,,,Distance from Origin,,,14,
Distance from Origin,17299.750,17299.750,17299.750,0.000,17299.750,17299.750,17299.750,17299.750,1,µm,Surface,,,Distance from Origin,,,15,
Distance from Origin,17301.012,17301.012,17301.012,0.000,17301.012,17301.012,17301.012,17301.012,1,µm,Surface,,,Distance from Origin,,,16,
Distance from Origin,17301.516,17301.516,17301.516,0.000,17301.516,17301.516,17301.516,17301.516,1,µm,Surface,,,Distance from Origin,,,17,
Distance from Origin,17302.373,17302.373,17302.373,0.000,17302.373,17302.373,17302.373,17302.373,1,µm,Surface,,,Distance from Origin,,,18,
Distance from Origin,17301.707,17301.707,17301.707,0.000,17301.707,17301.707,17301.707,17301.707,1,µm,Surface,,,Distance from Origin,,,19,
Distance to Image Border XY,13.635,13.635,13.635,0.000,13.635,13.635,13.635,13.635,1,µm,Surface,,,,Image 1,,9,
Distance to Image Border XY,12.666,12.666,12.666,0.000,12.666,12.666,12.666,12.666,1,µm,Surface,,,,Image 1,,10,
Distance to Image Border XY,12.584,12.584,12.584,0.000,12.584,12.584,12.584,12.584,1,µm,Surface,,,,Image 1,,11,
Distance to Image Border XY,13.104,13.104,13.104,0.000,13.104,13.104,13.104,13.104,1,µm,Surface,,,,Image 1,,12,
Distance to Image Border XY,12.287,12.287,12.287,0.000,12.287,12.287,12.287,12.287,1,µm,Surface,,,,Image 1,,13,
Distance to Image Border XY,10.740,10.740,10.740,0.000,10.740,10.740,10.740,10.740,1,µm,Surface,,,,Image 1,,14,
Distance to Image Border XY,9.927,9.927,9.927,0.000,9.927,9.927,9.927,9.927,1,µm,Surface,,,,Image 1,,15,
Distance to Image Border XY,10.454,10.454,10.454,0.000,10.454,10.454,10.454,10.454,1,µm,Surface,,,,Image 1,,16,
Distance to Image Border XY,11.142,11.142,11.142,0.000,11.142,11.142,11.142,11.142,1,µm,Surface,,,,Image 1,,17,
Distance to Image Border XY,11.818,11.818,11.818,0.000,11.818,11.818,11.818,11.818,1,µm,Surface,,,,Image 1,,18,
Distance to Image Border XY,14.478,14.478,14.478,0.000,14.478,14.478,14.478,14.478,1,µm,Surface,,,,Image 1,,19,
Ellipticity (oblate),0.462,0.462,0.462,0.000,0.462,0.462,0.462,0.462,1,,Surface,,,,,,9,
Ellipticity (oblate),0.264,0.264,0.264,0.000,0.264,0.264,0.264,0.264,1,,Surface,,,,,,10,
Ellipticity (oblate),0.208,0.208,0.208,0.000,0.208,0.208,0.208,0.208,1,,Surface,,,,,,11,
Ellipticity (oblate),0.260,0.260,0.260,0.000,0.260,0.260,0.260,0.260,1,,Surface,,,,,,12,
Ellipticity (oblate),0.250,0.250,0.250,0.000,0.250,0.250,0.250,0.250,1,,Surface,,,,,,13,
Ellipticity (oblate),0.234,0.234,0.234,0.000,0.234,0.234,0.234,0.234,1,,Surface,,,,,,14,
Ellipticity (oblate),0.206,0.206,0.206,0.000,0.206,0.206,0.206,0.206,1,,Surface,,,,,,15,
Ellipticity (oblate),0.152,0.152,0.152,0.000,0.152,0.152,0.152,0.152,1,,Surface,,,,,,16,
Ellipticity (oblate),0.189,0.189,0.189,0.000,0.189,0.189,0.189,0.189,1,,Surface,,,,,,17,
Ellipticity (oblate),0.184,0.184,0.184,0.000,0.184,0.184,0.184,0.184,1,,Surface,,,,,,18,
Ellipticity (oblate),0.687,0.687,0.687,0.000,0.687,0.687,0.687,0.687,1,,Surface,,,,,,19,
Ellipticity (prolate),0.287,0.287,0.287,0.000,0.287,0.287,0.287,0.287,1,,Surface,,,,,,9,
Ellipticity (prolate),0.227,0.227,0.227,0.000,0.227,0.227,0.227,0.227,1,,Surface,,,,,,10,
Ellipticity (prolate),0.247,0.247,0.247,0.000,0.247,0.247,0.247,0.247,1,,Surface,,,,,,11,
Ellipticity (prolate),0.393,0.393,0.393,0.000,0.393,0.393,0.393,0.393,1,,Surface,,,,,,12,
Ellipticity (prolate),0.395,0.395,0.395,0.000,0.395,0.395,0.395,0.395,1,,Surface,,,,,,13,
Ellipticity (prolate),0.423,0.423,0.423,0.000,0.423,0.423,0.423,0.423,1,,Surface,,,,,,14,
Ellipticity (prolate),0.352,0.352,0.352,0.000,0.352,0.352,0.352,0.352,1,,Surface,,,,,,15,
Ellipticity (prolate),0.209,0.209,0.209,0.000,0.209,0.209,0.209,0.209,1,,Surface,,,,,,16,
Ellipticity (prolate),0.182,0.182,0.182,0.000,0.182,0.182,0.182,0.182,1,,Surface,,,,,,17,
Ellipticity (prolate),0.147,0.147,0.147,0.000,0.147,0.147,0.147,0.147,1,,Surface,,,,,,18,
Ellipticity (prolate),0.186,0.186,0.186,0.000,0.186,0.186,0.186,0.186,1,,Surface,,,,,,19,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,9,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,10,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,11,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,12,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,13,
