
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,109.822,109.822,109.822,0.000,109.822,109.822,109.822,109.822,1,µm^2,Surface,,,,,,24,
Area,157.328,157.328,157.328,0.000,157.328,157.328,157.328,157.328,1,µm^2,Surface,,,,,,25,
Area,177.308,177.308,177.308,0.000,177.308,177.308,177.308,177.308,1,µm^2,Surface,,,,,,26,
Area,213.161,213.161,213.161,0.000,213.161,213.161,213.161,213.161,1,µm^2,Surface,,,,,,27,
Area,216.778,216.778,216.778,0.000,216.778,216.778,216.778,216.778,1,µm^2,Surface,,,,,,28,
Area,203.914,203.914,203.914,0.000,203.914,203.914,203.914,203.914,1,µm^2,Surface,,,,,,29,
Area,163.146,163.146,163.146,0.000,163.146,163.146,163.146,163.146,1,µm^2,Surface,,,,,,30,
Area,166.518,166.518,166.518,0.000,166.518,166.518,166.518,166.518,1,µm^2,Surface,,,,,,31,
Area,160.470,160.470,160.470,0.000,160.470,160.470,160.470,160.470,1,µm^2,Surface,,,,,,32,
Area,158.163,158.163,158.163,0.000,158.163,158.163,158.163,158.163,1,µm^2,Surface,,,,,,33,
Area,135.667,135.667,135.667,0.000,135.667,135.667,135.667,135.667,1,µm^2,Surface,,,,,,34,
Area,136.417,136.417,136.417,0.000,136.417,136.417,136.417,136.417,1,µm^2,Surface,,,,,,35,
Area,66.898,66.898,66.898,0.000,66.898,66.898,66.898,66.898,1,µm^2,Surface,,,,,,36,
Class Duration,60.014,60.014,60.014,0.000,60.014,60.014,60.014,60.014,1,s,Surface,,Set 1::Class A,,,,24,
Class Duration,60.014,60.014,60.014,0.000,60.014,60.014,60.014,60.014,1,s,Surface,,Set 1::Class A,,,,25,
Class Duration,59.997,59.997,59.997,0.000,59.997,59.997,59.997,59.997,1,s,Surface,,Set 1::Class B,,,,26,
Class Duration,59.997,59.997,59.997,0.000,59.997,59.997,59.997,59.997,1,s,Surface,,Set 1::Class B,,,,27,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,28,
Class Duration,419.955,419.955,419.955,0.000,419.955,419.955,419.955,419.955,1,s,Surface,,Set 1::Class B,,,,29,
Class Duration,419.955,419.955,419.955,0.000,419.955,419.955,419.955,419.955,1,s,Surface,,Set 1::Class B,,,,30,
Class Duration,419.955,419.955,419.955,0.000,419.955,419.955,419.955,419.955,1,s,Surface,,Set 1::Class B,,,,31,
Class Duration,419.955,419.955,419.955,0.000,419.955,419.955,419.955,419.955,1,s,Surface,,Set 1::Class B,,,,32,
Class Duration,419.955,419.955,419.955,0.000,419.955,419.955,419.955,419.955,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,419.955,419.955,419.955,0.000,419.955,419.955,419.955,419.955,1,s,Surface,,Set 1::Class B,,,,34,
Class Duration,419.955,419.955,419.955,0.000,419.955,419.955,419.955,419.955,1,s,Surface,,Set 1::Class B,,,,35,
Class Duration,419.955,419.955,419.955,0.000,419.955,419.955,419.955,419.955,1,s,Surface,,Set 1::Class B,,,,36,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,24,
Displacement Delta Length,0.345,0.345,0.345,0.000,0.345,0.345,0.345,0.345,1,µm,Surface,,,,,,25,
Displacement Delta Length,0.767,0.767,0.767,0.000,0.767,0.767,0.767,0.767,1,µm,Surface,,,,,,26,
Displacement Delta Length,1.775,1.775,1.775,0.000,1.775,1.775,1.775,1.775,1,µm,Surface,,,,,,27,
Displacement Delta Length,0.514,0.514,0.514,0.000,0.514,0.514,0.514,0.514,1,µm,Surface,,,,,,28,
