
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,1.113,1.113,1.113,0.000,1.113,1.113,1.113,1.113,1,µm^2,Surface,,,,,,32,
Area,17.281,17.281,17.281,0.000,17.281,17.281,17.281,17.281,1,µm^2,Surface,,,,,,33,
Area,0.342,0.342,0.342,0.000,0.342,0.342,0.342,0.342,1,µm^2,Surface,,,,,,34,
Area,61.435,61.435,61.435,0.000,61.435,61.435,61.435,61.435,1,µm^2,Surface,,,,,,35,
Area,36.078,36.078,36.078,0.000,36.078,36.078,36.078,36.078,1,µm^2,Surface,,,,,,36,
Area,69.376,69.376,69.376,0.000,69.376,69.376,69.376,69.376,1,µm^2,Surface,,,,,,37,
Area,63.303,63.303,63.303,0.000,63.303,63.303,63.303,63.303,1,µm^2,Surface,,,,,,38,
Area,71.666,71.666,71.666,0.000,71.666,71.666,71.666,71.666,1,µm^2,Surface,,,,,,39,
Area,55.217,55.217,55.217,0.000,55.217,55.217,55.217,55.217,1,µm^2,Surface,,,,,,40,
Area,42.063,42.063,42.063,0.000,42.063,42.063,42.063,42.063,1,µm^2,Surface,,,,,,41,
Area,55.966,55.966,55.966,0.000,55.966,55.966,55.966,55.966,1,µm^2,Surface,,,,,,42,
Area,38.901,38.901,38.901,0.000,38.901,38.901,38.901,38.901,1,µm^2,Surface,,,,,,43,
Area,7.679,7.679,7.679,0.000,7.679,7.679,7.679,7.679,1,µm^2,Surface,,,,,,44,
Area,1.009,1.009,1.009,0.000,1.009,1.009,1.009,1.009,1,µm^2,Surface,,,,,,46,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,32,
Class Duration,419.988,419.988,419.988,0.000,419.988,419.988,419.988,419.988,1,s,Surface,,Set 1::Class B,,,,33,
Class Duration,419.988,419.988,419.988,0.000,419.988,419.988,419.988,419.988,1,s,Surface,,Set 1::Class B,,,,34,
Class Duration,419.988,419.988,419.988,0.000,419.988,419.988,419.988,419.988,1,s,Surface,,Set 1::Class B,,,,35,
Class Duration,419.988,419.988,419.988,0.000,419.988,419.988,419.988,419.988,1,s,Surface,,Set 1::Class B,,,,36,
Class Duration,419.988,419.988,419.988,0.000,419.988,419.988,419.988,419.988,1,s,Surface,,Set 1::Class B,,,,37,
Class Duration,419.988,419.988,419.988,0.000,419.988,419.988,419.988,419.988,1,s,Surface,,Set 1::Class B,,,,38,
Class Duration,419.988,419.988,419.988,0.000,419.988,419.988,419.988,419.988,1,s,Surface,,Set 1::Class B,,,,39,
Class Duration,419.988,419.988,419.988,0.000,419.988,419.988,419.988,419.988,1,s,Surface,,Set 1::Class B,,,,40,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,41,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,42,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,43,
Class Duration,119.987,119.987,119.987,0.000,119.987,119.987,119.987,119.987,1,s,Surface,,Set 1::Class B,,,,44,
Class Duration,119.987,119.987,119.987,0.000,119.987,119.987,119.987,119.987,1,s,Surface,,Set 1::Class B,,,,46,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,32,
Displacement Delta Length,1.434,1.434,1.434,0.000,1.434,1.434,1.434,1.434,1,µm,Surface,,,,,,33,
Displacement Delta Length,0.819,0.819,0.819,0.000,0.819,0.819,0.819,0.819,1,µm,Surface,,,,,,34,
Displacement Delta Length,1.828,1.828,1.828,0.000,1.828,1.828,1.828,1.828,1,µm,Surface,,,,,,35,
Displacement Delta Length,0.900,0.900,0.900,0.000,0.900,0.900,0.900,0.900,1,µm,Surface,,,,,,36,
Displacement Delta Length,0.943,0.943,0.943,0.000,0.943,0.943,0.943,0.943,1,µm,Surface,,,,,,37,
Displacement Delta Length,1.004,1.004,1.004,0.000,1.004,1.004,1.004,1.004,1,µm,Surface,,,,,,38,
Displacement Delta Length,0.997,0.997,0.997,0.000,0.997,0.997,0.997,0.997,1,µm,Surface,,,,,,39,
Displacement Delta Length,1.906,1.906,1.906,0.000,1.906,1.906,1.906,1.906,1,µm,Surface,,,,,,40,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,41,
Displacement Delta Length,2.064,2.064,2.064,0.000,2.064,2.064,2.064,2.064,1,µm,Surface,,,,,,42,
Displacement Delta Length,0.698,0.698,0.698,0.000,0.698,0.698,0.698,0.698,1,µm,Surface,,,,,,43,
Displacement Delta Length,0.840,0.840,0.840,0.000,0.840,0.840,0.840,0.840,1,µm,Surface,,,,,,44,
Displacement Delta Length,1.277,1.277,1.277,0.000,1.277,1.277,1.277,1.277,1,µm,Surface,,,,,,46,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta X,0.933,0.933,0.933,0.000,0.933,0.933,0.933,0.933,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta X,-0.724,-0.724,-0.724,0.000,-0.724,-0.724,-0.724,-0.724,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta X,1.180,1.180,1.180,0.000,1.180,1.180,1.180,1.180,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta X,0.108,0.108,0.108,0.000,0.108,0.108,0.108,0.108,1,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta X,-0.080,-0.080,-0.080,0.000,-0.080,-0.080,-0.080,-0.080,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta X,0.984,0.984,0.984,0.000,0.984,0.984,0.984,0.984,1,µm,Surface,,,Displacement Delta,,,38,
Displacement Delta X,-0.790,-0.790,-0.790,0.000,-0.790,-0.790,-0.790,-0.790,1,µm,Surface,,,Displacement Delta,,,39,
Displacement Delta X,-1.459,-1.459,-1.459,0.000,-1.459,-1.459,-1.459,-1.459,1,µm,Surface,,,Displacement Delta,,,40,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,41,
Displacement Delta X,-1.686,-1.686,-1.686,0.000,-1.686,-1.686,-1.686,-1.686,1,µm,Surface,,,Displacement Delta,,,42,
Displacement Delta X,-0.475,-0.475,-0.475,0.000,-0.475,-0.475,-0.475,-0.475,1,µm,Surface,,,Displacement Delta,,,43,
Displacement Delta X,-0.293,-0.293,-0.293,0.000,-0.293,-0.293,-0.293,-0.293,1,µm,Surface,,,Displacement Delta,,,44,
Displacement Delta X,-0.854,-0.854,-0.854,0.000,-0.854,-0.854,-0.854,-0.854,1,µm,Surface,,,Displacement Delta,,,46,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,32,
Displacement Delta Y,0.154,0.154,0.154,0.000,0.154,0.154,0.154,0.154,1,µm,Surface,,,Displacement Delta,,,33,
Displacement Delta Y,0.368,0.368,0.368,0.000,0.368,0.368,0.368,0.368,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Y,-1.392,-1.392,-1.392,0.000,-1.392,-1.392,-1.392,-1.392,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta Y,-0.520,-0.520,-0.520,0.000,-0.520,-0.520,-0.520,-0.520,1,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta Y,-0.865,-0.865,-0.865,0.000,-0.865,-0.865,-0.865,-0.865,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta Y,0.089,0.089,0.089,0.000,0.089,0.089,0.089,0.089,1,µm,Surface,,,Displacement Delta,,,38,
Displacement Delta Y,-0.281,-0.281,-0.281,0.000,-0.281,-0.281,-0.281,-0.281,1,µm,Surface,,,Displacement Delta,,,39,
Displacement Delta Y,-0.041,-0.041,-0.041,0.000,-0.041,-0.041,-0.041,-0.041,1,µm,Surface,,,Displacement Delta,,,40,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,41,
