
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,84.639,84.639,84.639,0.000,84.639,84.639,84.639,84.639,1,µm^2,Surface,,,,,,10,
Area,144.684,144.684,144.684,0.000,144.684,144.684,144.684,144.684,1,µm^2,Surface,,,,,,11,
Area,172.463,172.463,172.463,0.000,172.463,172.463,172.463,172.463,1,µm^2,Surface,,,,,,12,
Area,197.559,197.559,197.559,0.000,197.559,197.559,197.559,197.559,1,µm^2,Surface,,,,,,13,
Area,206.113,206.113,206.113,0.000,206.113,206.113,206.113,206.113,1,µm^2,Surface,,,,,,14,
Area,210.545,210.545,210.545,0.000,210.545,210.545,210.545,210.545,1,µm^2,Surface,,,,,,15,
Area,226.837,226.837,226.837,0.000,226.837,226.837,226.837,226.837,1,µm^2,Surface,,,,,,16,
Area,219.703,219.703,219.703,0.000,219.703,219.703,219.703,219.703,1,µm^2,Surface,,,,,,17,
Area,243.367,243.367,243.367,0.000,243.367,243.367,243.367,243.367,1,µm^2,Surface,,,,,,18,
Area,290.118,290.118,290.118,0.000,290.118,290.118,290.118,290.118,1,µm^2,Surface,,,,,,19,
Area,284.145,284.145,284.145,0.000,284.145,284.145,284.145,284.145,1,µm^2,Surface,,,,,,20,
Area,302.715,302.715,302.715,0.000,302.715,302.715,302.715,302.715,1,µm^2,Surface,,,,,,21,
Area,330.583,330.583,330.583,0.000,330.583,330.583,330.583,330.583,1,µm^2,Surface,,,,,,22,
Area,299.656,299.656,299.656,0.000,299.656,299.656,299.656,299.656,1,µm^2,Surface,,,,,,23,
Area,13.586,13.586,13.586,0.000,13.586,13.586,13.586,13.586,1,µm^2,Surface,,,,,,24,
Class Duration,180.016,180.016,180.016,0.000,180.016,180.016,180.016,180.016,1,s,Surface,,Set 1::Class A,,,,10,
Class Duration,180.016,180.016,180.016,0.000,180.016,180.016,180.016,180.016,1,s,Surface,,Set 1::Class A,,,,11,
Class Duration,180.016,180.016,180.016,0.000,180.016,180.016,180.016,180.016,1,s,Surface,,Set 1::Class A,,,,12,
Class Duration,180.016,180.016,180.016,0.000,180.016,180.016,180.016,180.016,1,s,Surface,,Set 1::Class A,,,,13,
Class Duration,600.021,600.021,600.021,0.000,600.021,600.021,600.021,600.021,1,s,Surface,,Set 1::Class B,,,,14,
Class Duration,600.021,600.021,600.021,0.000,600.021,600.021,600.021,600.021,1,s,Surface,,Set 1::Class B,,,,15,
Class Duration,600.021,600.021,600.021,0.000,600.021,600.021,600.021,600.021,1,s,Surface,,Set 1::Class B,,,,16,
Class Duration,600.021,600.021,600.021,0.000,600.021,600.021,600.021,600.021,1,s,Surface,,Set 1::Class B,,,,17,
Class Duration,600.021,600.021,600.021,0.000,600.021,600.021,600.021,600.021,1,s,Surface,,Set 1::Class B,,,,18,
Class Duration,600.021,600.021,600.021,0.000,600.021,600.021,600.021,600.021,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,600.021,600.021,600.021,0.000,600.021,600.021,600.021,600.021,1,s,Surface,,Set 1::Class B,,,,20,
Class Duration,600.021,600.021,600.021,0.000,600.021,600.021,600.021,600.021,1,s,Surface,,Set 1::Class B,,,,21,
Class Duration,600.021,600.021,600.021,0.000,600.021,600.021,600.021,600.021,1,s,Surface,,Set 1::Class B,,,,22,
